,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
21,(주)안티그래비티,[부피 알고리즘] AI(딥러닝) 연구 및 개발,"서울,성동구,경력 3~20년,석사↑,정규직","딥러닝,알고리즘,컴퓨터비전,Tensorflow,음성인식",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42913765&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
22,(주)테서,의료 텍스트 자연어처리(NLP) 딥러닝 연구원(전문연구요원 가능),"서울,강남구,경력무관,대졸↑,정규직·전문연구요원","딥러닝,AI(인공지능),NLP(자연어처리),Python,Pytorch",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47547317&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
23,아이넷캅,[경력·전문연] 딥러닝/머신러닝 개발자 채용(내일채움공제가능),"서울,송파구,신입·경력,석사↑,정규직·전문연구요원","딥러닝,Pandas,IoT,Tensorflow,머신러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47645325&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
24,(주)에프에스솔루션,[경력] 컴퓨터비전/딥러닝알고리즘 개발(ADAS/DMS/Surveillance),"경기,성남시 수정구,경력3년↑,대졸↑,정규직","딥러닝,AI(인공지능),Windows,OpenCV,Python",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47803589&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
25,케빈랩(주),수치를 기반으로 한 딥러닝 알고리즘 개발 인재를 모십니다,"경기,안양시 만안구,경력5년↑,대졸↑,정규직","딥러닝,알고리즘,R,IoT,Tensorflow",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47962227&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
26,라온피플(주),AI 비전 딥러닝 개발자 모집,"경기,성남시 분당구,경력7년↑,석사↑,정규직","딥러닝,알고리즘,컴퓨터비전,영상처리,Tensorflow",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47716639&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
27,(주)에이아이인사이트,2024년 AI 엔지니어 (컴퓨터비전/딥러닝) 경력자 상시채용,"인천,연수구,경력 5~10년,학력무관,정규직","딥러닝,유지보수,컴퓨터비전,Git,React",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47889441&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
28,(주)에프에스솔루션,컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (신입),"경기전체,신입·경력,대졸↑,정규직","딥러닝,AI(인공지능),OpenCV,Python,Pytorch",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46463234&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
29,(주)비즈코퍼레이션,"MES/IT개발,비전/딥러닝 정규직 모집(신입/경력)","부산,강서구,경력무관,초대졸↑,정규직","딥러닝,MES,유지보수,SI개발,C#",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47762717&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
30,(주)딥핑소스,딥러닝 엔지니어 채용,"서울,강남구,경력 3~13년,대졸↑,정규직","딥러닝,Tensorflow,Linux,C++,Python",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47925716&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
31,(주)플라잎,딥러닝 엔지니어 채용(전문연구요원 가능),"경기,성남시 분당구,경력3년↑,대졸↑,정규직","딥러닝,Tensorflow,C++,Python,Pytorch",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47929326&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f22068c2-922d-4987-b226-85f251ce2913
