,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
10,이도(Yido),자바 개발자,"서울 중구,경력 5-10년","- 환경/인프라/레저/부동산 각 사업 영업/관리 시스템 구축/운영- 각 현장 사업관리 시스템 구축/운영- 골프/레저 홈페이지, 예약, 마케팅 시스템 구축/운영- 모바일 앱 구축/운영 外,▣ JAVA기반 백엔드 개발 Java, JSP, JSTL, Mybatis, JPA대리~과장급O Framwork - SpringFramwork, Spring bootO RDBMS - Mysql, MSSQL, MariaDB, Oracle＜필수요건＞- JAVA개발(프런트/백엔드) 경력 5년 이상- NCP, AWS, Azure 클라우드 플랫폼 사용경험,-지라 등 프로젝트 관리 툴 사용 경험자- 내/외부 RESTful API 연동 경험자- 사물인터넷(IoT), 모바일(크로스플랫폼) 경험자- 그룹사(엔터프라이즈) 그룹웨어 통합 구축경험자 (결재/메일/게시판)- 그룹사(엔터프라이즈) ERP 통합구축경험자- BI(Business Intelligence) 통합 구축경험자- 시스템 Flow 이해도 및 전문지식 보유자",https://www.wanted.co.kr/wd/214913
11,오엠티아이코리아,ASP.NET 중급 개발자,"서울 서초구,경력 2-7년","[주요업무],웹 어플리케이션 개발 및 유지보수[개발 환경],프론트엔드: Jquery, Kendo UI Component 기반의 MVVM 패턴 개발. Ajax사용,백엔드: Microsoft ASP.NET MVC 5,데이터베이스: Microsoft SQL Server,서버: Microsoft Azure 기반의 Windows Server Platform,형상관리: GitHub,협업 관리 툴: Axosoft + SmartSheet + Google Workspace,개발 문화: 사내 코딩 가이드 룰에 따른 코딩 패턴 준수하고 100% 코드 리뷰 진행[채용절차],모집인원: 0명,서류전형 ＞ 실무진 면접 ＞ 임원진 면접,,초대졸이상 졸업자,해외여행(출장)에 결격사유가 없으신 분,동일 직무에 대해 2~7년 이하의 경력이 있으신 분 ,연봉은 동일 직무 경력으로 협의,1년 이상 ASP.NET MVC를 사용해 보신 분,T-SQL 작성이 가능하신 분,,Kendo UI 유경험자,Microsoft Azure 유경험자",https://www.wanted.co.kr/wd/214662
12,하우빌드,Server Engineer(5년 이상),"서울 강남구,경력 5-12년",",하우빌드 서비스 백엔드 개발,다양한 직군과 협업하여 서비스 설계 및 구현,,백엔드서버 개발 경력 5년 이상 혹은 그에 준하는 실력,Spring, JPA 프레임워크 사용에 능숙하신 분,고가용성의 확장 가능한 시스템을 설계하고 운영한 경험이 있으신 분,다양한 서비스 DB 설계를 해보신 분,Git 등의 분산 버전 관리 시스템 이용에 능숙한 분,,Kotlin 사용 경험이 있으신 분,어드민 개발 경험이 있으신 분,AWS 사용 경험​이 있으신 분,테스트 및 배포 자동화 경험이 있는 분,건축에 대한 이해도 및 관심",https://www.wanted.co.kr/wd/192061
13,브이디크럭스,안드로이드 어플리케이션 개발자(5년이상),"서울 금천구,경력 5-7년",",태블릿 오더 안드로이드 어플리케이션 개발,모바일 포스 안드로이드 어플리케이션 개발,기타 가맹점 매장관리용 어플리케이션 개발,,Kotlin, Android 개발 3년 이상 혹은 그에 준하는 실력,MV* 등의 안드로이드 아키텍처에 대한 이해가 있으신분,REST API 통신을 통한 구현에 대해 이해가 있으신분,안드로이드 최신 개발 동향에 관심 많은 분,,Kotlin 기반 프로젝트 개발에 능숙하신 분,AAC (LiveData, Paging, ViewModel) 사용 경험 있으신분,DI (Koin, Dagger - Hilt) 사용 경험 있으신분,ReactiveX , Coroutine을 통한 비동기 프로그래밍에 능숙하신 분,팀원과의 원활한 커뮤니케이션이 가능한 분,외부 디바이스 연동 경험,대화에 열려있는 분,내 코드 공개 및 리뷰에 대한 두려움이 적은 분,앱 성능 개선에 대한 고민을 해보신 분,금융 관련 서비스에 종사했거나, 관심이 많으신 분,기타 개발 환경- Figma- Firebase",https://www.wanted.co.kr/wd/193556
14,수성엔지니어링,DevOps 엔지니어,"서울 송파구,신입-경력 3년","- AWS 클라우드 등의 인프라 및 어플리케이션 관리를 위한 도구들을 만들고 개선합니다.- 배포 CICD 파이프라인과 모니터링 시스템을 구축하고 운영하여, 개발자의 서비스 운영과 개발 경험을 개선합니다.- 컨테이너, 서버리스를 기반의 서비스를 관리하고 운영하며 최적화합니다.- 서비스 수준을 향상시키기 위해 안정성 가시화 및 측정 도구를 제공합니다.- 데이터 엔지니어, 머신러닝 엔지니어와 협업하여 데이터 파이프라인 등을 구성합니다.- 특정 PaaS에 컨테이너 기반으로 애플리케이션을 배포하고, 해당 애플리케이션의 성능 등을 연구하는 국가연구과제를 수행합니다.,- AWS 클라우드 서비스에서 배포, 운영 경험이 있는 분 (S3, Lambda, ECS, EC2)- 코드 기반으로 인프라를 관리한 경험 (IaC)이 있는 분- 하나 이상의 프로그래밍 언어에 익숙하고, 작성된 코드를 읽고 이해할 수 있는 분- 리눅스 환경에서의 서비스 운영 경험이 있는 분- 새로운 것에 도전하고 배우는데 거부감이 없는 분,- Linux 환경에 대한 깊은 이해 또는 트러블슈팅 경험이 있는 분- 프로젝트를 Docker, Kubernetes 등 컨테이너 기술로 운영해보신 분- Cloud Solution Architect Associate 이상의 자격증을 보유한 분- 체계적인 방식의 모델 학습 파이프라인을 기획/개발 해본 경험이 있는 분- Bash/Python 등 리눅스 기반 스크립트로 반복 작업 자동화가 가능 하신 분- MSA에 대한 충분한 이해 또는 운영 경험이 있는 분",https://www.wanted.co.kr/wd/196679
15,레전더리홀딩스,윈골드 서비스 웹 개발자,"서울 강남구,경력 3-7년",",자사 서비스 웹 개발/유지보수,신규 서비스 웹 개발/유지보수,AWS 서버 관리 및 모니터링,,3년 이상 Spring boot 웹 개발 경력자,Spring boot REST API 개발 경험,Thymeleaf 웹 개발 경험,,AWS 서버 생성/관리 경험자,PostgreSQL 사용 개발 경험자,Oracle 사용 개발 경험자,Jenkins 사용 경험자",https://www.wanted.co.kr/wd/199750
16,앵커스,개발팀 리더 (15년이상),"서울 마포구,경력 15-25년",",프론트엔드 및 백엔드 개발,진행 프로젝트의 개발 가이드,개발 품질 관리,,경력 15년 이상,외부 파견 및 국내외 출장 가능자",https://www.wanted.co.kr/wd/214885
17,파더스랩,프론트엔드 개발자(5년이상),"서울 강남구,경력 5-10년","파더스랩 프론트엔드 개발,,대졸 이상 학력,경력 5년 이상,React, Vue, Angular 중 1개 이상의 개발 경험 ,javascript 개발 경험,Typescript 개발 경험,,상용 서비스 개발 경험,백엔드/퍼블리싱/앱 개발 경험",https://www.wanted.co.kr/wd/214388
18,매스어답션,백앤드 엔지니어 (Nest.js / 5년 이상),"서울 성동구,경력 5-10년","""백앤드 엔지니어는 이런 업무를 하시게 됩니다"",자사의 Wep Application 및 Mobile App에 필요한 API 및 Back-Office 설계 및 개발,효율적이고 안정적인 서비스 운영을 위한 인프라 구조 및 성능 개선,다양한 외부 서비스와의 API 개발 연동""우리는 이런 분들과 함께하고 싶어요!"",사용자가 겪는 문제를 IT 기술을 통해 주도적으로 해결하려고 노력하는 사람,새로운 기술에 대해 거부감이 없고, 끊임없이 도전하길 좋아하는 사람,팀원들과 기술을 공유하고 함께 성장하는걸 중요하게 생각하는 사람,되는걸 만드는 것 보다 잘 되는 걸 만들기 위해 노력하는 사람,자신의 의견을 적극적으로 말할 수 있는사람""우리팀은 이런 기술들을 활용합니다!"",Back-end: TypeScript (Nest.js, Express.js in Node.js),Front-end: React.js, Next.js, TypeScript, JavaScript, Zustand, Recoil, Redux, emotion.js, SCSS, Webpack,Native App: Flutter, React-Native,Block Chain: Klyatn, Polygon, Luniverse, LINE Blockchain, Solidity,Database: MySQL, MongoDB, DynamoDB,Infra: AWS (EC2, RDS, Lambda, SQS, S3, Amplify, Code Depoly, etc.), Terraform, k8s,Co-work: Github(Mono-Repo, Git-Flow), Slack, Notion, Figma,,개발 경력 5년 이상 혹은 그에 준하는 역량을 갖추신 분,한 가지 개발언어(TypeScript, Kotlin, Java, Golang, Python 등)를 능숙하게 활용 가능하신 분,자료구조, 알고리즘, 네트워크, 보안 등 기본적인 컴퓨터 공학 지식을 보유하신 분,RESTful API에 대한 충분한 이해와 개발 경험이 있으신 분,RDBMS(MySQL)에 대한 충분한 이해와 설계 경험이 있으신 분,AWS 기반 클라우드 환경에서 다양한 서비스 경험이 있으신 분,Git을 이용한 버전관리에 대한 이해가 있으신 분,,컴퓨터공학 전공 및 관련학과 우대,대용량 트래픽 대응을 위한 분산 시스템 운영 경험이 있으신 분,백앤드 성능 최적화 경험이 있으신 분,Linux 기반의 중소규모 서버 인프라 설계 및 셋팅 경험이 있으신 분,CI/CD에 대한 이해와 구축 경험이 있으신 분,테스트 자동화 경험이 있으신 분,블록체인 또는 AI 관련 기술에 관심이 있으신 분",https://www.wanted.co.kr/wd/214642
19,다큐브(daquv),백엔드 개발 (8년 이상),"서울 영등포구,경력 8-15년","플랫폼팀은 업무용 AI 서비스에 필요한 백엔드 기능 개발 업무를 담당하고 있습니다.고객에게 더 나은 서비스를 제공할 수 있도록 꾸준히 개선하고 안정적으로 운영합니다. ,업무용 AI 플랫폼 신규 개발 및 운영,,백엔드 개발 경력 3년 이상,java, Spring, Springboot, Restful을 이용한 개발 경험이 있는 분,AWS, KT, Azure 등 클라우드 배포 경험을 보유하신 분,DBMS, Cache, Data, Structure 설계한 경험이 있는 분,REST API 개발 경험이 있는 분,,AA, TA, SA, DA 개발 경험이 있는 분,테스트 및 CI/CD 경험이 있는 분",https://www.wanted.co.kr/wd/214581
