,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
10,에스씨301의원,[SC301의원 삼성동/코엑스] 성형외과 AI엔지니어/개발자(경력자)를 모십니다.,"경력,초대졸↑,서울 강남구,정규직,5,000~7,000만원","바이오, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 인터페이스, 챗봇, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템운영, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇",https://www.jobkorea.co.kr/Recruit/Co_Read/C/12987166
11,㈜티맥스소프트,[TmaxSoft/연구소] AI 연구원,"경력1년↑,대졸↑,경기 성남시,정규직","BigData, 솔루션, SI, 인공지능, ERP, 모델링, 소프트웨어개발, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/Co_Read/C/309871
12,현대오토에버㈜,[스마트팩토리] 요소기술 개발 리딩 - 팀장급,"경력10년↑,학력무관,서울 강남구,정규직","GUI, SM, 빅데이터, OLAP개발자, 데이터관리, 암호화폐, 웹표준·웹접근성, 증강현실, 펌웨어, 데이터레이크, 인터페이스, 검증, GUI, 음성인식, SI개발, DBMS, 시스템설계, 회로설계, 딥러닝, 데이터시각화, 암호화폐, ETL, 시스템분석, 시스템운영, 서버관리, 인공지능, 챗봇, 시스템운영, 정보보안, BI, SI개발, 모델링, 방화벽, 서버구축, 시스템분석, 가상현실, 반응형웹, 이미지프로세싱, 클라이언트, SI개발, 네트워크관리, 웹마스터, 클라이언트, SI개발, 모델링, 보안관제, 시스템분석, 시스템설계, 증강현실, 데이터분석, 인터페이스, 솔루션스아키텍트, 네트워크관리, 펌웨어, MMORPG, 분석모델링, 메타버스, 네트워크관리, 모델링, 정보보안, 데이터마이닝, 클라우드개발자, 아키텍처, 챗봇, 클라이언트, 서버구축, 시스템설계, 반응형웹, 핀테크, DW모델러, HTTP, 서버관리, 암호화폐, 음성인식, 클라우드아키텍트, 핀테크, Dapp, 네트워크관리, 소프트웨어개발, 자연어처리(NLP), 가상현실, 핀테크, DID, 데이터파이프라인, DB튜닝, 스마트컨트랙트, 메타버스",https://www.jobkorea.co.kr/Recruit/Co_Read/C/19481
13,㈜헥토이노베이션,헥토이노베이션 직군별 인재 모집(플랫폼기획/광고영업/마이데이터/정보보안/시스템운영/글로벌구독/재무회계),"경력,학력무관,서울 강남구,정규직","관리회계, 수행기사, 빅데이터, 기업홍보, 데이터관리, 안드로이드, 재무회계, 기업홍보, 데이터레이크, 인터페이스, UI·UX기획, 시장조사, 프로모션, 데이터분석, 영상제작, 음성인식, SI개발, 키워드광고, 프로모션, DBMS, 모바일, 딥러닝, 데이터시각화, 브랜드기획, 신사업기획, 자금관리, 브랜딩, 제안·컨설팅, 데이터분석, 서버관리, 인공지능, 재무분석, 챗봇, 재무회계, BI, 제휴마케팅, 매출관리, 모델링, 모바일App, 사업기획, 영어, 모바일디자인, 앱기획, 온라인영업, SI개발, UI·UX기획, 결산, 바이럴마케팅, 재무기획, 오프라인영업, 콘텐츠기획, 결산, 고객관리, 증강현실, 데이터분석, 전략기획, 콘텐츠기획, 스토리보드, 시장분석, 입출금관리, 분석모델링, 브랜드기획, 전략기획, SNS마케팅, 모델링, GUI, 데이터마이닝, 챗봇, SNS마케팅, 언론홍보, 전표입력, 키워드광고, 프로모션, 핀테크, 서비스기획, 재무기획, 콘텐츠기획, 핀테크, 경영기획, 가상현실, 디지털마케팅, 배너광고, 핀테크, 데이터파이프라인, 시장분석, 데이터분석, 이벤트기획, DB튜닝",https://www.jobkorea.co.kr/Recruit/Co_Read/C/37828767
14,티스퀘어랩,[자동차][BMW] 해외 완성차 OEM 업체 전장 부분 개발/QA,"경력무관,초대졸↑,인천 서구 외,정규직,3,600만원 이상","펌웨어, 인터페이스, 임베디드, 음성인식, 테스터, 회로설계, 시스템설계, 웹마스터, PCB, 딥러닝, 시스템분석, 시스템운영, 챗봇, 정보보안, SI개발, 서버구축, 시스템분석, 클라이언트, SI개발, 시스템분석, 시스템설계, 펌웨어, 하드웨어영업, 펌웨어, 모델링, 아키텍처, 시스템설계, 자동차, 서버관리, 음성인식, 검증, 네트워크관리, 기술지원",https://www.jobkorea.co.kr/Recruit/Co_Read/C/17652291
15,안전성평가연구소,제2024-1차 정규직 채용 공고,"신입·경력,초대졸↑,대전 유성구,정규직","임상병리사, 품질보증, 바이오, 검증, 딥러닝, 환경, 데이터분석, 인공지능, 화학·섬유, 공공기관, 환경측정, 미생물, 의약외품연구, 대기환경, 모델링, 수질환경, 연구기획, 제약·바이오R&D, 연구·실험·기술, 공무원, 약사, 환경관리, 미생물, 토양환경",https://www.jobkorea.co.kr/Recruit/Co_Read/C/93062
16,(재)경기도일자리재단,경기청년 일자리 매치업 1차 통합채용공고,"경력무관,학력무관,경기 부천시 외,정규직 외","메카트로닉스, 생산기술, 제품개발, 빅데이터, 기업홍보, 라이센싱, 재무회계, 제어·설계, 데이터레이크, UI·UX기획, 식품MD, 품질보증, 영상제작, SI개발, 생산관리, 영업기획, 유지보수, 재단법인, 품질보증, 검증, 데이터시각화, 의료기기연구, 자금관리, 브랜딩, 시스템분석, 전기·전자, 기계조작, 서버관리, 영업전략, 인공지능, AMD, 기술영업, HACCP, 사이트관리, 방화벽, 자동제어, 로봇설계, 모바일디자인, 자동화라인, 매출관리, 문서작성, 재무기획, HACCP, SI개발, 매출관리, 보안관제, 상품기획, 재고관리, 전기설비, 데이터분석, 제어·설계, 시장분석, 입출금관리, 데이터분석, 분석모델링, 자동화라인, 네트워크관리, 전기배선, 정보보안, GUI, 배관·케이블, 로봇설계, 클라이언트, 문서관리, 상품입출고, 설치, 시스템설계, 언론홍보, 연구·실험·기술, 품질테스트, 네트워크영업, PLC, 콘텐츠기획, 생산기술, 전산입력, 기계조작, 로봇설계, SEO, 데이터파이프라인, 금속, 기술지원, 기술지원, 반도체영업, 통신설비, 이벤트기획",https://www.jobkorea.co.kr/Recruit/Co_Read/C/40125399
17,㈜비전테크,"기술지원 (역설계, 3D모델링, 3D스캐너, 3차원측정)","신입·경력3년↑,초대졸↑,서울 강서구 외,정규직 외","3D디자인, 3D모델링, 3D스캐너, 3차원측정, 솔리드웍스, 역설계, DesignX, CAD, CAM, 모델링, 모델링, CAM, 캐드원, 3D설계, CAM",https://www.jobkorea.co.kr/Recruit/Co_Read/C/158583
18,㈜안랩,2024 안랩 상반기 신입/Junior 공개채용,"신입·경력,대졸↑,경기 성남시,정규직","CSS, Java, Linux, MySQL, Oracle, Python, Windows, 악성코드 분석, 침해사고 분석, CISSP, CISA, Cloud, Cross platform, CSTE, ElasticSearch, ISTQB, ISO 27001, MAC, kafka, Network, MacOS, OS, PIA, postgresql, Redis, React, SIEM, Vue, ISMS-P, Microsoft365, 리눅스 커널 모드, Windows Agent, 앤드포인트 보안, 리버싱 가능, 어셈블리 언어, MSA Architecture, 데이터 유출 관련, 디지털 포렌식 분석, 네트워크보안, 백신프로그램, 보안소프트웨어, 보안컨설팅, 정보보안, 서비스기획, 앱기획, 콘텐츠기획, UI·UX기획, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 인터페이스, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 데이터레이크, 데이터분석, 네트워크관리, 방화벽, 보안관제, 정보보안, 핀테크, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 딥러닝, 자연어처리(NLP), 이미지프로세싱, 챗봇, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 검증, 웹마스터, 테스터",https://www.jobkorea.co.kr/Recruit/Co_Read/C/70624
19,㈜유비온,"㈜유비온 PM, SW엔지니어, 기획/QA 부문 신입 및 경력 채용","신입·경력3년↑,학력무관,서울 구로구 외,정규직","솔루션, 서비스기획, 스토리보드, 제안·컨설팅, 데이터분석, PM, PL, PO, GUI, 반응형웹, 인터페이스, 시스템분석, 시스템설계, 정보보안, SI개발, GUI, 반응형웹, 검증, 웹마스터, 테스터",https://www.jobkorea.co.kr/Recruit/Co_Read/C/38091
