,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
14,주식회사 지오스토리,[지오스토리] 영상 딥러닝 AI개발자 경력직 채용,"경력무관,대졸↑,정규직,,서울 강서구,~04/25(목)","딥러닝, 측량, 측량, 영상처리, AI",https://www.jobkorea.co.kr/Recruit/GI_Read/44311969?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=15
15,㈜일리아스에이아이,AI 딥러닝 개발자 경력 채용,"경력5년↑,석사↑,정규직,,서울 구로구,~04/24(수)","딥러닝, 소프트웨어개발, 솔루션, BigData, 빅데이터, 시스템설계, 아키텍처, 인공지능",https://www.jobkorea.co.kr/Recruit/GI_Read/44301298?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=16
16,딥브레인 AI,머신러닝/딥러닝 엔지니어(전문연구요원 가능),"경력,석사↑,정규직,,서울 강남구,~04/24(수)","딥러닝, 솔루션, 모델링, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44300775?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=17
17,더조은컴퓨터학원,"[더조은컴퓨터 구로캠퍼스] 빅데이터(파이썬), AI(머신러닝,딥러닝) 강사 채용","경력무관,학력무관,정규직 외,,서울 구로구,~05/20(월)","딥러닝, 빅데이터, 디자인학원, 자격증·기술, IT학원, 직업훈련",https://www.jobkorea.co.kr/Recruit/GI_Read/44282079?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=18
18,㈜알에스엔,[신입/경력] 인공지능 딥러닝 개발자 모집,"신입·경력1년↑,대졸↑,정규직,,경기 고양시,~05/19(일)","딥러닝, BigData, AI 연구, 솔루션, 인공지능, 모델링, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/GI_Read/44270136?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=19
19,㈜연세교육아카데미,"KDT / 빅데이터 분석,시각화 강사 채용(자바,파이썬,DB,AI,머신러닝,딥러닝 등)","경력2년↑,학력무관,계약직,,경기 수원시,~04/19(금)","딥러닝, 빅데이터, 데이터관리, 빅데이터 시각화, 기능학원, 교사, 프론트엔드, DBMS, 학원강사, 데이터마이닝, 인공지능, 이미지프로세싱, 파이썬, 자바, IT학원, 챗봇, 자연어처리(NLP), 교사, 강사, 교강사, 강의",https://www.jobkorea.co.kr/Recruit/GI_Read/44268694?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=20
20,㈜에프에스솔루션,[경력] Computer Vision 및 딥러닝 Algorithm 개발(ADAS / DMS / Surveillance / 영상인식),"경력3년↑,대졸↑,정규직,,경기 성남시,~05/17(금)","딥러닝, 솔루션, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44247909?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=21
21,㈜테서,AI Engineer : 의료영상데이터 딥러닝 연구원 (전문연구요원 가능),"신입·경력,대졸↑,정규직 외,,서울 강남구,상시채용","딥러닝, BigData, 솔루션, 이미지프로세싱, 모델링, 챗봇, 소프트웨어개발, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/GI_Read/44169683?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=22
22,㈜아이넷캅,[경력·전문연] 딥러닝/머신러닝 개발자 채용(내일채움공제가능),"신입·경력1년↑,대졸↑,정규직 외,,서울 송파구,~04/23(화)","딥러닝, 빅데이터, 데이터관리, 데이터레이크, 백신프로그램, 네트워크보안, Python, ETL, 데이터마이닝, 인공지능, 이미지프로세싱, 모델링, 모델링, 보안소프트웨어, 알고리즘, 챗봇, 데이터파이프라인, 정보보안",https://www.jobkorea.co.kr/Recruit/GI_Read/44076224?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=23
23,㈜에어패스,"인공지능 개발, 딥러닝 엔지니어(자연어, 컴퓨터비전) 정규직","경력3년↑,대졸↑,정규직,,경기 하남시,~04/16(화)","딥러닝, 모바일앱개발, 데이터레이크, 솔루션, 시스템분석, 인공지능, 이미지프로세싱, 모델링, 아키텍처, 시스템설계, 소프트웨어개발, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/GI_Read/44019516?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=24
24,㈜라이드로,[라이드로] LiDAR 딥러닝 알고리즘 개발자 모집,"경력2년↑,대졸↑,정규직,,경기 성남시,~04/14(일)","LiDAR 딥러닝 알고리즘 개발, 자동차부품, 자동차",https://www.jobkorea.co.kr/Recruit/GI_Read/43987690?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=25
25,㈜에이조스바이오,신약개발 AI 딥러닝 모델개발 연구원 (ADLi R&D),"경력1년↑,석사↑,정규직,,경기 하남시,~05/09(목)","빅데이터, 인공지능, 생명공학",https://www.jobkorea.co.kr/Recruit/GI_Read/44419184?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=26
26,한국딥러닝㈜,[한국딥러닝] 인공지능 학습용 데이터 댐 구축사업 총괄 PM,"경력2년↑,대졸↑,정규직,,서울 서초구 외,~05/02(목)","사업계획서, 인공지능, 정부과제, 프로젝트 관리, WBS, 인공지능 학습용 데이터댐, 소프트웨어개발, 사업기획, 신사업기획, PM",https://www.jobkorea.co.kr/Recruit/GI_Read/44373287?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=27
27,한국딥러닝㈜,[한국딥러닝] 3D asset 마켓플레이스 플랫폼 PO (Product Owner),"경력2년↑,대졸↑,정규직,,서울 서초구 외,~05/02(목)","데이터분석, GA, LLM, 앱기획, 와이어프레임, UI·UX기획, SORA, 프로덕트 오너, 스토리보드, 플랫폼 기획, Clarity, PO, 서비스기획, 소프트웨어개발, AI",https://www.jobkorea.co.kr/Recruit/GI_Read/44372035?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=28
28,한국딥러닝㈜,[한국딥러닝] 사업계획서 / 제안서 작성 담당자 채용,"경력2년↑,대졸↑,정규직,,서울 서초구 외,상시채용","기술기획, 정부사업, 신사업기획, 제안·컨설팅, 사업기획, 사업계획서, 소프트웨어개발, 제안서",https://www.jobkorea.co.kr/Recruit/GI_Read/44371424?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=29
29,블루닷㈜,딥러닝 알고리즘 엔지니어(신입),"신입,대졸↑,정규직,,서울 강남구,~04/24(수)","ASIC, SoC, IC설계",https://www.jobkorea.co.kr/Recruit/GI_Read/44306688?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=30
30,블루닷㈜,딥러닝 개발자,"경력6년↑,대졸↑,정규직,,서울 강남구,~04/24(수)","ASIC, SoC, IC설계",https://www.jobkorea.co.kr/Recruit/GI_Read/44306492?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=31
31,글로빛㈜,"[글로빛] 빅데이터분석,AI(머신러닝,딥러닝) 가능한 박사님 모십니다.","경력무관,박사↑,프리랜서,,서울 서초구,상시채용","대학(교)교직원, 교육진행",https://www.jobkorea.co.kr/Recruit/GI_Read/44225014?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=32
32,비타,python 백앤드 딥러닝,"경력3년↑,학력무관,정규직,,경기 성남시,~04/12(금)","솔루션, Python, 서버관리, 데이터분석, 분석모델링, DataMining, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44208413?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=33
