,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
43,휴먼교육센터,[전액무료 IT취업] 파이썬/데이터분석/인공지능/풀스택(무료숙식교육),"신입·경력,학력무관,연수생/교육생,,서울 영등포구 외,~04/15(월)","딥러닝, 백엔드, 사물인터넷, 프론트엔드, IT학원, 게임기획, 서비스기획, 스토리보드, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 증강현실, 가상현실, 암호화폐, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 모델링, 데이터마이닝, OLAP개발자, 데이터관리, DBMS, DB튜닝, DW모델러, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, BI, 데이터분석, 데이터시각화, 분석모델링, 네트워크관리, 방화벽, 보안관제, 정보보안, 암호화폐, 핀테크, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 증강현실, MMORPG, 가상현실, 클라이언트, 메타버스, 검증, 시스템분석, 시스템설계, 펌웨어, 회로설계, 모델링, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 암호화폐, DID, 스마트컨트랙트, Dapp, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 웹마스터, GUI, 반응형웹, 웹표준·웹접근성, 검증, 웹마스터, 테스터",https://www.jobkorea.co.kr/Recruit/GI_Read/44414740?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=44
44,이젠컴퓨터아카데미,[서울/경기]100프로 무료 취업교육생모집 (UI.UX웹디자인&퍼블리셔/웹개발/게임/빅데이터/영상),"신입·경력,고졸↑,연수생/교육생,,서울 관악구 외,~06/07(금)","딥러닝, CAD, 앱디자인, MAX, Unity, 메타버스, 기업교육, e러닝, IT학원, 디자인, CAD, 웹에이전시, 2D디자인, 2D온라인게임, 3D디자인, 3D모델링, 3D온라인게임, 게임디자인, 게임소프트웨어, 모바일앱게임, 웹게임, 퍼블리싱, Java게임, 모바일, 모바일App, 게임기획, 서비스기획, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, 영상제작, 증강현실, 가상현실, 메타버스, 모델링, 데이터관리, 빅데이터, 데이터레이크, 데이터파이프라인, 네트워크관리, 방화벽, 정보보안, 시스템분석, 시스템설계, 정보보안, 모델링, 증강현실, 가상현실, 클라이언트, 메타버스, 모델링, 자연어처리(NLP), 음성인식, 인공지능, 웹마스터, GUI, 웹표준·웹접근성, 2D디자인, 모션그래픽, 애니메이션, 원화디자인, CG, Sign디자인, 디지털디자인, 모션그래픽, 아바타디자인, 애니메이션, 원화디자인, 모션그래픽, 애니메이션, CG, 영상제작, 모바일디자인, UI·UX기획, GUI, 모바일디자인, UI·UX기획, 맥디자인, 삽화·일러스트, 2D디자인, 모션그래픽, 애니메이션, 제품개발, 제어·설계, 기계조작, 캐드원, 3D설계, CAM, 건축설계, 건축CM, 리모델링, 캐드원, 건축설계, 특수효과, CG, 영상제작",https://www.jobkorea.co.kr/Recruit/GI_Read/44407659?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=45
45,㈜하이미디어아카데미,[국비무료IT취업교육생모집]JAVA개발자/풀스택개발자/프론트엔드/백엔드/빅데이터/개발자취업교육과정/취업연계매칭시스템,"경력무관,학력무관,연수생/교육생,,강원,~04/13(토)","딥러닝, 게임기획, 서비스기획, 스토리보드, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 증강현실, 가상현실, 암호화폐, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 모델링, 데이터마이닝, OLAP개발자, 데이터관리, DBMS, DB튜닝, DW모델러, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, BI, 데이터분석, 데이터시각화, 분석모델링, 네트워크관리, 방화벽, 보안관제, 정보보안, 암호화폐, 핀테크, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 증강현실, MMORPG, 가상현실, 클라이언트, 메타버스, 검증, 시스템분석, 시스템설계, 펌웨어, 회로설계, 모델링, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 암호화폐, DID, 스마트컨트랙트, Dapp, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 웹마스터, GUI, 반응형웹, 웹표준·웹접근성, 검증, 웹마스터, 테스터",https://www.jobkorea.co.kr/Recruit/GI_Read/44383886?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=46
46,대한상공회의소 광주인력개발원,[K-디지털/취업유망 취업연계]국비기술교육생모집(AI응용SW개발/CAD·CAM/자동화/전기),"경력무관,학력무관,연수생/교육생,,광주 광산구 외,상시채용","딥러닝, 대한상공회의소 광주인력개발원, 공공기관, 공기업, 협회, 데이터분석, 서버관리, GUI, 반응형웹, 증강현실, 가상현실, 챗봇, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 모델링, 데이터마이닝, 데이터관리, DB튜닝, DW모델러, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, BI, 데이터분석, 데이터시각화, 분석모델링, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 시스템분석, 시스템설계, 펌웨어, 회로설계, 모델링, 인공지능, 암호화폐, 스마트컨트랙트, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 메카트로닉스, 임베디드, 자동제어, 펌웨어, 회로설계, PCB, PLC, 금속, 메카트로닉스, 생산기술, CAM, 제어·설계, 기계조작, 로봇설계, 3D설계, 전기설계, CAM, 2D설계, 정보통신, 생산기술, 정보통신, 제품개발, 제어·설계, 자동화라인, 에너지, 자동제어, 공정개발, 자동화라인, 임베디드, 회로설계, 에너지, 정보통신·IT, 연구·실험·기술, 제조·공정, 화학·섬유, 전기설비, 전기설비",https://www.jobkorea.co.kr/Recruit/GI_Read/44298455?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=47
47,한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준비된 인재로 취업하기/SW융복합 인재양성 /수료전부터 취업연계매칭시스템,"신입·경력,고졸↑,연수생/교육생,,서울,~04/19(금)","딥러닝, Java, 디버깅, 백엔드, 아키텍처 설계, 자바, 프론트엔드, AWS, AI, 기능학원, e러닝, IT학원, BPM, ERP, IFRS, IT컨설팅, KMS, Oracle, SAP, SCM, Sybase, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, 반응형웹, 인터페이스, 증강현실, 가상현실, 암호화폐, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 클라이언트, SI개발, 모델링, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 웹마스터, GUI, 반응형웹, 웹표준·웹접근성",https://www.jobkorea.co.kr/Recruit/GI_Read/44187169?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=48
48,㈜세종교육,[IT취업률100프로]AIoT/AWS/풀스택개발(무료숙식교육/비전공자가능/수도권기숙)국비무료 취준생 선착순 모집,"신입,학력무관,연수생/교육생,,경기 성남시 외,~04/26(금)","딥러닝, 빅데이터, Alot, 어플리케이션, FrameWork, 직업전문학교, 서버관리, 인공지능, AWS, 서버구축, JAVA프로그래밍, web, 리눅스, Docker, 자바, Alo, 클라이언트, 서버구축, 반응형웹, 서버관리, AI, 도커",https://www.jobkorea.co.kr/Recruit/GI_Read/44080265?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=49
49,㈜브릴스,[주식회사 브릴스(BRILS)] 2024년 각 부문별 인재모집,"경력3년↑,초대졸↑,정규직,,인천 연수구,~06/08(토)","결산, 관리회계, 메카트로닉스, 상품입출고, 거래처관리, 메카트로닉스, 재무회계, 회로설계, 제어·설계, 복리후생, 행정, IPO, 비품관리, 영업기획, 재고관리, 펌웨어, 시스템영업, PM, 영업전략, 재무분석, 기술영업, 재무회계, 구매계약, PCB, 기업회계, 로봇설계, 거래선개발관리, 메카트로닉스, 재무기획, 전기설계, 매출관리, 자동제어, 자재구매, 데이터분석, 재무기획, 재무분석, 자재구매, 전표입력, 통계·분석, 임베디드, 자산관리, 회로설계, PLC, 고객관리, 문서관리, 자동차영업, 기계조작, 로봇설계, 서무, 국내영업, 기술지원, 원가회계, 전산회계, ERP운용",https://www.jobkorea.co.kr/Recruit/GI_Read/44424360?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=50
50,㈜비바리퍼블리카,[토스뱅크] CSS Modeler (기획/운영),"경력3년↑,학력무관,정규직,,서울 강남구,상시채용","딥러닝, 인공지능, 데이터분석, 분석모델링, 모델링",https://www.jobkorea.co.kr/Recruit/GI_Read/44429023?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=51
51,(주)한백전자,(주)한백전자 인공지능 분야 연구원 모집,"경력3년↑,대졸↑,정규직,,대전 유성구,~05/09(목)","딥러닝, 임베디드, 인공지능",https://www.jobkorea.co.kr/Recruit/GI_Read/44427319?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=52
52,㈜에이치비테크놀러지,MLOps 솔루션 백엔드 & 프론트엔드 S/W 개발자 채용 (경력),"경력2년↑,대졸↑,정규직,,서울 강남구,~05/09(목)","딥러닝, 인공지능, LCD, R&D, 디스플레이, LED, TFT",https://www.jobkorea.co.kr/Recruit/GI_Read/44426815?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=53
53,코맥스,R&D 연구직 경력 채용(웹개발 프런트앤드),"경력,대졸↑,,경기 성남시,~04/30(화)","딥러닝, 빅데이터, IoT, 회로설계, PCB, 인공지능, 클라우드개발자, 안드로이드",https://www.jobkorea.co.kr/Recruit/GI_Read/44425946?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=54
54,코맥스,R&D 연구직 경력 채용(System Management),"경력,학력무관,,경기 성남시,~04/30(화)","딥러닝, 빅데이터, IoT, 회로설계, PCB, 인공지능, 클라우드개발자, 안드로이드",https://www.jobkorea.co.kr/Recruit/GI_Read/44425938?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=55
55,코맥스,R&D 연구직 경력 채용(HW 개발),"경력,초대졸↑,,경기 성남시,~04/30(화)","딥러닝, 빅데이터, IoT, 회로설계, PCB, 인공지능, 클라우드개발자, 안드로이드",https://www.jobkorea.co.kr/Recruit/GI_Read/44425925?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=56
56,코맥스,R&D 연구직 경력 채용(Android App 개발자),"경력,학력무관,,경기 성남시,~04/30(화)","딥러닝, 빅데이터, IoT, 회로설계, PCB, 인공지능, 클라우드개발자, 안드로이드",https://www.jobkorea.co.kr/Recruit/GI_Read/44425909?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=57
57,코맥스,R&D 연구직 신입/병역특례(보충역) 채용(스마트홈 어플리케이션 개발),"신입,석사↑,,경기 성남시,~04/30(화)","딥러닝, 빅데이터, IoT, 회로설계, PCB, 인공지능, 클라우드개발자, 안드로이드",https://www.jobkorea.co.kr/Recruit/GI_Read/44425895?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=58
58,코맥스,"R&D 연구직 경력/병역특례(보충역) 채용(빅데이터, AI)","경력,석사↑,,경기 성남시,~04/30(화)","딥러닝, 빅데이터, IoT, 회로설계, PCB, 인공지능, 클라우드개발자, 안드로이드",https://www.jobkorea.co.kr/Recruit/GI_Read/44425882?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=59
59,코맥스,"R&D 연구직 경력/병역특례(보충역) 채용(클라우드, 빅데이터)","경력,석사↑,,경기 성남시,~04/30(화)","딥러닝, 빅데이터, IoT, 회로설계, PCB, 인공지능, 클라우드개발자, 안드로이드",https://www.jobkorea.co.kr/Recruit/GI_Read/44425868?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=60
60,코맥스,R&D 연구직 신입/경력/병역특례(보충역) 채용,"신입·경력,학력무관,,경기 성남시,~04/30(화)","딥러닝, 빅데이터, IoT, 회로설계, PCB, 인공지능, 클라우드개발자, 안드로이드",https://www.jobkorea.co.kr/Recruit/GI_Read/44425836?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=61
61,㈜에스에프에이,2024년 SFA 공개채용 (경력 및 신입),"신입·경력,대졸↑,정규직,,경기 화성시 외,~04/28(일)","딥러닝, 생산기술, 제품개발, 빅데이터, 신소재, 기구설계, 솔루션영업, 조립, 회로설계, CAM, 제어·설계, 데이터레이크, 제품개발, 신소재, 음성인식, 회로설계, 시스템영업, 절단, 해외마케팅, 회로설계, 수출입계약, 시스템분석, 전기·전자, 중국어, 인공지능, 3D설계, 기술영업, 자동화설비, 정보보안, 정보통신·IT, 제조·공정, 바이어개발, 영어, 자동제어, PCB, 기계조작, 자동화라인, 기타외국어, 전기설계, R&D, 자동제어, 제어·설계, 기계설비, 제관, 모델링, 반도체·LCD, 시스템설계, CAM, 2D설계, 연구·실험·기술, 네트워크영업, 회로, 회로설계, PLC, 생산기술, 일본어, 공정개발, 기계조작, 데이터파이프라인, 기술지원, 회로설계",https://www.jobkorea.co.kr/Recruit/GI_Read/44416733?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=62
62,GS리테일,[GS리테일] DX본부 편의점DX팀 SW 엔지니어 경력사원 채용,"경력5년↑,대졸↑,정규직,,서울 영등포구,~04/21(일)","딥러닝, 마트, 숍마스터, 유통, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트",https://www.jobkorea.co.kr/Recruit/GI_Read/44420901?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=63
63,㈜하나금융티아이,[하나금융융합기술원] Computer Vision 인턴,"신입,학력무관,정규직 외,,서울 강남구,~04/17(수)","딥러닝, 소프트웨어개발, 솔루션, 분석모델링, 모델링, 이미지프로세싱, 인공지능",https://www.jobkorea.co.kr/Recruit/GI_Read/44417408?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=64
64,디아이티㈜,머신비젼SW / 검사장비 비젼 SW개발 경력직 채용,"경력무관,초대졸↑,정규직,,경기 화성시,~05/08(수)","딥러닝, 인공지능, 이미지프로세싱",https://www.jobkorea.co.kr/Recruit/GI_Read/44418420?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=65
65,현대오토에버㈜,[스마트팩토리] 요소기술 개발 리딩 - 팀장급,"경력10년↑,학력무관,정규직,,서울 강남구,상시채용","딥러닝, GUI, SM, 빅데이터, OLAP개발자, 데이터관리, 암호화폐, 웹표준·웹접근성, 증강현실, 펌웨어, 데이터레이크, 인터페이스, 검증, GUI, 음성인식, SI개발, DBMS, 시스템설계, 회로설계, 데이터시각화, 암호화폐, ETL, 시스템분석, 시스템운영, 서버관리, 인공지능, 챗봇, 시스템운영, 정보보안, BI, SI개발, 모델링, 방화벽, 서버구축, 시스템분석, 가상현실, 반응형웹, 이미지프로세싱, 클라이언트, SI개발, 네트워크관리, 웹마스터, 클라이언트, SI개발, 모델링, 보안관제, 시스템분석, 시스템설계, 증강현실, 데이터분석, 인터페이스, 솔루션스아키텍트, 네트워크관리, 펌웨어, MMORPG, 분석모델링, 메타버스, 네트워크관리, 모델링, 정보보안, 데이터마이닝, 클라우드개발자, 아키텍처, 챗봇, 클라이언트, 서버구축, 시스템설계, 반응형웹, 핀테크, DW모델러, HTTP, 서버관리, 암호화폐, 음성인식, 클라우드아키텍트, 핀테크, Dapp, 네트워크관리, 소프트웨어개발, 자연어처리(NLP), 가상현실, 핀테크, DID, 데이터파이프라인, DB튜닝, 스마트컨트랙트, 메타버스",https://www.jobkorea.co.kr/Recruit/GI_Read/44397125?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=66
66,더치트주식회사,"데이터 애널리스트 / 데이터분석 전문가 / 통계 전문가 / Data Analyst (통계전공자, 석사 이상)","경력3년↑,석사↑,정규직 외,,서울 마포구,~05/05(일)","딥러닝, 인공지능, 모델링, 인터넷금융, 데이터분석, 데이터마이닝",https://www.jobkorea.co.kr/Recruit/GI_Read/44397656?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=67
67,더치트주식회사,클라우드 시스템 엔지니어 / 데브옵스 엔지니어 / DevOps Engineer,"경력3년↑,학력무관,정규직 외,,서울 구로구,~05/05(일)","딥러닝, 빅데이터, 인공지능, 모델링, 인터넷금융, 데이터마이닝",https://www.jobkorea.co.kr/Recruit/GI_Read/44397652?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=68
68,㈜오누이,[에듀테크 스타트업 오누이/설탭] AI 엔지니어,"경력5년↑,대졸↑,정규직,,서울 마포구,~05/04(토)","딥러닝, AI엔지니어, 알고리즘, tensorflow, PyTorch, AI",https://www.jobkorea.co.kr/Recruit/GI_Read/44389095?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=69
69,이트너스㈜,이트너스(주) 기업부설연구소 경력직 채용,"경력1년↑,대졸↑,정규직,,경기 성남시,~05/02(목)","딥러닝, 인공지능, 모델링, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/GI_Read/44366449?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=70
70,㈜다비오,(주)다비오 SAR 신호처리 엔지니어 채용,"경력2년↑,대졸↑,정규직,,서울 마포구,~05/02(목)","딥러닝, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44363954?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=71
71,㈜에이치비테크놀러지,Vision 영상처리(2D/3D) S/W 개발,"경력,대졸↑,정규직,,서울 강남구,~05/01(수)","딥러닝, C++, OpenCV, Python, VisualC++, VISION, CUDA, LCD, IPP, 이미지프로세싱, 디스플레이, 머신러닝, 영상처리, LED, TFT, Image Processing",https://www.jobkorea.co.kr/Recruit/GI_Read/44360712?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=72
72,㈜비아이매트릭스,[코스닥기업]AI 연구개발(Python 능숙자),"경력3년↑,학력무관,정규직,,서울 강남구,~04/16(화)","딥러닝, BI, DW, OLAP, SCM, 서버관리, SI개발, 모델링, 자연어처리(NLP), 인공지능, 챗봇",https://www.jobkorea.co.kr/Recruit/GI_Read/44360379?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=73
73,㈜넥슨,[인텔리전스랩스] 글로벌 플랫폼 기획자,"경력3년↑,학력무관,정규직,,경기 성남시,상시채용","딥러닝, 빅데이터, 인공지능, 플랫폼기획, 서비스기획, 시장분석",https://www.jobkorea.co.kr/Recruit/GI_Read/44354511?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=74
74,굿어스㈜,"NVIDIA 엔지니어 (신입, 경력 2년 이상 10년 이하) 채용","신입·경력2년↑,학력무관,정규직,,서울 강남구,~04/21(일)","딥러닝, NI, SI, 인공지능",https://www.jobkorea.co.kr/Recruit/GI_Read/44352663?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=75
75,㈜에프앤가이드,에프앤가이드 AI팀 모집,"경력8년↑,대졸↑,정규직,,서울 강서구,~04/30(화)","딥러닝, BigData, 소프트웨어개발, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/GI_Read/44352235?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=76
76,(재)경기도일자리재단,주식회사 딥인사이트 경력 채용 공고,"경력1년↑,대졸↑,정규직,,경기 성남시,~04/15(월)","딥러닝, 재단법인, 모델링, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇",https://www.jobkorea.co.kr/Recruit/GI_Read/44323562?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=77
77,(재)경기도일자리재단,한국시스템반도체협동조합 신입/경력 채용 공고,"신입·경력,대졸↑,정규직,,경기 성남시,~04/15(월)","딥러닝, 재단법인, 시장분석, 시장조사, 데이터분석, 브랜드기획, 전략기획, 콘텐츠기획, 인공지능",https://www.jobkorea.co.kr/Recruit/GI_Read/44324468?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=78
78,㈜오누이,[에듀테크 스타트업 오누이/설탭] 분야별 채용,"신입·경력,학력무관,정규직 외,,서울 마포구 외,상시채용","딥러닝, 전산입력, 학원운영, 사이트관리, 웹표준·웹접근성, WebAPI, 데이터 분석, 아키텍쳐, 원격상담, 일반학원, SNS마케팅, 영업기획, Python, 콜통계분석, 교육상담, 영업전략, 전화상담, 게시판관리, 제휴마케팅, SNS마케팅, 고객지원, CS교육, 고객문의분석, 문서작성, 바이럴마케팅, 웹 서비스, 데이터분석, 온라인상담, 텔레마케팅, 데이터분석, SNS마케팅, 회원관리, 세일즈, SNS마케팅, 상담품질관리, 전화상담, 기술상담, 학생관리, PyTorch, 통화품질분석, 딥러링, 고객관리, API, 디지털마케팅, AI, 국내영업, 채팅상담, A·S상담, Vitest",https://www.jobkorea.co.kr/Recruit/GI_Read/44334468?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=79
79,㈜씨이랩,[(주)씨이랩] ML FW개발자 모집,"경력1년↑,대졸↑,정규직,,서울 강남구,~04/28(일)","딥러닝, BigData, 인공지능, 모델링, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44346440?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=80
