player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5,position_6
Sergi Darder,Espanyol,30,"CM, LM, RM",38,3325,6,3,4,0,1.0,78.5,0.3,5,7.08,1.8,0.6,0.8,0.0,0.6,1.2,0.1,0,1.9,1.8,2.1,0.1,0.7,1.1,37.5,1.3,2.5,0.1,3.31,2.69,0.09,39.0,0.08,CM, LM, RM,,,
Enes Ünal,Getafe,26,FW,35,2986,14,3,6,0,2.5,60.9,4.6,5,7.07,0.7,0.2,1.7,0.1,1.0,0.5,0.1,0,0.8,0.6,2.2,0.8,1.4,2.5,20.7,0.1,0.2,0.1,11.56,2.44,0.35,88.0,0.13,FW,,,,,
Juan Foyth,Villarreal,26,"CB, RB, CDM",22(2),1960,1,0,6,0,0.6,87.8,1.5,1,7.06,3.0,0.8,1.7,0.4,2.4,0.7,0.5,0,0.5,1.1,0.4,0.0,0.6,0.9,45.4,0.2,2.9,0.0,1.38,-0.38,0.06,14.0,0.1,CB, RB, CDM,,,
Isi Palazón,Rayo Vallecano,29,"CAM, RAM",36(1),2990,9,5,4,0,2.5,78.9,0.8,3,7.05,1.2,0.5,1.0,0.0,0.7,1.1,0.1,0,1.8,1.4,2.8,0.2,1.8,2.1,31.4,1.5,1.4,0.1,7.86,1.14,0.24,94.0,0.08,CAM, RAM,,,,
Raphinha,Barcelona,27,"LAM, RAM, FW",25(11),2087,7,7,8,0,2.2,79.9,0.4,6,7.04,0.8,0.4,0.6,0.0,0.3,0.6,0.0,0,1.6,1.3,1.0,0.4,0.7,1.5,29.0,1.2,1.7,0.2,8.74,-1.74,0.38,79.0,0.11,LAM, RAM, FW,,,
Toni Kroos,Real Madrid,34,CM,25(5),2164,2,4,0,1,1.0,94.6,0.2,1,7.04,1.7,0.8,0.9,0.0,0.2,1.5,0.1,0,1.8,0.3,1.2,0.0,0.4,0.3,77.7,1.1,6.8,0.1,1.1,0.9,0.05,31.0,0.04,CM,,,,,
Aleix García,Girona,26,CDM,26(4),2341,1,5,1,0,1.1,88.9,0.4,2,7.04,1.2,1.0,0.5,0.0,0.9,0.6,0.3,0,2.1,0.4,1.0,0.0,0.4,0.6,48.4,2.2,3.3,0.1,1.56,-0.56,0.06,32.0,0.05,CDM,,,,,
Aurélien Tchouaméni,Real Madrid,24,"CB, CDM",24(9),2120,0,4,2,0,1.2,93.5,1.5,2,7.04,1.9,1.5,1.1,0.1,1.5,0.5,0.2,0,0.7,0.8,1.1,0.0,0.4,0.7,51.1,0.0,1.2,0.1,1.97,-1.97,0.08,38.0,0.05,CB, CDM,,,,
David Gil,Cadiz,30,GK,4,360,0,0,0,0,0.0,44.7,0.0,0,7.04,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,8.3,0.0,,,,,,GK,,,,,
Conan Ledesma,Cadiz,31,GK,34,3060,0,0,2,0,0.0,46.8,0.3,5,7.03,0.1,0.1,0.0,0.0,1.5,0.1,0.0,0,0.0,0.1,0.2,0.0,0.0,0.0,28.6,0.0,7.5,0.0,0.05,-0.05,0.0,1.0,0.05,GK,,,,,
Éder Militão,Real Madrid,26,"CB, RB",30(3),2703,5,0,4,0,0.7,88.7,1.9,2,7.03,1.4,1.3,1.1,0.5,3.0,0.2,1.2,0,0.2,0.3,1.2,0.0,0.2,0.5,55.8,0.1,3.4,0.0,3.53,1.47,0.12,22.0,0.16,CB, RB,,,,
Vedat Muriqi,Mallorca,30,FW,34(1),2953,15,3,6,1,2.2,57.8,5.7,4,7.01,0.3,0.3,1.7,0.0,2.1,0.3,0.2,0,0.6,0.3,1.1,0.8,1.3,2.3,23.3,0.0,0.4,0.0,13.52,1.48,0.41,76.0,0.18,FW,,,,,
Sergio Busquets,Barcelona,35,CDM,28(2),2347,0,4,6,1,0.3,88.7,1.8,0,6.99,1.9,0.9,1.0,0.0,1.0,0.7,0.2,0,0.8,0.4,1.3,0.0,0.4,0.6,64.5,0.1,3.8,0.3,0.39,-0.39,0.01,9.0,0.04,CDM,,,,,
Takefusa Kubo,Real Sociedad,22,"CAM, LAM, RAM, FW",29(6),2452,9,4,3,0,2.1,75.9,0.5,4,6.98,1.3,0.3,1.0,0.0,0.1,0.6,0.0,0,1.1,1.4,1.4,0.6,1.2,2.6,22.5,0.5,0.3,0.0,6.99,2.01,0.26,72.0,0.1,CAM, LAM, RAM, FW,,
Guido Rodríguez,Real Betis,30,CDM,33(1),2878,1,0,8,0,0.6,87.4,1.3,3,6.98,3.4,1.2,1.3,0.0,2.0,1.4,0.4,1,0.3,0.6,1.9,0.0,0.6,0.5,49.1,0.0,2.6,0.1,1.35,-0.35,0.04,22.0,0.06,CDM,,,,,
José Gayà,Valencia,28,"LB, LM",31,2716,1,3,4,0,0.7,81.0,0.8,3,6.98,2.6,0.7,0.4,0.2,1.3,1.0,0.3,0,1.9,0.8,0.9,0.2,0.4,0.6,39.5,1.5,2.1,0.0,2.34,-1.34,0.08,23.0,0.1,LB, LM,,,,
Javi Galán,Celta Vigo,29,"LB, LM",36(1),3163,0,3,6,0,0.4,80.7,0.9,5,6.98,2.8,1.1,1.4,0.2,1.5,1.4,0.1,0,1.4,1.9,2.0,0.2,1.1,1.7,41.1,1.1,2.2,0.0,0.62,-0.62,0.02,13.0,0.05,LB, LM,,,,
Jules Koundé,Barcelona,25,"CB, RB",28(1),2429,1,3,2,0,0.5,88.8,1.5,1,6.97,1.3,0.7,0.8,0.5,1.9,0.3,0.3,1,0.6,0.5,0.4,0.1,0.6,0.8,63.9,0.2,2.1,0.1,1.74,-0.74,0.06,14.0,0.12,CB, RB,,,,
José Giménez,Atletico Madrid,29,"CB, RB",26(2),2421,2,1,9,0,0.8,88.8,1.8,2,6.96,1.5,0.9,0.7,0.3,4.8,0.4,0.6,0,0.3,0.2,0.3,0.0,0.0,0.3,47.4,0.0,4.2,0.0,2.15,-0.15,0.08,22.0,0.1,CB, RB,,,,
Dani Parejo,Villarreal,35,CM,37,3289,3,4,6,0,0.8,90.6,0.5,2,6.96,1.9,0.8,0.8,0.1,0.8,1.2,0.3,0,1.4,0.8,2.0,0.0,0.9,0.8,65.1,0.9,4.1,0.1,4.91,-1.91,0.13,30.0,0.16,CM,,,,,
Marco Asensio,Real Madrid,28,"CAM, LAM, RAM, FW",15(16),1436,9,6,1,0,1.9,87.9,0.1,3,6.94,0.5,0.2,0.3,0.0,0.1,0.4,0.1,0,1.3,0.7,0.5,0.1,0.4,0.6,22.8,0.6,1.0,0.1,5.85,3.15,0.37,59.0,0.1,CAM, LAM, RAM, FW,,
Thibaut Courtois,Real Madrid,31,GK,31,2790,0,0,0,0,0.0,83.9,0.3,2,6.94,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0,0.1,0.1,0.1,0.0,0.0,0.1,30.3,0.0,3.9,0.0,,,,,,GK,,,,,
Gerard Moreno,Villarreal,32,"CAM, RAM, FW",14(7),1227,7,3,4,0,2.0,75.1,0.9,1,6.94,0.5,0.2,0.5,0.0,0.5,0.1,0.1,0,0.9,1.4,0.7,0.6,0.9,1.5,22.1,0.0,1.0,0.1,9.95,-2.95,0.73,43.0,0.23,CAM, RAM, FW,,,
Brais Méndez,Real Sociedad,27,"CAM, RAM, FW",28(6),2418,8,4,6,0,1.8,82.4,0.7,2,6.93,1.7,0.4,1.8,0.0,0.4,1.2,0.1,0,1.4,0.4,1.6,0.1,0.9,1.4,34.6,1.0,1.6,0.2,5.72,2.28,0.21,60.0,0.1,CAM, RAM, FW,,,
Loïc Badé,Sevilla,24,CB,16(3),1448,1,0,4,0,0.2,87.5,1.8,3,6.92,1.4,1.2,0.7,0.5,3.9,0.7,0.7,0,0.1,0.3,0.2,0.0,0.1,0.3,44.1,0.0,1.9,0.0,0.74,0.26,0.05,4.0,0.19,CB,,,,,
Iago Aspas,Celta Vigo,36,"CAM, RAM, FW",31(6),2868,12,3,5,0,2.1,79.0,0.8,2,6.91,0.2,0.2,0.4,0.0,0.6,0.5,0.0,0,2.2,0.6,1.6,0.3,1.2,1.4,31.5,0.2,1.6,0.2,11.19,0.81,0.35,78.0,0.14,CAM, RAM, FW,,,
Viktor Tsygankov,Girona,26,"CM, LM, RM",17(2),1494,3,6,0,0,1.0,72.9,0.4,1,6.91,0.4,0.4,0.4,0.0,0.5,0.7,0.1,0,1.9,0.9,1.1,0.1,0.8,0.8,29.4,1.1,0.9,0.0,2.39,0.61,0.14,19.0,0.13,CM, LM, RM,,,
Ronald Araujo,Barcelona,25,"CB, RB",21(1),1802,0,2,6,1,0.8,89.1,2.1,0,6.91,1.2,0.5,0.7,1.0,1.8,0.1,0.3,1,0.3,0.5,0.8,0.0,0.3,0.4,56.9,0.0,3.2,0.0,2.37,-2.37,0.12,18.0,0.13,CB, RB,,,,
Yeremy Pino,Villarreal,21,"LAM, RAM",31(5),2465,4,5,7,0,1.4,79.5,0.7,2,6.91,1.7,0.4,1.8,0.1,0.7,1.0,0.1,0,1.2,1.3,1.5,0.5,1.1,1.6,22.5,0.1,0.6,0.1,7.56,-3.56,0.28,50.0,0.15,LAM, RAM,,,,
Lucas Robertone,Almeria,27,CM,34(3),2860,2,7,7,0,1.0,82.4,0.6,2,6.91,1.4,1.2,0.9,0.1,1.1,1.0,0.2,0,1.4,0.7,2.4,0.1,0.5,1.2,32.7,1.2,2.2,0.2,2.43,-0.43,0.08,37.0,0.07,CM,,,,,
Reinildo,Atletico Madrid,30,"CB, LB, LM",22,1860,0,0,4,0,0.3,87.1,1.4,1,6.91,3.0,1.4,1.5,0.0,2.4,0.5,0.5,0,0.4,0.3,1.4,0.0,0.4,0.9,43.3,0.2,1.2,0.0,0.53,-0.53,0.03,6.0,0.09,CB, LB, LM,,,
Félix Garreta,Real Betis,20,CB,1,90,0,0,0,0,0.0,87.2,1.0,0,6.9,1.0,1.0,2.0,3.0,4.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,2.0,0.0,,,,,,CB,,,,,
Alejandro Balde,Barcelona,20,"LB, RB, LM",30(3),2477,1,6,4,0,0.6,91.1,0.6,1,6.9,1.3,0.4,0.8,0.3,0.4,0.5,0.1,0,0.7,1.5,0.9,0.2,0.7,1.2,42.7,0.7,1.1,0.0,1.49,-0.49,0.05,19.0,0.08,LB, RB, LM,,,
Nico Williams,Athletic Club,21,"LAM, RAM",32(4),2675,6,4,3,0,1.7,78.4,0.6,3,6.89,0.9,0.2,0.6,0.0,0.2,0.6,0.1,0,1.3,2.3,1.0,0.4,1.3,2.4,21.4,0.8,0.4,0.0,6.22,-0.22,0.21,61.0,0.1,LAM, RAM,,,,
Samuel Chukwueze,Villarreal,24,"CAM, RAM",27(10),2350,6,5,1,0,1.6,78.3,0.4,3,6.89,0.4,0.3,0.5,0.0,0.4,0.4,0.0,0,1.2,2.3,0.9,0.3,0.8,1.8,23.2,0.3,0.6,0.1,6.93,-0.93,0.27,60.0,0.12,CAM, RAM,,,,
Claudio Bravo,Real Betis,41,GK,12,1080,0,0,2,0,0.0,55.0,0.3,1,6.88,0.0,0.2,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,0.0,6.5,0.0,,,,,,GK,,,,,
Antonio Raíllo,Mallorca,32,CB,31,2767,2,3,11,1,0.4,83.2,3.0,1,6.88,1.1,1.0,1.4,0.4,5.1,0.2,0.9,0,0.2,0.1,0.7,0.2,0.1,0.3,34.9,0.0,2.1,0.0,0.83,1.17,0.03,13.0,0.06,CB,,,,,
Nicolas Jackson,Villarreal,22,FW,16(10),1603,12,4,4,1,1.6,76.4,0.5,4,6.87,0.5,0.1,1.2,0.0,0.1,0.2,0.1,0,0.8,0.9,1.0,0.5,1.5,2.1,12.2,0.1,0.3,0.0,8.31,3.69,0.47,41.0,0.2,FW,,,,,
Ayoze Pérez,Real Betis,30,"CAM, LAM, RAM, FW",17(2),1395,3,1,3,0,1.8,81.0,0.4,1,6.87,1.6,0.7,1.7,0.0,0.2,1.6,0.0,0,0.7,2.2,1.5,0.1,1.4,2.1,19.7,0.0,0.2,0.1,4.6,-1.6,0.3,34.0,0.14,CAM, LAM, RAM, FW,,
Marc-André ter Stegen,Barcelona,32,GK,38,3349,0,0,0,0,0.0,82.4,0.2,0,6.86,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,32.3,0.0,6.9,0.0,,,,,,GK,,,,,
Yannick Carrasco,Atletico Madrid,30,"LB, CM, LM, RM, FW",26(9),2330,7,3,2,0,1.9,84.8,0.1,0,6.85,1.0,0.3,0.7,0.1,0.5,0.9,0.0,0,1.3,1.7,0.6,0.2,1.0,1.5,26.1,0.7,0.7,0.1,8.21,-1.21,0.32,67.0,0.12,LB, CM, LM, RM, FW,
Umar Sadiq,Almeria,27,FW,3,242,2,0,1,0,2.3,61.8,1.3,0,6.85,0.0,0.0,3.0,0.0,1.0,0.3,0.0,0,1.0,1.3,0.7,2.3,3.7,2.3,11.3,0.0,0.0,0.0,1.22,0.78,0.45,7.0,0.17,FW,,,,,
Alexander Sørloth,Real Sociedad,28,"CAM, RAM, FW",28(6),2398,12,3,4,0,1.9,69.5,1.8,3,6.85,0.5,0.1,0.9,0.1,0.8,0.2,0.0,0,0.9,0.9,0.5,0.5,1.8,2.5,13.8,0.1,0.1,0.0,14.93,-2.93,0.56,63.0,0.24,CAM, RAM, FW,,,
David Silva,Real Sociedad,38,"CM, LM, RM, FW",25(3),1958,2,5,4,0,1.1,86.1,0.4,2,6.85,1.3,0.5,1.1,0.0,0.6,0.3,0.1,0,1.3,0.7,1.2,0.1,0.9,1.3,40.4,0.1,1.4,0.2,4.35,-2.35,0.2,30.0,0.15,CM, LM, RM, FW,,
Álvaro Morata,Atletico Madrid,31,"LAM, FW",23(13),1906,13,2,4,0,2.0,64.5,1.6,2,6.85,0.4,0.0,1.1,0.0,0.6,0.1,0.1,0,0.5,0.6,1.6,0.7,0.7,1.5,11.5,0.0,0.3,0.0,12.84,0.16,0.61,71.0,0.18,LAM, FW,,,,
Gerard Piqué,Barcelona,37,CB,5(2),383,0,0,3,1,0.4,92.2,2.9,0,6.85,0.7,0.3,1.0,0.3,2.7,0.0,0.1,0,0.1,0.1,0.3,0.0,0.1,0.3,54.7,0.0,4.3,0.0,0.23,-0.23,0.05,3.0,0.08,CB,,,,,
Aitor Fernández,Osasuna,33,GK,21,1890,0,0,1,0,0.0,61.4,0.1,2,6.85,0.0,0.1,0.0,0.0,1.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,0.0,10.1,0.0,,,,,,GK,,,,,
André Almeida,Valencia,23,"CM, FW",29(5),2552,2,4,3,0,0.7,84.9,0.4,1,6.84,1.9,0.6,0.9,0.0,0.4,0.9,0.0,0,1.3,1.4,1.2,0.0,1.4,1.2,36.8,1.1,1.6,0.1,1.7,0.3,0.06,23.0,0.07,CM, FW,,,,
David Soria,Getafe,31,GK,38,3420,0,0,3,0,0.0,49.7,0.1,6,6.84,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,27.1,0.0,11.1,0.0,,,,,,GK,,,,,
Gavi,Barcelona,19,"CAM, LAM",30(6),2543,2,4,10,0,0.8,87.5,1.1,0,6.84,1.3,0.5,2.1,0.1,0.6,0.9,0.1,0,1.1,0.8,2.0,0.3,0.9,1.6,32.1,0.2,0.9,0.1,2.93,-0.93,0.1,28.0,0.1,CAM, LAM,,,,
Álex Moreno,Real Betis,30,"LB, LM",15,1350,0,3,1,0,0.9,77.4,0.6,0,6.83,1.9,1.1,1.1,0.4,2.2,1.2,0.3,0,0.6,0.9,1.3,0.1,0.4,1.9,35.1,0.3,1.2,0.0,1.34,-1.34,0.09,13.0,0.1,LB, LM,,,,
Iñaki Williams,Athletic Club,29,"CAM, LAM, RAM, FW",34(2),2853,10,3,2,0,2.4,71.1,0.9,3,6.83,0.6,0.2,0.9,0.1,0.9,0.4,0.1,0,1.1,1.3,0.9,0.6,1.2,2.0,19.7,0.3,0.4,0.0,12.04,-2.04,0.38,85.0,0.14,CAM, LAM, RAM, FW,,
Jordi Masip,Real Valladolid,35,GK,28,2508,0,0,4,0,0.0,66.4,0.3,1,6.83,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0,0.0,0.0,0.2,0.0,0.0,0.0,30.0,0.0,6.3,0.0,,,,,,GK,,,,,
Giovani Lo Celso,Villarreal,28,"CM, RM, FW",14(8),1130,2,3,3,0,1.4,86.5,0.1,2,6.82,1.5,0.3,0.7,0.0,0.1,0.4,0.1,0,1.4,1.0,1.4,0.2,1.0,1.4,29.6,0.3,2.4,0.3,2.87,-0.87,0.23,30.0,0.1,CM, RM, FW,,,
Jordi Alba,Barcelona,35,"LB, LM",14(10),1423,2,3,4,1,0.5,86.6,0.3,1,6.82,1.0,0.5,0.5,0.2,0.6,0.7,0.2,0,1.6,0.2,0.2,0.4,0.3,0.3,51.1,1.0,2.1,0.1,0.63,1.37,0.04,13.0,0.05,LB, LM,,,,
Andreas Christensen,Barcelona,28,"CB, CDM",22(1),1767,1,1,2,0,0.4,94.0,1.8,0,6.82,0.9,0.9,0.8,0.8,2.0,0.3,0.5,1,0.3,0.0,0.3,0.0,0.0,0.4,65.0,0.0,2.8,0.0,0.99,0.01,0.05,10.0,0.1,CB, CDM,,,,
Álvaro García,Rayo Vallecano,31,"CAM, LAM",34(1),2890,5,5,7,0,1.5,71.6,0.3,4,6.82,1.4,1.0,1.0,0.0,0.5,0.6,0.1,0,1.4,0.6,0.9,0.3,0.5,1.5,23.3,0.9,0.6,0.0,3.44,1.56,0.11,52.0,0.07,CAM, LAM,,,,
Gabri Veiga,Celta Vigo,21,CAM,28(8),2308,11,4,6,1,1.7,76.9,0.5,3,6.82,1.2,0.6,1.2,0.0,0.1,1.0,0.1,0,0.8,1.1,1.1,0.1,0.6,1.8,19.5,0.1,0.9,0.1,5.7,5.3,0.22,62.0,0.09,CAM,,,,,
Iñigo Martínez,Athletic Club,32,CB,15,1339,1,0,1,0,0.7,81.8,1.7,0,6.81,1.2,1.2,0.9,0.8,3.5,0.2,0.7,0,0.3,0.0,0.7,0.2,0.1,0.3,50.9,0.0,5.3,0.0,1.12,-0.12,0.08,10.0,0.11,CB,,,,,
Samuel Lino,Valencia,24,"LB, LM, RM, FW",33(5),2897,6,1,4,0,2.5,80.4,0.4,2,6.81,1.7,0.5,0.9,0.0,0.2,1.2,0.0,0,0.7,1.4,1.6,0.4,1.5,2.2,27.7,0.2,0.6,0.1,8.24,-2.24,0.26,96.0,0.09,LB, LM, RM, FW,,
Juan Miranda,Real Betis,24,LB,16(5),1475,3,2,1,1,1.0,76.8,1.0,2,6.81,1.1,1.0,0.7,0.5,2.4,0.7,0.3,0,1.0,0.4,1.0,0.0,0.4,0.8,29.8,0.7,1.3,0.1,2.5,0.5,0.15,21.0,0.12,LB,,,,,
