player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Alexander Isak,Real Sociedad,13.5,0.5,0.5,8,4.5
Dani Ceballos,Real Madrid,48.6,2.5,0.5,42.1,3.5
Gerard Gumbau,Elche,36.3,3.3,2.3,26.4,4.4
Alex Berenguer,Athletic Club,20.7,0.6,0.7,14.9,4.5
Copete,Mallorca,30.6,2.8,3.2,20.8,3.8
Omar Alderete,Getafe,34,3.4,7.2,16.6,6.7
Arnau Martínez,Girona,38.1,1.4,1.9,30,4.8
Diego López,Valencia,13.8,0.4,0.5,9.2,3.7
Germán Pezzella,Real Betis,42,2.2,3.1,34.2,2.6
Unai Núñez,Celta Vigo,55.9,3.6,3.4,44.7,4.2
Edgar Badia,Elche,25.1,6.6,7.3,10.8,0.3
Fernando Pacheco,Espanyol,31.1,9.2,9.5,12.3,0.2
Iker Muniain,Athletic Club,32.7,0.9,0.5,27.3,4.1
Alfonso Espino,Cadiz,31.8,1.9,3.7,19.5,6.8
Oihan Sancet,Athletic Club,26.3,0.6,0.3,21.2,4.1
Mario Hermoso,Atletico Madrid,54,4.9,2.7,42.3,4.1
João Félix,Atletico Madrid,15.4,0.5,1,11.4,2.5
William Carvalho,Real Betis,52.5,2.7,1.1,43,5.8
Adri Embarba,Espanyol,4,0,0,3,1
Koke,Atletico Madrid,60.5,2.7,1.5,51.1,5.1
Fran García,Rayo Vallecano,40.9,1.5,2.8,31.9,4.8
Étienne Capoue,Villarreal,36.8,1.4,0.7,31.1,3.6
Sergio Canales,Real Betis,42.5,2.1,1.3,32.6,6.4
Stefan Savic,Atletico Madrid,51.3,2.6,2.2,42.5,4
Cyle Larin,Real Valladolid,12.7,0.3,0.2,8.6,3.6
Lucas Torró,Osasuna,35.3,1.4,1.5,27.1,5.3
Lucas Ocampos,Sevilla,21.1,0.3,0.6,16,4.3
Álex Remiro,Real Sociedad,30.7,7.7,9.1,13.4,0.5
Carlos García,Cadiz,24,1,0,19,4
Valentín Castellanos,Girona,10.9,0.2,0.2,6.7,3.8
Moi Gómez,Osasuna,43.4,3.4,1.4,35.1,3.5
Martín Zubimendi,Real Sociedad,50,2.3,1.6,40.5,5.6
Héctor Bellerín,Barcelona,26.7,1.3,0.3,20,5
Oriol Romeu,Girona,48.6,2.6,1.7,39.8,4.5
Lucas Vázquez,Real Madrid,34.7,0.7,0.7,30.1,3.2
Eray Cömert,Valencia,41,3,2.5,32.5,3
Rui Silva,Real Betis,29.8,7.8,10.6,11.1,0.3
El Bilal Touré,Almeria,12,0,0,8.6,3.3
Ante Budimir,Osasuna,10,0,0.1,6.2,3.7
Paulo Gazzaniga,Girona,33,6.3,9.6,16.7,0.4
Predrag Rajkovic,Mallorca,30.1,9.6,13.5,6.9,0.1
Luis Suárez,Almeria,17.6,0.5,0.8,11.8,4.5
Nabil Fekir,Real Betis,28.7,0.5,0.6,23.8,3.8
Sergio Escudero,Real Valladolid,23.2,1.3,2.5,15.5,3.9
Aitor Ruibal,Real Betis,26,1.3,1.9,19,3.8
Vinicius Souza,Espanyol,26.6,1.4,1.4,20,3.9
Thierry Correia,Valencia,39.9,2,2.3,29.7,6
Rubén Sobrino,Cadiz,18,0.2,0.5,13,4.3
Jan Oblak,Atletico Madrid,25,5.3,9.7,9.9,0.1
Omar Mascarell,Elche,44.3,3.5,2.4,34.9,3.5
Nemanja Gudelj,Sevilla,46.7,1.3,1.5,40.9,3
Íñigo Ruíz de Galarreta,Mallorca,39.4,2.4,1.4,31,4.5
Suso,Sevilla,19.1,1.6,0.4,15.1,2
Marko Dmitrovic,Sevilla,30.6,7.7,15.3,7.4,0.2
Justin Kluivert,Valencia,12.5,0.3,0.2,9.5,2.5
Óscar De Marcos,Athletic Club,39.3,1.9,2.1,29.1,6.2
Fernando Martínez,Almeria,29.6,6.6,10,12.6,0.4
Aridane Hernández,Osasuna,38.3,2.7,2.7,29.6,3.2
Alfonso Pedraza,Villarreal,23.3,0.7,1.3,18.3,3
Abde Ezzalzouli,Osasuna,16.1,0.4,0.3,11.6,3.9
Raúl Albiol,Villarreal,58.8,4.9,3.2,47.2,3.5
Luka Modric,Real Madrid,43.8,2.2,0.6,37.5,3.5
Luiz Felipe,Real Betis,38.1,1.5,2,31.1,3.5
Sergi Roberto,Barcelona,36.2,1.1,0.6,32.5,2
Mouctar Diakhaby,Valencia,40.7,2.9,3.2,30.6,4
Joseph Aidoo,Celta Vigo,50,2.3,2.4,41,4.3
Igor Zubeldia,Real Sociedad,49.4,2.9,3.2,39.4,3.9
Luiz Henrique,Real Betis,15.8,0.3,0.4,11.7,3.4
Ander Barrenetxea,Real Sociedad,14.7,0.4,0.5,10.9,2.8
Hugo Mallo,Celta Vigo,44.4,2,3.1,33.2,6.1
Óscar Trejo,Rayo Vallecano,28.2,0.5,0.5,23,4.3
Chris Ramos,Cadiz,9.3,0.1,0,5.1,4.1
Thomas Lemar,Atletico Madrid,28.1,1,0.5,23.9,2.8
Mikel Vesga,Athletic Club,41.4,2.8,1.1,32,5.4
Carlos Clerc,Elche,33.4,1.2,2.8,24.8,4.6
Borja Iglesias,Real Betis,14.8,0.4,0.1,10.9,3.5
Aimar Oroz,Osasuna,26,0.7,0.5,20.2,4.7
Rodrigo Riquelme,Girona,18.4,0.5,0.5,13.5,3.9
Luis Milla,Getafe,33.1,2.5,2.1,24.6,3.8
Martin Valjent,Mallorca,35.7,2.8,3.4,25.9,3.6
Memphis Depay,Atletico Madrid,10.5,0.3,0,8,2.3
Carlos Soler,Valencia,35.7,1.7,1.7,28.3,4
Nacho,Real Madrid,40.5,1,0.4,36.6,2.4
Federico Fernández,Elche,14,4,2,4,4
Álex Collado,Elche,20.9,1,0.5,16.7,2.8
Eric García,Barcelona,51.6,3.4,1.5,43.6,3.1
Aihen Muñoz,Real Sociedad,34.2,1.3,2.1,26,4.7
Cenk Özkacar,Valencia,44.8,2.4,2.9,35.4,4.2
Manu Morlanes,Mallorca,18.6,1.1,0.4,14.8,2.3
Kike Barja,Osasuna,13.5,0.3,0.4,9.9,2.8
Álvaro Aceves,Real Valladolid,5,1,1,3,0
Léo Baptistão,Almeria,18.3,0.7,1,11.7,4.8
Alejandro Catena,Rayo Vallecano,51.8,6.9,5.2,36.1,3.7
Aïssa Mandi,Villarreal,42,2.6,1.3,35.6,2.6
Brian Oliván,Espanyol,25,2.2,3.2,15.4,4.3
César Montes,Espanyol,39.4,2.8,3.8,28,4.9
Dani Rodríguez,Mallorca,18.5,1.1,0.5,14,2.8
José Gragera,Espanyol,23,0.9,0.3,18.8,3
Umar Sadiq,Real Sociedad,6.5,0.5,0,6,0
Carles Pérez,Celta Vigo,18.5,0.7,0.3,15.2,2.3
Jawad El Yamiq,Real Valladolid,36.2,2.8,3.4,26.8,3.2
Théo Bongonda,Cadiz,13.2,0.4,0.5,9.7,2.7
Óscar Valentín,Rayo Vallecano,34.3,2.1,2,26,4.2
Álex Baena,Villarreal,23.6,1.1,0.8,18.1,3.6
Martín Montoya,Real Betis,32.5,0.5,2.7,25.8,3.5
Chimy Ávila,Osasuna,14.9,1.6,1.3,7.4,4.6
Dani Vivian,Athletic Club,49.1,4.1,4.3,35.9,4.8
Nico González,Valencia,29.7,0.8,1,25.2,2.8
Sergi Guardiola,Cadiz,16.4,0.4,0.2,11.5,4.3
Álex Centelles,Almeria,26.5,1.6,2.9,18.5,3.4
David Alaba,Real Madrid,48.2,1,1.7,42,3.4
Santiago Bueno,Girona,52.9,3.3,3.4,42.5,3.7
Tete Morente,Elche,19.7,1.1,0.6,14.9,3.2
Pepe Reina,Villarreal,33.7,4.6,7,21.5,0.7
Gonzalo Melero,Almeria,27.7,1.4,0.3,22.6,3.3
