,Unnamed: 0.1,Unnamed: 0,team_name,P,W,D,L,GF,GA,GD,Pts,Goals_x,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shoted pg_x,Tackles pg_x,Intercept pg_x,Fouls pg_x,Offsides pg_x,Shots OT pg_x,Dribbles pg_x,Fouled pg_x,xG_x,Goals_y,xGDiff_x,Shots_x,xG/shots_x,Shoted pg_y,Tackles pg_y,Intercept pg_y,Fouls pg_y,Offsides pg_y,Shots OT pg_y,Dribbles pg_y,Fouled pg_y,xG_y,Goals,xGDiff_y,Shots_y,xG/shots_y
10,10,10,Rayo Vallecano,38,13,10,15,45,53,-8,49,45,13.6,87,6,50.8,78.8,11.5,6.51,11.5,16.7,8.1,14.3,2.6,4.1,4.1,4.1,42.69,41,-1.69,518,0.08,11.5,16.7,8.1,14.3,2.6,4.1,4.1,4.1,42.69,41,-1.69,518,0.08
11,11,11,Sevilla,38,13,10,15,47,54,-7,49,47,12.3,112,13,52.7,83.0,13.1,6.53,13.4,15.4,8.9,12.5,2.8,3.9,3.9,3.9,49.21,47,-2.21,468,0.11,13.4,15.4,8.9,12.5,2.8,3.9,3.9,3.9,49.21,47,-2.21,468,0.11
12,12,12,Celta Vigo,38,11,10,17,43,53,-10,43,43,12.4,80,6,50.1,81.8,12.1,6.56,10.2,17.5,9.7,12.3,2.1,4.3,4.3,4.3,41.96,41,-0.96,473,0.09,10.2,17.5,9.7,12.3,2.1,4.3,4.3,4.3,41.96,41,-0.96,473,0.09
13,13,13,Cadiz,38,10,12,16,30,53,-23,42,30,10.4,107,7,41.3,74.1,16.1,6.49,14.5,16.4,7.1,14.0,2.0,3.1,3.1,3.1,41.59,29,-12.59,395,0.11,14.5,16.4,7.1,14,2,3.1,3.1,3.1,41.59,29,-12.59,395,0.11
14,14,14,Getafe,38,10,12,16,34,45,-11,42,34,9.8,116,9,39.2,70.6,19.0,6.49,12.8,14.2,8.4,15.8,2.1,3.3,3.3,3.3,38.32,34,-4.32,373,0.1,12.8,14.2,8.4,15.8,2.1,3.3,3.3,3.3,38.32,34,-4.32,373,0.1
15,15,15,Valencia,38,11,9,18,42,45,-3,42,42,12.8,86,8,51.8,80.6,13.0,6.54,10.5,17.8,7.6,13.3,2.1,3.9,3.9,3.9,52.85,40,-12.85,488,0.11,10.5,17.8,7.6,13.3,2.1,3.9,3.9,3.9,52.85,40,-12.85,488,0.11
16,16,16,Almeria,38,11,8,19,49,65,-16,41,49,11.6,94,4,44.9,78.3,12.8,6.5,14.3,14.7,8.5,11.7,2.2,4.2,4.2,4.2,46.77,49,2.23,442,0.11,14.3,14.7,8.5,11.7,2.2,4.2,4.2,4.2,46.77,49,2.23,442,0.11
17,17,17,Real Valladolid,38,11,7,20,33,63,-30,40,33,11.8,89,6,48.5,79.1,12.5,6.5,15.5,17.7,9.1,12.1,2.6,3.8,3.8,3.8,40.64,32,-8.64,447,0.09,15.5,17.7,9.1,12.1,2.6,3.8,3.8,3.8,40.64,32,-8.64,447,0.09
18,18,18,Espanyol,38,8,13,17,52,69,-17,37,52,11.1,91,10,42.6,76.5,17.1,6.53,14.3,17.2,8.9,12.0,1.6,4.1,4.1,4.1,51.07,51,-0.07,422,0.12,14.3,17.2,8.9,12,1.6,4.1,4.1,4.1,51.07,51,-0.07,422,0.12
19,19,19,Elche,38,5,10,23,30,67,-37,25,30,10.7,93,12,44.9,79.1,12.8,6.44,14.8,16.7,8.5,13.8,2.1,3.4,3.4,3.4,39.15,30,-9.15,405,0.1,14.8,16.7,8.5,13.8,2.1,3.4,3.4,3.4,39.15,30,-9.15,405,0.1
