player_name,team_name,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves
Moi Gómez,Osasuna,0,0,0,0
Martín Zubimendi,Real Sociedad,0,0,0,0
Héctor Bellerín,Barcelona,0,0,0,0
Oriol Romeu,Girona,0,0,0,0
Lucas Vázquez,Real Madrid,0,0,0,0
Eray Cömert,Valencia,0,0,0,0
Rui Silva,Real Betis,2.8,0.2,1.7,0.9
El Bilal Touré,Almeria,0,0,0,0
Ante Budimir,Osasuna,0,0,0,0
Paulo Gazzaniga,Girona,3.1,0.2,1.6,1.4
Predrag Rajkovic,Mallorca,2.6,0.2,1.4,1.1
Luis Suárez,Almeria,0,0,0,0
Nabil Fekir,Real Betis,0,0,0,0
Sergio Escudero,Real Valladolid,0,0,0,0
Aitor Ruibal,Real Betis,0,0,0,0
Vinicius Souza,Espanyol,0,0,0,0
Thierry Correia,Valencia,0,0,0,0
Rubén Sobrino,Cadiz,0,0,0,0
Jan Oblak,Atletico Madrid,2.1,0.1,1,1.1
Omar Mascarell,Elche,0,0,0,0
Nemanja Gudelj,Sevilla,0,0,0,0
Íñigo Ruíz de Galarreta,Mallorca,0,0,0,0
Suso,Sevilla,0,0,0,0
Marko Dmitrovic,Sevilla,2.9,0.2,1.6,1.1
Justin Kluivert,Valencia,0,0,0,0
Óscar De Marcos,Athletic Club,0,0,0,0
Fernando Martínez,Almeria,3.6,0.1,2.4,1.1
Aridane Hernández,Osasuna,0,0,0,0
Alfonso Pedraza,Villarreal,0,0,0,0
Abde Ezzalzouli,Osasuna,0,0,0,0
Raúl Albiol,Villarreal,0,0,0,0
Luka Modric,Real Madrid,0,0,0,0
Luiz Felipe,Real Betis,0,0,0,0
Sergi Roberto,Barcelona,0,0,0,0
Mouctar Diakhaby,Valencia,0,0,0,0
Joseph Aidoo,Celta Vigo,0,0,0,0
Igor Zubeldia,Real Sociedad,0,0,0,0
Luiz Henrique,Real Betis,0,0,0,0
Ander Barrenetxea,Real Sociedad,0,0,0,0
Hugo Mallo,Celta Vigo,0,0,0,0
Óscar Trejo,Rayo Vallecano,0,0,0,0
Chris Ramos,Cadiz,0,0,0,0
Thomas Lemar,Atletico Madrid,0,0,0,0
Mikel Vesga,Athletic Club,0,0,0,0
Carlos Clerc,Elche,0,0,0,0
Borja Iglesias,Real Betis,0,0,0,0
Aimar Oroz,Osasuna,0,0,0,0
Rodrigo Riquelme,Girona,0,0,0,0
Luis Milla,Getafe,0,0,0,0
Martin Valjent,Mallorca,0,0,0,0
Memphis Depay,Atletico Madrid,0,0,0,0
Carlos Soler,Valencia,0,0,0,0
Nacho,Real Madrid,0,0,0,0
Federico Fernández,Elche,0,0,0,0
