,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
587,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.8,0.9,2.1,0.1,0.8,1.1,0.2,0,0.4,1,0.8,0.2,0.4,1.3,16.3,0,0.4,0,1.07,0.93,0.18,5,0.21
588,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.8,0.9,2.1,0.1,0.8,1.1,0.2,0,0.4,1,0.8,0.2,0.4,1.3,29.4,0.3,1,0,0.52,0.48,0.08,5,0.1
589,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.8,0.9,2.1,0.1,0.8,1.1,0.2,0,0.4,1,0.8,0.2,0.4,1.3,29.4,0.3,1,0,1.07,0.93,0.18,5,0.21
590,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.8,0.9,2.1,0.1,0.8,1.1,0.2,0,0.2,0.2,0.6,0,0.2,1.1,16.3,0,0.4,0,0.52,0.48,0.08,5,0.1
591,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.8,0.9,2.1,0.1,0.8,1.1,0.2,0,0.2,0.2,0.6,0,0.2,1.1,16.3,0,0.4,0,1.07,0.93,0.18,5,0.21
592,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.8,0.9,2.1,0.1,0.8,1.1,0.2,0,0.2,0.2,0.6,0,0.2,1.1,29.4,0.3,1,0,0.52,0.48,0.08,5,0.1
593,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.8,0.9,2.1,0.1,0.8,1.1,0.2,0,0.2,0.2,0.6,0,0.2,1.1,29.4,0.3,1,0,1.07,0.93,0.18,5,0.21
594,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.3,0.7,1.4,0,1.6,0.7,0.6,0,0.4,1,0.8,0.2,0.4,1.3,16.3,0,0.4,0,0.52,0.48,0.08,5,0.1
595,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.3,0.7,1.4,0,1.6,0.7,0.6,0,0.4,1,0.8,0.2,0.4,1.3,16.3,0,0.4,0,1.07,0.93,0.18,5,0.21
596,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.3,0.7,1.4,0,1.6,0.7,0.6,0,0.4,1,0.8,0.2,0.4,1.3,29.4,0.3,1,0,0.52,0.48,0.08,5,0.1
597,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.3,0.7,1.4,0,1.6,0.7,0.6,0,0.4,1,0.8,0.2,0.4,1.3,29.4,0.3,1,0,1.07,0.93,0.18,5,0.21
598,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.3,0.7,1.4,0,1.6,0.7,0.6,0,0.2,0.2,0.6,0,0.2,1.1,16.3,0,0.4,0,0.52,0.48,0.08,5,0.1
599,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.3,0.7,1.4,0,1.6,0.7,0.6,0,0.2,0.2,0.6,0,0.2,1.1,16.3,0,0.4,0,1.07,0.93,0.18,5,0.21
600,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.3,0.7,1.4,0,1.6,0.7,0.6,0,0.2,0.2,0.6,0,0.2,1.1,29.4,0.3,1,0,0.52,0.48,0.08,5,0.1
601,386,José Ángel Carmona,Elche,22," D(CR),M(R)",8(1),593,1,0,3,1,0.6,72.1,0.7,1,6.36,1.3,0.7,1.4,0,1.6,0.7,0.6,0,0.2,0.2,0.6,0,0.2,1.1,29.4,0.3,1,0,1.07,0.93,0.18,5,0.21
602,387,Sergio Asenjo,Real Valladolid,34, GK,10,900,0,0,0,0,0.0,61.4,0.0,1,6.36,0,0,0,0,1.1,0,0,0,0,0,0.4,0,0,0.2,30.6,0,6.8,0,,,,,
603,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0.5,0.3,0.2,0,0.5,0,0,0,0.2,0.1,0.5,0,0.4,0.3,2.9,0.1,0,0,0.22,0.78,0.13,4,0.05
604,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0.5,0.3,0.2,0,0.5,0,0,0,0.2,0.1,0.5,0,0.4,0.3,2.9,0.1,0,0,0.08,-0.08,0.37,2,0.04
605,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0.5,0.3,0.2,0,0.5,0,0,0,0.2,0.1,0.5,0,0.4,0.3,4,0,0,0,0.22,0.78,0.13,4,0.05
606,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0.5,0.3,0.2,0,0.5,0,0,0,0.2,0.1,0.5,0,0.4,0.3,4,0,0,0,0.08,-0.08,0.37,2,0.04
607,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0.5,0.3,0.2,0,0.5,0,0,0,0,1,1,0,0,2,2.9,0.1,0,0,0.22,0.78,0.13,4,0.05
608,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0.5,0.3,0.2,0,0.5,0,0,0,0,1,1,0,0,2,2.9,0.1,0,0,0.08,-0.08,0.37,2,0.04
609,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0.5,0.3,0.2,0,0.5,0,0,0,0,1,1,0,0,2,4,0,0,0,0.22,0.78,0.13,4,0.05
610,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0.5,0.3,0.2,0,0.5,0,0,0,0,1,1,0,0,2,4,0,0,0,0.08,-0.08,0.37,2,0.04
611,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0,0,1,0,0,0,0,0,0.2,0.1,0.5,0,0.4,0.3,2.9,0.1,0,0,0.22,0.78,0.13,4,0.05
612,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0,0,1,0,0,0,0,0,0.2,0.1,0.5,0,0.4,0.3,2.9,0.1,0,0,0.08,-0.08,0.37,2,0.04
613,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0,0,1,0,0,0,0,0,0.2,0.1,0.5,0,0.4,0.3,4,0,0,0,0.22,0.78,0.13,4,0.05
614,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0,0,1,0,0,0,0,0,0.2,0.1,0.5,0,0.4,0.3,4,0,0,0,0.08,-0.08,0.37,2,0.04
615,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0,0,1,0,0,0,0,0,0,1,1,0,0,2,2.9,0.1,0,0,0.22,0.78,0.13,4,0.05
616,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0,0,1,0,0,0,0,0,0,1,1,0,0,2,2.9,0.1,0,0,0.08,-0.08,0.37,2,0.04
617,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0,0,1,0,0,0,0,0,0,1,1,0,0,2,4,0,0,0,0.22,0.78,0.13,4,0.05
618,388,José Carlos Lazo,Espanyol,28, Midfielder,0(10),149,1,1,0,0,0.4,79.3,0.0,1,6.35,0,0,1,0,0,0,0,0,0,1,1,0,0,2,4,0,0,0,0.08,-0.08,0.37,2,0.04
619,389,Gonzalo Montiel,Sevilla,27," D(CR),M(R)",17(11),1522,0,3,8,1,0.3,80.8,0.5,0,6.35,0.9,0.7,0.7,0.1,1.2,0.5,0.3,0,0.7,0.4,0.4,0.4,0.3,0.8,24.2,0.3,0.8,0.1,1,-1,0.06,8,0.12
620,390,Hugo Sotelo,Celta Vigo,20, M(C),0(1),17,0,0,0,0,1.0,87.0,0.0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0.07,-0.07,0.38,1,0.07
