player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Michael Keane,Everton,35.7,2.2,4.7,22.8,6
Alex Iwobi,Everton,36.6,1.9,1.8,26.9,5.9
Thiago Alcântara,Liverpool,60.3,5.2,1.7,47,6.4
Wilfried Zaha,Crystal Palace,22.4,0.3,0.3,17.9,3.9
Mathias Jensen,Brentford,32.9,3,2.8,21.9,5.2
John McGinn,Aston Villa,28.5,1.9,1.1,21.4,4.2
Kepa,Chelsea,30.9,4.1,5.7,20.8,0.3
Jarrod Bowen,West Ham,18.8,0.6,0.8,13.1,4.3
Tomás Soucek,West Ham,27.1,1.1,0.9,18.4,6.6
Bernardo Silva,Manchester City,41.7,1.7,1.3,35.4,3.3
Allan Saint-Maximin,Newcastle,16.2,0.8,0.1,11.4,4
Noni Madueke,Chelsea,21.7,0.3,0.1,17.6,3.8
Jordan Ayew,Crystal Palace,21.6,0.2,0.4,17.2,3.8
Enzo Fernández,Chelsea,78.9,7.4,2.5,62.9,6.1
John Stones,Manchester City,65.7,2.8,0.8,58.5,3.6
Cristian Romero,Tottenham,58.7,3,2.2,48.4,5
Youri Tielemans,Leicester,50.2,2.1,2.3,39.1,6.7
Rúben Dias,Manchester City,79.7,2.6,2.4,71.3,3.4
Joachim Andersen,Crystal Palace,60.6,6.3,8,42.1,4.3
Hamed Traorè,Bournemouth,19.3,0.6,0.7,13.1,4.9
Darwin Núñez,Liverpool,12.8,0.6,0.2,8,4
Pervis Estupiñán,Brighton,46.3,0.9,0.8,38,6.6
Dominic Solanke,Bournemouth,15.6,0.2,0.2,10.6,4.5
Ibrahima Konaté,Liverpool,62.8,1.9,2.8,52.8,5.2
Mohammed Salisu,Southampton,49.5,3.3,5.7,34.7,5.8
Ben White,Arsenal,51.3,1.5,1.9,42.9,4.9
Andy Robertson,Liverpool,53.9,1.6,2.5,43.9,6
Julio Enciso,Brighton,12.1,0.1,0.2,8.8,3.2
Dejan Kulusevski,Tottenham,22.5,0.3,0.4,18.3,3.6
William Saliba,Arsenal,69,2.4,1.9,60.5,4.3
Emerson Royal,Tottenham,33.2,1.3,1.4,26.2,4.2
Dan Burn,Newcastle,37.8,1.4,2.4,28.3,5.7
Neto,Bournemouth,25.8,6.4,11,8,0.3
Vicente Guaita,Crystal Palace,26,5.6,8.4,11.9,0.1
Danny Welbeck,Brighton,14.2,0.1,0.1,11.9,2
Kai Havertz,Chelsea,24.8,0.4,0.1,20,4.3
Nathan Aké,Manchester City,65.6,1.3,1.5,58.5,4.3
Antonee Robinson,Fulham,41.9,2.3,2.9,29.9,6.7
Tyrone Mings,Aston Villa,53.9,3,3.9,43,4.1
Sven Botman,Newcastle,48.7,2.8,2.4,39.4,4.1
Ivan Perisic,Tottenham,23,1.1,1.1,15.6,5.3
Tosin Adarabioyo,Fulham,51.4,3.6,3.9,38.7,5.1
Dango Ouattara,Bournemouth,15.5,0.5,0.8,9.7,4.5
Raheem Sterling,Chelsea,22.5,0.2,0.2,17.5,4.5
Diogo Jota,Liverpool,17,0.1,0.3,12.7,3.8
Jason Steele,Brighton,32.7,3.9,3.2,24.8,0.7
Sam Johnstone,Crystal Palace,26.4,4.4,7.9,14,0.1
Tyler Adams,Leeds,55.3,1.7,2.1,43.9,7.6
James Justin,Leicester,48.7,1.9,2.6,37.8,6.4
Andreas Pereira,Fulham,25.9,1.6,1.3,17.5,5.5
Jack Harrison,Leeds,25.9,0.7,1.3,17.7,6.3
Cheick Doucouré,Crystal Palace,36.4,1.4,1.2,29,4.8
Timothy Castagne,Leicester,40.6,1.1,1.8,31.8,6
Armel Bella-Kotchap,Southampton,38.6,2,4.3,29,3.3
Kiernan Dewsbury-Hall,Leicester,35.3,1.8,2,25.9,5.6
Álex Moreno,Aston Villa,30.5,0.5,1.1,23.7,5.2
Shea Charles,Manchester City,24,1,0,21,2
