,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
285,285,Fábio Vieira,,23," AM(CR),FW",3(19),502,1,2,0,0,0.7,84.6,0.1,0,6.31,0.3,0.2,0.1,0,0.1,0.1,0,0,0.5,0.3,0.2,0,0.4,0.6,12.1,0.2,0.2,0,0.91,0.09,0.16,15,0.06
286,286,Leander Dendoncker,,29," D(C),M(C)",7(13),690,0,0,0,0,0.1,88.2,0.5,0,6.31,1,0.5,0.1,0,0.6,0.6,0.2,0,0.3,0.2,0.1,0,0.2,0.4,14,0,0.4,0,0.06,-0.06,0.01,2,0.03
287,287,Stuart Armstrong,,32, AM(CLR),14(18),1405,2,1,6,0,0.7,81.7,0.2,0,6.31,1,0.3,0.5,0,0.3,0.8,0,0,0.6,0.7,0.6,0,0.9,0.9,19.5,0.3,0.5,0,2.03,-0.03,0.13,23,0.09
288,288,Tom Cairney,,33, M(CR),6(27),971,2,0,2,0,0.6,88.0,0.2,0,6.3,0.5,0.2,0.2,0,0.1,0.1,0.1,0,0.4,0.3,0.7,0,0.6,0.7,21.4,0.2,1,0,1.68,0.32,0.16,21,0.08
289,289,Elliot Anderson,,21, AM(CL),3(19),396,0,1,0,0,0.5,77.8,0.5,0,6.3,0.5,0.3,0.3,0,0,0.3,0.1,0,0.4,0.5,0.5,0,0.5,0.4,8.4,0.2,0.2,0,1.07,-1.07,0.24,11,0.1
290,290,Nathaniel Clyne,,33," D(LR),M(R)",19(3),1642,0,0,3,0,0.0,80.8,0.3,0,6.29,1.2,0.9,0.5,0.1,1.2,0.4,0.2,0,0.3,0.2,0.4,0,0.1,0.5,30,0.2,0.8,0,,,,,
291,291,Yves Bissouma,,27, M(C),10(13),1005,0,0,6,0,0.3,91.3,0.3,0,6.29,0.7,0.5,0.7,0,0.4,0.2,0.3,0,0.3,0.3,0.4,0,0.3,0.7,31.6,0,0.7,0,0.18,-0.18,0.02,6,0.03
292,292,Harry Toffolo,,28," D(L),M(L)",9(10),935,0,0,2,0,0.3,65.3,0.7,0,6.28,0.9,0.5,0.5,0.1,1.6,0.2,0.4,0,0.3,0.2,0.3,0,0.3,0.5,15.3,0.3,0.3,0,0.25,-0.25,0.02,6,0.04
293,293,Sékou Mara,,21, FW,4(18),541,1,2,1,0,0.8,66.0,1.1,0,6.27,0.6,0,0.9,0,0.2,0.3,0,0,0.3,0.6,0.3,0.1,0.8,1.3,4.7,0,0,0,1.16,-0.16,0.19,17,0.07
294,294,Adam Armstrong,,27," AM(CLR),FW",14(16),1336,2,1,2,0,0.8,75.4,0.2,0,6.27,0.5,0.2,0.6,0,0.2,0.2,0.1,0,0.4,0.4,0.3,0.1,0.7,0.8,9.5,0.1,0.3,0,2.4,-0.4,0.16,25,0.1
295,295,Daniel James,,26," AM(CLR),FW",5(15),614,2,1,0,0,0.7,71.2,0.1,1,6.27,0.5,0.1,0.1,0,0.2,0.3,0.1,0,0.4,0.3,0.7,0.1,0.7,0.5,7.8,0.3,0.1,0,2.06,-0.06,0.3,14,0.15
296,296,Christian Pulisic,,25," M(CLR),FW",8(16),814,1,1,1,0,0.8,84.1,0.2,0,6.27,0.5,0.2,0.4,0,0.2,0.1,0,0,0.5,0.5,0.6,0,0.5,1.1,11.5,0.1,0.3,0,1.83,-0.83,0.2,19,0.1
297,297,Will Hughes,,29, M(CLR),7(20),830,1,1,4,0,0.2,81.8,0.2,0,6.27,1.1,0.6,0.7,0,0.3,0.3,0.3,0,0.2,0.1,0.3,0,0.4,0.5,13.2,0.1,0.3,0,0.45,0.55,0.05,6,0.07
298,298,Kieran Tierney,,26," D(CL),M(L)",6(21),779,0,1,0,0,0.3,78.1,0.2,0,6.25,0.7,0.4,0.2,0.1,0.7,0.1,0.1,0,0.1,0.1,0.3,0,0,0.3,14.9,0.1,0.6,0,0.3,-0.3,0.04,7,0.04
299,298,Kieran Tierney,,26," D(CL),M(L)",6(21),779,0,1,0,0,0.3,78.1,0.2,0,6.25,0.7,0.4,0.2,0.1,0.7,0.1,0.1,0,0.1,0.1,0.3,0,0,0.3,14.9,0.1,0.6,0,0.3,-0.3,0.04,7,0.04
300,299,Diego Costa,,35, FW,16(7),1248,1,0,5,1,1.2,73.5,1.3,1,6.24,0.1,0.1,1.3,0,0.7,0.3,0,0,0.5,0.2,0.4,0.7,1.1,1,9.3,0,0,0,3.57,-2.57,0.26,28,0.13
301,299,Diego Costa,,35, FW,16(7),1248,1,0,5,1,1.2,73.5,1.3,1,6.24,0.1,0.1,1.3,0,0.7,0.3,0,0,0.5,0.2,0.4,0.7,1.1,1,9.3,0,0,0,3.57,-2.57,0.26,28,0.13
