player_name,team_name,Fouled,Fouls
Jack Harrison,Leeds,1,1.1
Cheick Doucouré,Crystal Palace,0.4,1.1
Timothy Castagne,Leicester,0.4,0.7
Armel Bella-Kotchap,Southampton,1.4,0.4
Kiernan Dewsbury-Hall,Leicester,1.1,1.2
Álex Moreno,Aston Villa,0.6,0.9
Shea Charles,Manchester City,0,0
Fabinho,Liverpool,0.7,1.5
Danilo,Nottingham Forest,0.2,0.3
Matt Doherty,Tottenham,0.3,0.9
Amadou Onana,Everton,1.5,1.3
Victor Lindelöf,Manchester United,0.2,0.5
Julián Álvarez,Manchester City,0.5,0.7
Nick Pope,Newcastle,0.1,0
Saïd Benrahma,West Ham,0.4,0.5
Emiliano Buendía,Aston Villa,1.2,1.1
Mason Mount,Chelsea,1.1,1.2
Christian Eriksen,Manchester United,0.4,0.5
Aymeric Laporte,Manchester City,0.6,0.4
Jordan Pickford,Everton,0.1,0
Joe Gomez,Liverpool,0.2,0.6
Kurt Zouma,West Ham,0.3,0.6
Marc Guéhi,Crystal Palace,1.1,0.6
Rodrigo,Leeds,0.4,0.9
Reiss Nelson,Arsenal,0.4,0.7
Lukasz Fabianski,West Ham,0.1,0
Nayef Aguerd,West Ham,0.4,0.4
Curtis Jones,Liverpool,0.9,0.7
Evan Ferguson,Brighton,0.6,0.5
David de Gea,Manchester United,0.1,0
Jan Bednarek,Southampton,0.4,0.8
Pascal Struijk,Leeds,0.4,1
Eric Dier,Tottenham,0.3,0.8
Tim Ream,Fulham,0.2,0.5
Issa Diop,Fulham,0.3,0.6
Jeffrey Schlupp,Crystal Palace,1,1.5
Harvey Barnes,Leicester,1.1,1.1
Wout Faes,Leicester,0.5,0.7
Idrissa Gueye,Everton,1.5,1.3
Jefferson Lerma,Bournemouth,0.9,1
Marc Cucurella,Chelsea,0.9,0.7
Jorginho,Chelsea,1.3,0.7
Joel Ward,Crystal Palace,0.4,1
Wesley Fofana,Chelsea,1.5,0.7
Raphaël Varane,Manchester United,0.1,0.5
Rico Henry,Brentford,1,0.9
Marcel Sabitzer,Manchester United,0.9,0.7
Sean Longstaff,Newcastle,1.2,0.9
Tyrell Malacia,Manchester United,0.6,1.8
Vladimír Coufal,West Ham,0.8,1.1
Harry Souttar,Leicester,0.4,0.4
Maximilian Wöber,Leeds,0.1,0.9
Vitaly Janelt,Brentford,0.6,0.6
Ben Davies,Tottenham,0.5,1
Maximilian Kilman,Wolves,0.3,0.5
Matheus Cunha,Wolves,1.2,1.2
Aaron Ramsdale,Arsenal,0.1,0
Duje Caleta-Car,Southampton,0.1,0.7
João Félix,Chelsea,1.8,0.9
Rasmus Kristensen,Leeds,0.2,0.7
Demarai Gray,Everton,1.5,0.7
Dominic Calvert-Lewin,Everton,0.8,1.3
Kamaldeen Sulemana,Southampton,0.7,0.5
Lewis Dunk,Brighton,0.8,0.5
Toti Gomes,Wolves,0.3,0.9
Liam Cooper,Leeds,0.6,0.7
Craig Dawson,Wolves,0.6,0.6
Ben Chilwell,Chelsea,1,0.6
Robin Olsen,Aston Villa,0,0
Leon Bailey,Aston Villa,0.7,0.9
Willy-Arnaud Boly,Nottingham Forest,0.5,0.5
Anthony Gordon,Everton,0.9,1.3
Aaron Cresswell,West Ham,0.3,0.3
Jorginho,Arsenal,1.3,0.4
Matheus Nunes,Wolves,1.4,1.1
Jakub Kiwior,Arsenal,0.1,0.1
Neco Williams,Nottingham Forest,0.9,1.1
Ché Adams,Southampton,1,1.4
Lloyd Kelly,Bournemouth,0.2,0.7
Joël Veltman,Brighton,1.2,0.9
Anthony Martial,Manchester United,0.7,0.4
Manuel Akanji,Manchester City,0.4,0.8
Harry Maguire,Manchester United,0.3,0.5
Dan Bentley,Wolves,0.5,0
Vitalii Mykolenko,Everton,0.6,0.9
Kyle Walker-Peters,Southampton,1.3,0.8
Chris Mepham,Bournemouth,0.3,0.6
Caoimhín Kelleher,Liverpool,0,0
Luis Sinisterra,Leeds,0.6,0.7
Joe Worrall,Nottingham Forest,0.1,0.9
Ashley Young,Aston Villa,1,0.8
Pontus Jansson,Brentford,0.1,0.2
Ezri Konsa,Aston Villa,1.7,0.3
Dean Henderson,Nottingham Forest,0.1,0.1
Jordan Henderson,Liverpool,0.3,0.5
Danny Ings,Aston Villa,0.3,0.4
Séamus Coleman,Everton,0.9,0.4
Ryan Christie,Bournemouth,1.4,1.1
Rico Lewis,Manchester City,1.3,0.7
Matty Cash,Aston Villa,0.6,0.8
Roméo Lavia,Southampton,1.7,1
Ruben Loftus-Cheek,Chelsea,1.4,0.4
João Gomes,Wolves,1.5,1.5
Boubacar Kamara,Aston Villa,1.3,1.4
Luke Ayling,Leeds,1.2,0.5
Hugo Lloris,Tottenham,0.1,0
Leander Dendoncker,Wolves,0,0
Joe Aribo,Southampton,0.6,0.5
Ayoze Pérez,Leicester,1.5,0.9
Clément Lenglet,Tottenham,0.7,0.9
Levi Colwill,Brighton,0.6,0.5
Conor Gallagher,Chelsea,1,1
Renan Lodi,Nottingham Forest,1.5,1
Stefan Bajcetic,Liverpool,0.8,0.6
Kyle Walker,Manchester City,0.4,0.6
Daniel Amartey,Leicester,0.2,0.4
Tyrick Mitchell,Crystal Palace,0.3,0.9
Angelo Ogbonna,West Ham,0.3,0.1
Sam Amo-Ameyaw,Southampton,0,0
Keylor Navas,Nottingham Forest,0,0
José Sá,Wolves,0.2,0
Harvey Elliott,Liverpool,0.8,0.4
Marcos Senesi,Bournemouth,0.4,0.9
Adam Webster,Brighton,0.2,0.4
Manor Solomon,Fulham,0.2,0.3
Robin Koch,Leeds,0.5,1
Scott McTominay,Manchester United,0.7,1.2
Adama Traoré,Wolves,1,0.6
César Azpilicueta,Chelsea,0.3,1.1
Matías Viña,Bournemouth,0.9,0.6
Yoane Wissa,Brentford,0.7,0.6
Rayan Aït-Nouri,Wolves,0.5,0.7
Gianluca Scamacca,West Ham,0.6,1
Jack Stephens,Bournemouth,0.1,0.5
Cody Drameh,Leeds,0,1
Nathan Patterson,Everton,0.7,0.7
João Moutinho,Wolves,0.5,1
Taiwo Awoniyi,Nottingham Forest,0.7,0.9
Daniel Podence,Wolves,0.7,0.8
Joël Matip,Liverpool,0.4,0.7
Morgan Gibbs-White,Wolves,1.5,1.5
Thilo Kehrer,West Ham,0.4,1.1
Marc Roca,Leeds,0.9,1.3
Nélson Semedo,Wolves,0.7,1.3
Ainsley Maitland-Niles,Southampton,0.4,0.6
Harrison Reed,Fulham,0.6,1
Carlos Alcaraz,Southampton,0.9,0.9
Wilfred Ndidi,Leicester,0.5,1.1
Michail Antonio,West Ham,1.3,0.8
Matthew Craig,Tottenham,0,0
Boubakary Soumaré,Leicester,0.8,1.2
Jordan Zemura,Bournemouth,0.7,0.9
Brennan Johnson,Nottingham Forest,0.6,1
Mohamed Elyounoussi,Southampton,0.5,1.2
Jonny Evans,Leicester,0.5,0.7
David Datro Fofana,Chelsea,1,1
Nathan Collins,Wolves,0.3,0.7
Tetê,Leicester,1.3,0.2
Fred,Manchester United,0.6,0.9
Moussa Niakhaté,Nottingham Forest,0.4,0.9
Abdoulaye Doucouré,Everton,0.2,0.8
Kostas Tsimikas,Liverpool,0.5,0.7
Mateo Kovacic,Chelsea,0.4,0.7
Wilfried Gnonto,Leeds,1.6,1.2
Orel Mangala,Nottingham Forest,0.9,0.8
Fraser Forster,Tottenham,0.1,0
Lyanco,Southampton,0.5,0.8
Davinson Sánchez,Tottenham,0.2,0.4
Kelechi Iheanacho,Leicester,0.2,0.6
