player_name,team_name,Total_Key passes,Long,Short
Neto,Bournemouth,0,0,0
Vicente Guaita,Crystal Palace,0,0,0
Danny Welbeck,Brighton,1,0,0.9
Kai Havertz,Chelsea,1.1,0.1,1
Nathan Aké,Manchester City,0.3,0.1,0.3
Antonee Robinson,Fulham,0.6,0.1,0.5
Tyrone Mings,Aston Villa,0.1,0.1,0.1
Sven Botman,Newcastle,0.3,0,0.3
Ivan Perisic,Tottenham,1.4,0.3,1.1
Tosin Adarabioyo,Fulham,0.2,0,0.2
Dango Ouattara,Bournemouth,0.9,0.1,0.9
Raheem Sterling,Chelsea,1.2,0.1,1.1
Diogo Jota,Liverpool,0.8,0,0.8
Jason Steele,Brighton,0.1,0.1,0
Sam Johnstone,Crystal Palace,0,0,0
Tyler Adams,Leeds,1,0,1
James Justin,Leicester,0.5,0.1,0.4
Andreas Pereira,Fulham,1.8,0.6,1.2
Jack Harrison,Leeds,1.5,0.4,1.2
Cheick Doucouré,Crystal Palace,0.8,0.1,0.7
Timothy Castagne,Leicester,0.6,0,0.6
Armel Bella-Kotchap,Southampton,0.3,0,0.3
Kiernan Dewsbury-Hall,Leicester,1.3,0.1,1.2
Álex Moreno,Aston Villa,1.2,0,1.2
Shea Charles,Manchester City,0,0,0
Fabinho,Liverpool,0.5,0.1,0.4
Danilo,Nottingham Forest,0.7,0.1,0.6
Matt Doherty,Tottenham,0.5,0.1,0.4
Amadou Onana,Everton,0.7,0.1,0.6
Victor Lindelöf,Manchester United,0.2,0,0.2
Julián Álvarez,Manchester City,0.6,0.1,0.5
Nick Pope,Newcastle,0.1,0.1,0
Saïd Benrahma,West Ham,1.4,0.1,1.3
Emiliano Buendía,Aston Villa,1.1,0,1.1
Mason Mount,Chelsea,1.3,0.3,0.9
Christian Eriksen,Manchester United,1.3,0.3,1
Aymeric Laporte,Manchester City,0.4,0,0.4
Jordan Pickford,Everton,0.1,0.1,0
Joe Gomez,Liverpool,0,0,0
Kurt Zouma,West Ham,0,0,0
Marc Guéhi,Crystal Palace,0.3,0.1,0.1
Rodrigo,Leeds,0.5,0.1,0.5
Reiss Nelson,Arsenal,0.8,0,0.8
Lukasz Fabianski,West Ham,0,0,0
Nayef Aguerd,West Ham,0.3,0.1,0.3
Curtis Jones,Liverpool,0.8,0.1,0.7
Evan Ferguson,Brighton,0.6,0,0.6
David de Gea,Manchester United,0,0,0
Jan Bednarek,Southampton,0.2,0,0.2
Pascal Struijk,Leeds,0.5,0.1,0.4
Eric Dier,Tottenham,0.2,0,0.2
Tim Ream,Fulham,0.1,0,0.1
Issa Diop,Fulham,0.1,0,0.1
Jeffrey Schlupp,Crystal Palace,0.5,0,0.5
Harvey Barnes,Leicester,0.6,0,0.5
Wout Faes,Leicester,0.3,0.1,0.2
Idrissa Gueye,Everton,0.4,0,0.4
Jefferson Lerma,Bournemouth,0.5,0.1,0.4
Marc Cucurella,Chelsea,0.5,0.1,0.4
Jorginho,Chelsea,0.4,0,0.4
Joel Ward,Crystal Palace,0.3,0,0.3
Wesley Fofana,Chelsea,0.1,0,0.1
Raphaël Varane,Manchester United,0.2,0,0.2
Rico Henry,Brentford,0.6,0.2,0.4
Marcel Sabitzer,Manchester United,0.9,0.1,0.8
Sean Longstaff,Newcastle,0.7,0,0.7
Tyrell Malacia,Manchester United,0.4,0,0.4
Vladimír Coufal,West Ham,1,0.3,0.6
Harry Souttar,Leicester,0.3,0.1,0.2
Maximilian Wöber,Leeds,0.4,0.1,0.3
Vitaly Janelt,Brentford,0.5,0.1,0.4
Ben Davies,Tottenham,0.6,0.2,0.5
Maximilian Kilman,Wolves,0.1,0.1,0.1
Matheus Cunha,Wolves,0.4,0,0.4
Aaron Ramsdale,Arsenal,0,0,0
Duje Caleta-Car,Southampton,0.1,0,0.1
João Félix,Chelsea,0.4,0.1,0.3
Rasmus Kristensen,Leeds,0.3,0,0.3
Demarai Gray,Everton,1.1,0.6,0.5
Dominic Calvert-Lewin,Everton,0.5,0,0.5
Kamaldeen Sulemana,Southampton,0.8,0.1,0.7
Lewis Dunk,Brighton,0.3,0.1,0.2
Toti Gomes,Wolves,0.2,0.1,0.2
Liam Cooper,Leeds,0.3,0,0.3
Craig Dawson,Wolves,0.1,0,0.1
Ben Chilwell,Chelsea,0.9,0.4,0.5
Robin Olsen,Aston Villa,0,0,0
Leon Bailey,Aston Villa,0.9,0.1,0.8
Willy-Arnaud Boly,Nottingham Forest,0.1,0,0.1
Anthony Gordon,Everton,0.5,0.1,0.4
Aaron Cresswell,West Ham,1.4,0.7,0.8
Jorginho,Arsenal,0.4,0,0.4
Matheus Nunes,Wolves,0.8,0.1,0.6
Jakub Kiwior,Arsenal,0.1,0,0.1
Neco Williams,Nottingham Forest,0.5,0.1,0.4
Ché Adams,Southampton,0.9,0,0.9
Lloyd Kelly,Bournemouth,0.3,0.1,0.2
Joël Veltman,Brighton,0.3,0,0.3
Anthony Martial,Manchester United,0.6,0,0.6
Manuel Akanji,Manchester City,0.2,0,0.2
Harry Maguire,Manchester United,0.1,0,0.1
Dan Bentley,Wolves,0,0,0
Vitalii Mykolenko,Everton,0.6,0.1,0.4
Kyle Walker-Peters,Southampton,0.5,0,0.5
Chris Mepham,Bournemouth,0.2,0,0.2
Caoimhín Kelleher,Liverpool,0,0,0
Luis Sinisterra,Leeds,0.5,0,0.5
