,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
0,0,Asmir Begovic,Everton,36, GK,1,90,0,0,0,0,0.0,64.0,1.0,1,7.82,0,0,0,0,3,0,0,0,0,0,0,0,0,0,25,0,5,0,,,,,
1,1,Kevin De Bruyne,Man City,32," M(CLR),FW",28(4),2425,7,16,1,0,2.0,80.8,0.4,9,7.58,0.9,0.3,0.6,0,0.3,0.8,0.1,0,3.1,1,0.9,0.2,0.9,1.3,42.4,2,2.5,0.5,4.93,2.07,0.18,65,0.08
2,2,Stefan Ortega,Man City,31, GK,3,270,0,0,0,0,0.0,85.4,0.3,1,7.56,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,50.3,0,7.3,0,,,,,
3,3,Erling Haaland,Man City,23, FW,33(2),2779,36,8,5,0,3.5,74.8,1.4,6,7.54,0.1,0.1,0.9,0,0.4,0.1,0.1,0,0.9,0.3,0.7,0.2,0.7,1.5,13.7,0,0.1,0.1,30.88,5.12,1,123,0.25
4,4,Harry Kane,Tottenham,30," AM(C),FW",38,3408,30,3,6,0,3.4,72.0,1.7,8,7.51,0.4,0.1,0.8,0.1,0.5,0.4,0.2,0,1.5,1.1,1.5,0.4,1.5,1.9,22.4,0.2,1.9,0.3,22.49,7.51,0.59,130,0.17
5,5,Bruno Fernandes,Man Utd,29, M(CLR),37,3320,8,8,6,0,2.5,77.7,0.5,6,7.44,1.8,0.7,1.1,0,1,1.1,0.1,0,3.2,0.9,1.1,0.4,1.1,1.1,50.1,0.9,3.1,0.6,8.81,-0.81,0.24,92,0.1
6,6,Gabriel Jesus,Arsenal,27," AM(LR),FW",24(2),2075,11,6,6,0,3.0,81.5,1.7,4,7.42,1.3,0.4,1.7,0,0.5,0.7,0.1,0,1.2,1.7,2.2,0.6,2.5,3.4,25.9,0.1,0.6,0.1,14.24,-3.24,0.62,77,0.18
7,7,Kieran Trippier,Newcastle,33," D(LR),M(R)",38,3348,1,7,5,0,0.4,76.0,1.3,8,7.41,1.9,1.1,1.3,0.3,2,1.2,0.4,1,2.9,0.5,0.8,0.2,0.2,0.7,54.3,3.6,3.9,0.2,0.88,0.12,0.02,14,0.06
8,8,Bukayo Saka,Arsenal,22," D(L),M(CLR)",37(1),3195,14,11,6,0,2.3,80.9,0.4,4,7.4,1.7,0.4,1.1,0.1,0.4,0.6,0,0,2,1.7,1.7,0.2,1.6,2.1,32.5,1,0.9,0,10.21,3.79,0.29,89,0.11
9,9,Solly March,Brighton,29, M(CLR),31(2),2728,7,7,2,0,2.2,78.6,0.9,6,7.38,1.6,0.7,1.4,0.1,0.9,0.6,0.1,0,2,1.8,1.2,0.4,1,1.7,33.4,1.1,2.1,0.1,9.31,-2.31,0.31,74,0.13
10,10,Jack Grealish,Man City,28," AM(CL),FW",23(5),2064,5,7,4,0,1.5,87.6,0.5,3,7.33,0.9,0.3,1,0,0.3,0.4,0.1,0,1.8,1.6,2.8,0.1,1,1.3,35.3,0.4,0.8,0.1,4.55,0.45,0.2,41,0.11
11,11,Martin Ødegaard,Arsenal,25, AM(CR),37,3149,15,7,4,0,2.5,84.0,0.4,7,7.29,1,0.2,0.8,0,0.3,0.9,0.1,0,2.1,1.3,0.7,0,1.2,1.1,45.6,0.5,1.5,0.3,9.42,5.58,0.27,93,0.1
12,12,Rodri,Man City,27," D(C),DMC",34(2),2921,2,6,5,0,1.4,91.3,2.0,3,7.26,1.9,0.9,1.3,0,1.2,0.8,0.4,0,0.9,0.7,0.6,0.1,0.5,0.6,82.7,0.1,4.8,0.1,4.39,-2.39,0.14,50,0.09
13,13,Gabriel Martinelli,Arsenal,22," AM(L),FW",34(2),2806,15,5,3,0,2.2,82.4,0.4,4,7.25,0.9,0.3,1.1,0,0.3,0.4,0,0,1.6,1.7,1,0.2,1.6,2.3,27.1,0.5,1,0.1,9.77,5.23,0.31,79,0.12
14,14,Ivan Toney,Brentford,28, FW,33,2955,20,4,9,0,2.8,62.0,3.3,5,7.25,0.7,0.4,1.6,0,1.1,0.5,0.3,0,0.8,0.5,2.2,0.8,1.4,3,22.3,0.2,0.4,0.2,21.19,-1.19,0.65,94,0.23
15,15,Joelinton,Newcastle,27," AM(CLR),FW",30(2),2664,6,1,12,0,1.6,82.3,2.1,3,7.25,2.2,1.5,2,0.1,1.2,1.1,0.2,0,0.8,1.7,1.1,0,1.6,2.3,38.4,0.1,1.1,0,5.6,0.4,0.19,51,0.11
16,16,James Maddison,Leicester,27, AM(CLR),28(2),2486,10,9,10,0,2.8,79.5,0.1,2,7.24,1.7,0.4,1,0,0.1,1,0,0,2.3,1.5,2.6,0.2,1,1.5,33.8,1.2,1.7,0.2,8.62,1.38,0.31,85,0.1
17,17,Rodrigo Bentancur,Tottenham,26, M(C),17(1),1506,5,2,8,0,0.8,85.2,0.8,1,7.22,2.5,1.1,1.3,0,1.2,0.7,0.8,0,0.6,1.2,0.4,0,0.9,1.2,47.6,0.2,1.3,0.1,2.23,2.77,0.13,15,0.15
18,18,Bruno Guimarães,Newcastle,26, DMC,32,2735,4,5,7,0,0.9,84.6,0.6,1,7.21,2.4,1.1,1.4,0,0.6,0.8,0.1,0,1.3,1.4,2.6,0,1.9,1.4,51,0.1,3.2,0.3,2.93,1.07,0.1,28,0.1
19,19,Casemiro,Man Utd,32," D(C),DMC",24(4),2126,4,3,7,2,1.2,78.5,2.0,5,7.17,3.1,1.2,1.7,0,2.1,1.6,0.4,0,1,0.3,0.9,0,0.5,0.6,50.4,0.1,3.4,0.3,3.02,0.98,0.13,34,0.09
20,20,Mohamed Salah,Liverpool,31," AM(CLR),FW",37(1),3297,19,12,2,0,3.3,78.1,0.2,3,7.17,0.6,0.2,0.5,0,0.1,0.4,0,0,1.7,1.4,0.9,0.6,2.1,2.9,29.5,0.3,0.6,0.2,22.94,-3.94,0.63,125,0.18
21,21,Phil Foden,Man City,23," AM(CLR),FW",22(10),1844,11,5,1,0,1.4,86.1,0.6,3,7.13,0.5,0.2,0.3,0,0.3,0.3,0.1,0,1.3,1.3,0.9,0.2,0.9,1.1,31.3,0.8,0.8,0.1,6.05,4.95,0.3,46,0.13
22,22,Ilkay Gündogan,Man City,33, M(C),27(4),2359,8,4,0,0,1.7,88.2,0.6,2,7.11,1,0.6,0.7,0,0.4,0.7,0.1,0,1.2,0.5,0.8,0.2,0.9,0.9,49.7,0.3,1.9,0.3,7.58,0.42,0.29,54,0.14
23,23,Trent Alexander-Arnold,Liverpool,25," D(R),DMC,M(R)",34(3),2932,2,9,5,0,1.1,78.7,0.5,2,7.11,1.5,1.2,0.6,0.3,1,1,0.2,0,1.9,0.8,0.2,0.1,0.6,0.9,62.4,2.1,5.2,0.3,1.9,0.1,0.06,40,0.05
24,24,Ethan Pinnock,Brentford,30, D(C),30,2700,3,0,0,0,0.5,80.2,3.5,2,7.11,1.7,1.2,0.2,0.7,7.1,0.2,1,1,0.3,0.1,0.3,0,0.2,0.2,36.4,0.1,1.6,0,3.14,-0.14,0.1,15,0.21
25,25,Aleksandar Mitrovic,Fulham,29, FW,23(1),2015,14,1,7,0,3.9,60.5,4.2,4,7.08,0.6,0.1,1.4,0,0.8,0.3,0.2,0,0.7,1,1.7,0.6,2.4,2.7,20.4,0,1,0.1,16.08,-2.08,0.72,93,0.17
26,26,Marcus Rashford,Man Utd,26," AM(CLR),FW",32(3),2890,17,5,2,0,3.1,78.7,0.6,6,7.08,0.6,0.2,0.4,0,0.4,0.4,0.1,0,0.9,1.5,0.7,0.4,1.3,2.3,22.3,0.1,0.8,0.1,17.47,-0.47,0.54,108,0.16
27,27,Reece James,Chelsea,24," D(CR),DMC,M(R)",14(2),1244,1,1,4,0,1.0,90.7,1.4,0,7.07,1.9,0.8,0.6,0.2,1.3,0.3,0.1,0,1.3,1.4,1.1,0.3,0.9,0.8,53.3,1.1,2.4,0,0.96,0.04,0.07,16,0.06
28,28,Thomas Partey,Arsenal,30," D(R),M(CR)",28(5),2487,3,0,5,0,0.8,88.0,1.1,1,7.06,2.1,0.8,1.1,0.1,1.2,0.8,0.2,0,0.8,1.1,0.7,0,0.6,1,59,0.1,3.2,0.2,2.25,0.75,0.08,28,0.08
29,29,Felipe,Nottingham Forest,34, D(C),15(1),1419,0,1,4,0,0.8,73.0,3.3,0,7.06,2.6,2.3,0.9,0.3,5.6,1.1,0.8,0,0.4,0.9,0.7,0.3,0.3,0.8,34.8,0,1.8,0,1.24,-1.24,0.08,13,0.1
30,30,Cody Gakpo,Liverpool,24," AM(CLR),FW",17(4),1465,7,2,0,0,1.9,78.4,1.2,0,7.06,1.2,0.2,1.2,0,0.1,1.2,0,0,1.1,1.1,1.6,0.4,1.7,2,17.7,0,0.3,0,6.57,0.43,0.4,39,0.17
31,31,Alexander Isak,Newcastle,24," AM(L),FW",17(5),1527,10,1,3,0,2.3,77.8,1.0,1,7.06,0.8,0.2,0.9,0,0.4,0.8,0.1,0,0.7,1.5,0.7,0.2,1.1,1.8,16,0,0.7,0.1,8.72,1.28,0.51,51,0.17
32,32,João Cancelo,Man City,29," D(LR),M(R)",16(1),1279,2,1,3,1,1.0,86.8,1.6,1,7.05,1.7,1.1,0.8,0.1,0.4,0.5,0.1,0,0.7,1.8,1.1,0.2,0.8,1.1,64.4,0.7,2.2,0,0.56,1.44,0.04,17,0.03
33,33,Alexis Mac Allister,Brighton,25," M(CL),FW",31(4),2886,10,2,8,0,2.5,87.2,0.7,4,7.05,2,0.6,1,0.1,0.3,1.1,0.1,1,1.3,1.2,1.6,0,1,1.3,51.5,0.2,1.9,0.2,11.63,-1.63,0.36,86,0.14
34,34,Fabian Schär,Newcastle,32, D(C),36,3209,1,3,7,0,1.6,77.7,3.1,2,7.05,1.3,1.4,0.6,0.4,3.8,0.4,0.5,1,0.5,0.1,0.8,0.2,0.2,0.6,50.4,0.1,4.3,0.1,5.38,-4.38,0.15,56,0.1
35,35,Declan Rice,West Ham,25," D(C),DMC",36(1),3272,4,2,5,0,1.0,88.0,1.0,1,7.02,2.1,1.7,0.6,0.1,1.5,0.5,0.4,0,1,1,0.3,0,0.7,0.8,56.3,0.3,4.1,0,2.37,1.63,0.07,36,0.07
36,36,Pierre-Emile Højbjerg,Tottenham,28, M(C),35,3133,4,5,5,0,0.9,88.6,0.8,3,7.02,1.6,1.4,1.1,0,1.7,1.2,0.5,0,0.9,0.9,1,0,1,1.1,64.5,0.2,4.5,0.2,1.73,2.27,0.05,33,0.05
37,37,Eberechi Eze,Crystal Palace,25, AM(CLR),30(8),2644,10,4,3,0,1.9,82.4,0.5,4,7.02,1.1,0.3,0.7,0,0.2,0.5,0,0,1.5,1.9,1.5,0.1,1.4,1.9,28.5,0.6,0.9,0.1,7.24,2.76,0.25,71,0.1
38,38,Riyad Mahrez,Man City,33," AM(CLR),FW",22(8),1924,5,10,2,0,1.4,86.8,0.3,2,7.01,1,0.3,0.5,0,0.1,0.9,0,0,1.7,0.8,1.4,0.2,0.9,1.2,34.4,0.9,1.2,0.2,5.24,-0.24,0.24,43,0.12
