player_name,team_name,Total_Interception
Jan Bednarek,Southampton,2.5
Pascal Struijk,Leeds,1.1
Eric Dier,Tottenham,1.1
Tim Ream,Fulham,1.2
Issa Diop,Fulham,1.4
Jeffrey Schlupp,Crystal Palace,0.7
Harvey Barnes,Leicester,0.2
Wout Faes,Leicester,1.3
Idrissa Gueye,Everton,1.7
Jefferson Lerma,Bournemouth,1.3
Marc Cucurella,Chelsea,0.7
Jorginho,Chelsea,1.2
Joel Ward,Crystal Palace,0.9
Wesley Fofana,Chelsea,1.3
Raphaël Varane,Manchester United,0.5
Rico Henry,Brentford,0.8
Marcel Sabitzer,Manchester United,0.7
Sean Longstaff,Newcastle,0.5
Tyrell Malacia,Manchester United,1.1
Vladimír Coufal,West Ham,1.4
Harry Souttar,Leicester,1
Maximilian Wöber,Leeds,1.7
Vitaly Janelt,Brentford,0.8
Ben Davies,Tottenham,0.6
Maximilian Kilman,Wolves,0.5
Matheus Cunha,Wolves,0.5
Aaron Ramsdale,Arsenal,0
Duje Caleta-Car,Southampton,1.2
João Félix,Chelsea,0.1
Rasmus Kristensen,Leeds,1.3
Demarai Gray,Everton,0.4
Dominic Calvert-Lewin,Everton,0.2
Kamaldeen Sulemana,Southampton,0.3
Lewis Dunk,Brighton,0.9
Toti Gomes,Wolves,0.6
Liam Cooper,Leeds,1.9
Craig Dawson,Wolves,0.7
Ben Chilwell,Chelsea,0.8
Robin Olsen,Aston Villa,0
Leon Bailey,Aston Villa,0.2
Willy-Arnaud Boly,Nottingham Forest,1.1
Anthony Gordon,Everton,0.3
Aaron Cresswell,West Ham,1
Jorginho,Arsenal,0.6
Matheus Nunes,Wolves,0.5
Jakub Kiwior,Arsenal,0.9
Neco Williams,Nottingham Forest,1.1
Ché Adams,Southampton,0.1
Lloyd Kelly,Bournemouth,1.1
Joël Veltman,Brighton,0.6
Anthony Martial,Manchester United,0
Manuel Akanji,Manchester City,0.6
Harry Maguire,Manchester United,0.8
Dan Bentley,Wolves,0
Vitalii Mykolenko,Everton,1.4
Kyle Walker-Peters,Southampton,0.9
Chris Mepham,Bournemouth,1.2
Caoimhín Kelleher,Liverpool,0
Luis Sinisterra,Leeds,0.4
Joe Worrall,Nottingham Forest,0.9
Ashley Young,Aston Villa,0.7
Pontus Jansson,Brentford,0.8
Ezri Konsa,Aston Villa,0.7
Dean Henderson,Nottingham Forest,0
Jordan Henderson,Liverpool,0.6
Danny Ings,Aston Villa,0.1
Séamus Coleman,Everton,1
Ryan Christie,Bournemouth,0.8
Rico Lewis,Manchester City,0.4
Matty Cash,Aston Villa,1
Roméo Lavia,Southampton,1.1
Ruben Loftus-Cheek,Chelsea,0.5
João Gomes,Wolves,0.4
Boubacar Kamara,Aston Villa,0.8
Luke Ayling,Leeds,0.9
Hugo Lloris,Tottenham,0
Leander Dendoncker,Wolves,2.3
Joe Aribo,Southampton,0.5
Ayoze Pérez,Leicester,0.3
Clément Lenglet,Tottenham,0.7
Levi Colwill,Brighton,0.9
Conor Gallagher,Chelsea,0.7
Renan Lodi,Nottingham Forest,1.2
Stefan Bajcetic,Liverpool,0.8
Kyle Walker,Manchester City,0.7
Daniel Amartey,Leicester,0.4
Tyrick Mitchell,Crystal Palace,1.2
Angelo Ogbonna,West Ham,1.1
Sam Amo-Ameyaw,Southampton,0
Keylor Navas,Nottingham Forest,0.1
José Sá,Wolves,0
Harvey Elliott,Liverpool,0.5
Marcos Senesi,Bournemouth,1.4
Adam Webster,Brighton,0.7
Manor Solomon,Fulham,0.3
Robin Koch,Leeds,1.2
Scott McTominay,Manchester United,0.6
Adama Traoré,Wolves,0.1
César Azpilicueta,Chelsea,0.8
Matías Viña,Bournemouth,0.3
Yoane Wissa,Brentford,0.2
Rayan Aït-Nouri,Wolves,0.4
Gianluca Scamacca,West Ham,0.3
Jack Stephens,Bournemouth,1.1
Cody Drameh,Leeds,1
Nathan Patterson,Everton,0.8
João Moutinho,Wolves,0.6
Taiwo Awoniyi,Nottingham Forest,0.1
Daniel Podence,Wolves,0.2
Joël Matip,Liverpool,1.5
Morgan Gibbs-White,Wolves,0.5
Thilo Kehrer,West Ham,1.3
Marc Roca,Leeds,0.7
Nélson Semedo,Wolves,0.8
Ainsley Maitland-Niles,Southampton,1
Harrison Reed,Fulham,0.5
Carlos Alcaraz,Southampton,0.1
Wilfred Ndidi,Leicester,1.4
Michail Antonio,West Ham,0.2
Matthew Craig,Tottenham,0
Boubakary Soumaré,Leicester,1.3
Jordan Zemura,Bournemouth,0.8
Brennan Johnson,Nottingham Forest,0.1
Mohamed Elyounoussi,Southampton,0.8
Jonny Evans,Leicester,1.4
David Datro Fofana,Chelsea,0
Nathan Collins,Wolves,0.8
Tetê,Leicester,0.2
Fred,Manchester United,0.5
Moussa Niakhaté,Nottingham Forest,1.4
Abdoulaye Doucouré,Everton,0.5
Kostas Tsimikas,Liverpool,0.6
Mateo Kovacic,Chelsea,0.7
Wilfried Gnonto,Leeds,0.2
Orel Mangala,Nottingham Forest,0.9
Fraser Forster,Tottenham,0
Lyanco,Southampton,1
Davinson Sánchez,Tottenham,0.7
Kelechi Iheanacho,Leicester,0
Trevoh Chalobah,Chelsea,1
Diego Llorente,Leeds,1.9
Bobby De Cordova-Reid,Fulham,0.6
Romain Perraud,Southampton,0.7
Danny Ward,Leicester,0
Richarlison,Tottenham,0.2
Crysencio Summerville,Leeds,0.5
Ryan Yates,Nottingham Forest,0.4
Marc Albrighton,Leicester,0.2
Mario Lemina,Wolves,0.7
Moussa Djenepo,Southampton,0.7
Adam Lallana,Brighton,0.1
Aaron Hickey,Brentford,0.7
Hakim Ziyech,Chelsea,0.3
Patson Daka,Leicester,0.2
Jonny Otto,Wolves,0.8
Kevin Schade,Brentford,0.2
Conor Coady,Everton,0.6
Tino Livramento,Southampton,1
Josh Dasilva,Brentford,0.1
Joe Rothwell,Bournemouth,0.5
Daniel James,Leeds,0.5
Victor Kristiansen,Leicester,0.3
Ederson,Manchester City,0
Paul Onuachu,Southampton,0
Jacob Murphy,Newcastle,0.2
Eddie Nketiah,Arsenal,0
Gavin Bazunu,Southampton,0
Hugo Bueno,Wolves,0.5
Craig Dawson,West Ham,0.8
Emmanuel Dennis,Nottingham Forest,0.1
Harry Wilson,Fulham,0.2
Mads Roerslev,Brentford,0.5
James Garner,Everton,0.8
Odsonne Édouard,Crystal Palace,0.1
Luke Thomas,Leicester,1.6
Bryan Gil,Tottenham,0.3
Wayne Hennessey,Nottingham Forest,0
Albert Sambi Lokonga,Crystal Palace,0.8
Illan Meslier,Leeds,0
Robert Sánchez,Brighton,0.1
Weston McKennie,Leeds,1.2
Joel Robles,Leeds,0
Oliver Skipp,Tottenham,0.7
Emerson,West Ham,0.7
Junior Firpo,Leeds,1.3
Brenden Aaronson,Leeds,0.1
Lewis Cook,Bournemouth,0.8
Enock Mwepu,Brighton,0.2
Neeskens Kebano,Fulham,0.1
Kristoffer Ajer,Brentford,0.8
Pablo Fornals,West Ham,0.4
Lucas Digne,Aston Villa,0.6
Chris Richards,Crystal Palace,0.9
Ryan Sessegnon,Tottenham,0.4
Juan Larios,Southampton,0.6
Nathaniel Phillips,Liverpool,1
Cristiano Ronaldo,Manchester United,0.1
Frank Onyeka,Brentford,0.5
Denis Zakaria,Chelsea,0.4
Scott McKenna,Nottingham Forest,0.6
Ben Johnson,West Ham,0.5
Matt Targett,Newcastle,0.5
Cheikhou Kouyaté,Nottingham Forest,0.5
James Bree,Southampton,1.2
Gonçalo Guedes,Wolves,0.1
Remo Freuler,Nottingham Forest,1
Pedro Neto,Wolves,0.2
Pablo Sarabia,Wolves,0.2
Theo Walcott,Southampton,0.5
Wout Weghorst,Manchester United,0.4
Ricardo Pereira,Leicester,0.4
Philippe Coutinho,Aston Villa,0.2
Fábio Carvalho,Liverpool,0.5
Ludwig Augustinsson,Aston Villa,0
Steve Cook,Nottingham Forest,1
Bertrand Traoré,Aston Villa,0.3
Zanka,Brentford,0.9
Patrick Bamford,Leeds,0.2
Édouard Mendy,Chelsea,0
Alejandro Garnacho,Manchester United,0.3
Jeremy Sarmiento,Brighton,0.1
Kieffer Moore,Bournemouth,0
Raúl Jiménez,Wolves,0
Jaidon Anthony,Bournemouth,0.3
Danny Ings,West Ham,0.2
Isaac Price,Everton,0
Mark Travers,Bournemouth,0
Mikkel Damsgaard,Brentford,0.4
Mason Holgate,Everton,0.9
Deniz Undav,Brighton,0
Cole Palmer,Manchester City,0.1
James Milner,Liverpool,0.4
Takehiro Tomiyasu,Arsenal,0.7
Billy Gilmour,Brighton,0.4
Lewis Miley,Newcastle,0
Jamie Vardy,Leicester,0.1
Cédric Soares,Fulham,0.2
Ben Godfrey,Everton,0.6
Hwang Hee-Chan,Wolves,0.2
Carlos Vinícius,Fulham,0
Jan Bednarek,Aston Villa,0.7
Adam Smith,Bournemouth,0.7
Alex Oxlade Chamberlain,Liverpool,0.1
Samuel Edozie,Southampton,0.4
Lewis O'Brien,Nottingham Forest,0.4
Nampalys Mendy,Leicester,0.7
Mykhailo Mudryk,Chelsea,0
Fábio Vieira,Arsenal,0.2
