player_name,team_name,Yellow,Red
Timothy Castagne,Leicester,0.1,0
Armel Bella-Kotchap,Southampton,0.2,0
Kiernan Dewsbury-Hall,Leicester,0.1,0
Álex Moreno,Aston Villa,0.2,0
Shea Charles,Manchester City,0,0
Fabinho,Liverpool,0.3,0
Danilo,Nottingham Forest,0.1,0
Matt Doherty,Tottenham,0,0
Amadou Onana,Everton,0.3,0
Victor Lindelöf,Manchester United,0.1,0
Julián Álvarez,Manchester City,0,0
Nick Pope,Newcastle,0.1,0
Saïd Benrahma,West Ham,0,0
Emiliano Buendía,Aston Villa,0,0
Mason Mount,Chelsea,0.2,0
Christian Eriksen,Manchester United,0.1,0
Aymeric Laporte,Manchester City,0,0
Jordan Pickford,Everton,0.2,0
Joe Gomez,Liverpool,0.1,0
Kurt Zouma,West Ham,0,0
Marc Guéhi,Crystal Palace,0.2,0
Rodrigo,Leeds,0.2,0
Reiss Nelson,Arsenal,0,0
Lukasz Fabianski,West Ham,0,0
Nayef Aguerd,West Ham,0.2,0
Curtis Jones,Liverpool,0.1,0
Evan Ferguson,Brighton,0.1,0
David de Gea,Manchester United,0,0
Jan Bednarek,Southampton,0.3,0
Pascal Struijk,Leeds,0.2,0
Eric Dier,Tottenham,0.1,0
Tim Ream,Fulham,0.1,0
Issa Diop,Fulham,0.1,0
Jeffrey Schlupp,Crystal Palace,0.2,0
Harvey Barnes,Leicester,0.1,0
Wout Faes,Leicester,0.1,0
Idrissa Gueye,Everton,0.2,0
Jefferson Lerma,Bournemouth,0.2,0
Marc Cucurella,Chelsea,0.2,0
Jorginho,Chelsea,0.2,0
Joel Ward,Crystal Palace,0.2,0
Wesley Fofana,Chelsea,0.2,0
Raphaël Varane,Manchester United,0,0
Rico Henry,Brentford,0.1,0
Marcel Sabitzer,Manchester United,0.1,0
Sean Longstaff,Newcastle,0.1,0
Tyrell Malacia,Manchester United,0.3,0
Vladimír Coufal,West Ham,0.2,0
Harry Souttar,Leicester,0.2,0
Maximilian Wöber,Leeds,0.2,0
Vitaly Janelt,Brentford,0.1,0
Ben Davies,Tottenham,0.1,0
Maximilian Kilman,Wolves,0.1,0
Matheus Cunha,Wolves,0.1,0
Aaron Ramsdale,Arsenal,0,0
Duje Caleta-Car,Southampton,0.2,0
