Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots,Positions_1,Positions_2,Positions_3,Positions_4,Positions_5
Jack Grealish,Manchester City,28,"CAM, LAM, FW",23(5),2064,5,7,4,0,1.5,87.6,0.5,3,7.33,0.9,0.3,1.0,0.0,0.3,0.4,0.1,0,1.5,1.8,1.6,2.8,0.1,1.0,1.3,35.3,0.4,0.8,0.1,4.55,0.45,0.2,41.0,0.11,CAM, LAM, FW,,
Martin Ødegaard,Arsenal,25,"CAM, RAM",37,3149,15,7,4,0,2.5,84.0,0.4,7,7.29,1.0,0.2,0.8,0.0,0.3,0.9,0.1,0,2.5,2.1,1.3,0.7,0.0,1.2,1.1,45.6,0.5,1.5,0.3,9.42,5.58,0.27,93.0,0.1,CAM, RAM,,,
Rodri,Manchester City,27,"CB, CDM",34(2),2921,2,6,5,0,1.4,91.3,2.0,3,7.26,1.9,0.9,1.3,0.0,1.2,0.8,0.4,0,1.4,0.9,0.7,0.6,0.1,0.5,0.6,82.7,0.1,4.8,0.1,4.39,-2.39,0.14,50.0,0.09,CB, CDM,,,
Gabriel Martinelli,Arsenal,22,"LAM, FW",34(2),2806,15,5,3,0,2.2,82.4,0.4,4,7.25,0.9,0.3,1.1,0.0,0.3,0.4,0.0,0,2.2,1.6,1.7,1.0,0.2,1.6,2.3,27.1,0.5,1.0,0.1,9.77,5.23,0.31,79.0,0.12,LAM, FW,,,
Ivan Toney,Brentford,28,FW,33,2955,20,4,9,0,2.8,62.0,3.3,5,7.25,0.7,0.4,1.6,0.0,1.1,0.5,0.3,0,2.8,0.8,0.5,2.2,0.8,1.4,3.0,22.3,0.2,0.4,0.2,21.19,-1.19,0.65,94.0,0.23,FW,,,,
Joelinton,Newcastle,27,"CAM, LAM, RAM, FW",30(2),2664,6,1,12,0,1.6,82.3,2.1,3,7.25,2.2,1.5,2.0,0.1,1.2,1.1,0.2,0,1.6,0.8,1.7,1.1,0.0,1.6,2.3,38.4,0.1,1.1,0.0,5.6,0.4,0.19,51.0,0.11,CAM, LAM, RAM, FW,
James Maddison,Leicester,27,"CAM, LAM, RAM",28(2),2486,10,9,10,0,2.8,79.5,0.1,2,7.24,1.7,0.4,1.0,0.0,0.1,1.0,0.0,0,2.8,2.3,1.5,2.6,0.2,1.0,1.5,33.8,1.2,1.7,0.2,8.62,1.38,0.31,85.0,0.1,CAM, LAM, RAM,,
Rodrigo Bentancur,Tottenham,26,CM,17(1),1506,5,2,8,0,0.8,85.2,0.8,1,7.22,2.5,1.1,1.3,0.0,1.2,0.7,0.8,0,0.8,0.6,1.2,0.4,0.0,0.9,1.2,47.6,0.2,1.3,0.1,2.23,2.77,0.13,15.0,0.15,CM,,,,
Bruno Guimarães,Newcastle,26,CDM,32,2735,4,5,7,0,0.9,84.6,0.6,1,7.21,2.4,1.1,1.4,0.0,0.6,0.8,0.1,0,0.9,1.3,1.4,2.6,0.0,1.9,1.4,51.0,0.1,3.2,0.3,2.93,1.07,0.1,28.0,0.1,CDM,,,,
Casemiro,Manchester United,32,"CB, CDM",24(4),2126,4,3,7,2,1.2,78.5,2.0,5,7.17,3.1,1.2,1.7,0.0,2.1,1.6,0.4,0,1.2,1.0,0.3,0.9,0.0,0.5,0.6,50.4,0.1,3.4,0.3,3.02,0.98,0.13,34.0,0.09,CB, CDM,,,
Mohamed Salah,Liverpool,31,"CAM, LAM, RAM, FW",37(1),3297,19,12,2,0,3.3,78.1,0.2,3,7.17,0.6,0.2,0.5,0.0,0.1,0.4,0.0,0,3.3,1.7,1.4,0.9,0.6,2.1,2.9,29.5,0.3,0.6,0.2,22.94,-3.94,0.63,125.0,0.18,CAM, LAM, RAM, FW,
Phil Foden,Manchester City,23,"CAM, LAM, RAM, FW",22(10),1844,11,5,1,0,1.4,86.1,0.6,3,7.13,0.5,0.2,0.3,0.0,0.3,0.3,0.1,0,1.4,1.3,1.3,0.9,0.2,0.9,1.1,31.3,0.8,0.8,0.1,6.05,4.95,0.3,46.0,0.13,CAM, LAM, RAM, FW,
Ilkay Gündogan,Manchester City,33,CM,27(4),2359,8,4,0,0,1.7,88.2,0.6,2,7.11,1.0,0.6,0.7,0.0,0.4,0.7,0.1,0,1.7,1.2,0.5,0.8,0.2,0.9,0.9,49.7,0.3,1.9,0.3,7.58,0.42,0.29,54.0,0.14,CM,,,,
Trent Alexander-Arnold,Liverpool,25,"RB, CDM, RM",34(3),2932,2,9,5,0,1.1,78.7,0.5,2,7.11,1.5,1.2,0.6,0.3,1.0,1.0,0.2,0,1.1,1.9,0.8,0.2,0.1,0.6,0.9,62.4,2.1,5.2,0.3,1.9,0.1,0.06,40.0,0.05,RB, CDM, RM,,
Ethan Pinnock,Brentford,30,CB,30,2700,3,0,0,0,0.5,80.2,3.5,2,7.11,1.7,1.2,0.2,0.7,7.1,0.2,1.0,1,0.5,0.3,0.1,0.3,0.0,0.2,0.2,36.4,0.1,1.6,0.0,3.14,-0.14,0.1,15.0,0.21,CB,,,,
Aleksandar Mitrovic,Fulham,29,FW,23(1),2015,14,1,7,0,3.9,60.5,4.2,4,7.08,0.6,0.1,1.4,0.0,0.8,0.3,0.2,0,3.9,0.7,1.0,1.7,0.6,2.4,2.7,20.4,0.0,1.0,0.1,16.08,-2.08,0.72,93.0,0.17,FW,,,,
Marcus Rashford,Manchester United,26,"CAM, LAM, RAM, FW",32(3),2890,17,5,2,0,3.1,78.7,0.6,6,7.08,0.6,0.2,0.4,0.0,0.4,0.4,0.1,0,3.1,0.9,1.5,0.7,0.4,1.3,2.3,22.3,0.1,0.8,0.1,17.47,-0.47,0.54,108.0,0.16,CAM, LAM, RAM, FW,
Reece James,Chelsea,24,"CB, RB, CDM, RM",14(2),1244,1,1,4,0,1.0,90.7,1.4,0,7.07,1.9,0.8,0.6,0.2,1.3,0.3,0.1,0,1.0,1.3,1.4,1.1,0.3,0.9,0.8,53.3,1.1,2.4,0.0,0.96,0.04,0.07,16.0,0.06,CB, RB, CDM, RM,
Thomas Partey,Arsenal,30,"RB, CM, RM",28(5),2487,3,0,5,0,0.8,88.0,1.1,1,7.06,2.1,0.8,1.1,0.1,1.2,0.8,0.2,0,0.8,0.8,1.1,0.7,0.0,0.6,1.0,59.0,0.1,3.2,0.2,2.25,0.75,0.08,28.0,0.08,RB, CM, RM,,
Felipe,Nottingham Forest,34,CB,15(1),1419,0,1,4,0,0.8,73.0,3.3,0,7.06,2.6,2.3,0.9,0.3,5.6,1.1,0.8,0,0.8,0.4,0.9,0.7,0.3,0.3,0.8,34.8,0.0,1.8,0.0,1.24,-1.24,0.08,13.0,0.1,CB,,,,
Cody Gakpo,Liverpool,24,"CAM, LAM, RAM, FW",17(4),1465,7,2,0,0,1.9,78.4,1.2,0,7.06,1.2,0.2,1.2,0.0,0.1,1.2,0.0,0,1.9,1.1,1.1,1.6,0.4,1.7,2.0,17.7,0.0,0.3,0.0,6.57,0.43,0.4,39.0,0.17,CAM, LAM, RAM, FW,
Alexander Isak,Newcastle,24,"LAM, FW",17(5),1527,10,1,3,0,2.3,77.8,1.0,1,7.06,0.8,0.2,0.9,0.0,0.4,0.8,0.1,0,2.3,0.7,1.5,0.7,0.2,1.1,1.8,16.0,0.0,0.7,0.1,8.72,1.28,0.51,51.0,0.17,LAM, FW,,,
João Cancelo,Manchester City,29,"LB, RB, RM",16(1),1279,2,1,3,1,1.0,86.8,1.6,1,7.05,1.7,1.1,0.8,0.1,0.4,0.5,0.1,0,1.0,0.7,1.8,1.1,0.2,0.8,1.1,64.4,0.7,2.2,0.0,0.56,1.44,0.04,17.0,0.03,LB, RB, RM,,
Alexis Mac Allister,Brighton,25,"CM, LM, FW",31(4),2886,10,2,8,0,2.5,87.2,0.7,4,7.05,2.0,0.6,1.0,0.1,0.3,1.1,0.1,1,2.5,1.3,1.2,1.6,0.0,1.0,1.3,51.5,0.2,1.9,0.2,11.63,-1.63,0.36,86.0,0.14,CM, LM, FW,,
Fabian Schär,Newcastle,32,CB,36,3209,1,3,7,0,1.6,77.7,3.1,2,7.05,1.3,1.4,0.6,0.4,3.8,0.4,0.5,1,1.6,0.5,0.1,0.8,0.2,0.2,0.6,50.4,0.1,4.3,0.1,5.38,-4.38,0.15,56.0,0.1,CB,,,,
Declan Rice,West Ham,25,"CB, CDM",36(1),3272,4,2,5,0,1.0,88.0,1.0,1,7.02,2.1,1.7,0.6,0.1,1.5,0.5,0.4,0,1.0,1.0,1.0,0.3,0.0,0.7,0.8,56.3,0.3,4.1,0.0,2.37,1.63,0.07,36.0,0.07,CB, CDM,,,
Pierre-Emile Højbjerg,Tottenham,28,CM,35,3133,4,5,5,0,0.9,88.6,0.8,3,7.02,1.6,1.4,1.1,0.0,1.7,1.2,0.5,0,0.9,0.9,0.9,1.0,0.0,1.0,1.1,64.5,0.2,4.5,0.2,1.73,2.27,0.05,33.0,0.05,CM,,,,
Eberechi Eze,Crystal Palace,25,"CAM, LAM, RAM",30(8),2644,10,4,3,0,1.9,82.4,0.5,4,7.02,1.1,0.3,0.7,0.0,0.2,0.5,0.0,0,1.9,1.5,1.9,1.5,0.1,1.4,1.9,28.5,0.6,0.9,0.1,7.24,2.76,0.25,71.0,0.1,CAM, LAM, RAM,,
Riyad Mahrez,Manchester City,33,"CAM, LAM, RAM, FW",22(8),1924,5,10,2,0,1.4,86.8,0.3,2,7.01,1.0,0.3,0.5,0.0,0.1,0.9,0.0,0,1.4,1.7,0.8,1.4,0.2,0.9,1.2,34.4,0.9,1.2,0.2,5.24,-0.24,0.24,43.0,0.12,CAM, LAM, RAM, FW,
Bryan Mbeumo,Brentford,24,"LAM, RAM, FW",36(2),2931,9,8,5,0,1.9,73.7,0.9,4,7.01,0.7,0.3,0.7,0.0,0.4,0.9,0.0,0,1.9,1.3,1.2,0.6,0.2,1.4,1.9,21.3,1.1,0.8,0.1,9.99,-0.99,0.31,71.0,0.14,LAM, RAM, FW,,
Yerry Mina,Everton,29,CB,7,596,2,0,2,0,1.1,88.5,2.7,1,7.01,2.1,0.9,0.9,0.3,4.0,0.3,0.6,0,1.1,0.1,0.1,1.4,0.0,0.0,0.6,45.9,0.0,1.7,0.0,1.62,0.38,0.24,8.0,0.2,CB,,,,
Kaoru Mitoma,Brighton,26,LM,24(9),2318,7,5,0,0,1.6,83.3,0.5,4,7.0,1.3,0.5,0.9,0.0,0.2,0.6,0.0,0,1.6,1.2,1.8,0.8,0.2,1.0,1.8,27.7,0.1,0.6,0.1,9.3,-2.3,0.36,52.0,0.18,LM,,,,
Pascal Groß,Brighton,32,"LB, RB, CM, RM, FW",37,3246,9,8,7,0,1.1,86.0,0.3,2,7.0,1.6,0.4,0.9,0.0,0.5,0.8,0.3,1,1.1,2.2,0.5,0.5,0.3,0.5,1.1,54.8,1.4,2.0,0.1,5.21,3.79,0.14,39.0,0.13,LB, RB, CM, RM, FW
Michael Olise,Crystal Palace,22,"CAM, LAM, RAM",31(6),2757,2,11,2,0,1.4,78.4,0.5,5,6.99,1.6,0.7,0.8,0.0,0.4,0.9,0.0,0,1.4,1.9,1.5,1.9,0.2,1.3,2.3,31.3,1.6,1.3,0.1,2.99,-0.99,0.1,51.0,0.06,CAM, LAM, RAM,,
Dwight McNeil,Everton,24,"CM, LM, RM",28(8),2502,7,3,5,0,1.3,76.4,0.4,4,6.99,1.8,0.9,0.6,0.0,0.9,1.1,0.2,0,1.3,1.4,1.5,0.6,0.0,1.3,1.5,21.0,1.4,1.0,0.0,3.86,3.14,0.14,46.0,0.08,CM, LM, RM,,
Willian,Fulham,35,"CAM, LAM, RAM",25(2),2144,5,5,2,0,1.5,82.3,0.3,3,6.99,0.5,0.3,0.4,0.0,0.3,0.7,0.0,0,1.5,1.9,1.4,0.9,0.1,0.9,1.6,31.3,0.5,2.0,0.1,3.41,1.59,0.14,41.0,0.08,CAM, LAM, RAM,,
Leandro Trossard,Brighton,29,"CM, LM, RM, FW",16,1326,7,2,1,0,2.4,74.4,0.4,2,6.99,0.6,0.4,0.6,0.0,0.0,0.4,0.0,0,2.4,1.4,0.9,0.8,0.3,1.6,2.4,29.5,0.6,1.6,0.2,4.89,2.11,0.33,38.0,0.13,CM, LM, RM, FW,
Leandro Trossard,Arsenal,29,"CM, LM, RM, FW",10(10),930,1,10,0,0,0.9,84.3,0.1,2,6.84,0.6,0.4,0.6,0.0,0.0,0.4,0.0,0,2.4,1.4,0.9,0.8,0.3,1.6,2.4,29.5,0.6,1.6,0.2,4.89,2.11,0.33,38.0,0.13,CM, LM, RM, FW,
Ben Mee,Brentford,34,"CB, LB",37,3272,3,2,2,0,0.8,77.1,3.6,2,6.98,1.2,1.3,0.4,0.3,3.1,0.5,1.1,0,0.8,0.2,0.3,0.4,0.0,0.1,0.5,44.8,0.0,2.9,0.0,2.91,0.09,0.08,28.0,0.1,CB, LB,,,
Kenny Tete,Fulham,28,"CB, RB, RM",29(2),2575,1,5,8,0,0.4,76.0,1.1,0,6.98,2.7,1.7,1.4,0.2,2.4,0.4,0.5,0,0.4,0.7,0.7,1.7,0.0,0.8,0.7,35.9,0.7,1.5,0.0,0.8,0.2,0.03,13.0,0.06,CB, RB, RM,,
Granit Xhaka,Arsenal,31,"LB, CM",36(1),3004,7,7,5,0,1.1,86.5,1.0,1,6.98,0.9,0.4,0.7,0.1,1.1,0.7,0.3,0,1.1,1.3,0.4,1.1,0.1,0.7,0.9,42.5,0.1,1.9,0.1,5.05,1.95,0.15,40.0,0.13,LB, CM,,,
Lucas Paquetá,West Ham,26,"CM, LM, RM, FW",27(1),2171,4,3,5,0,1.9,80.2,1.3,4,6.98,2.5,0.6,1.8,0.0,1.1,1.5,0.1,0,1.9,1.1,1.3,1.1,0.0,1.6,1.7,40.2,0.1,1.6,0.1,4.83,-0.83,0.2,53.0,0.09,CM, LM, RM, FW,
Martin Dúbravka,Newcastle,35,GK,1(1),156,0,0,0,0,0.0,87.5,0.0,0,6.98,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,3.5,0.0,,,,,,GK,,,,
James Tarkowski,Everton,31,CB,38,3420,1,1,6,0,0.8,81.2,3.2,2,6.97,1.3,1.3,1.1,0.3,5.2,0.5,2.1,0,0.8,0.4,0.2,0.6,0.1,0.1,0.6,42.6,0.0,3.2,0.1,2.97,-1.97,0.08,32.0,0.09,CB,,,,
Luis Díaz,Liverpool,27,"LAM, RAM",11(6),997,4,2,2,0,1.6,82.7,0.5,2,6.97,1.0,0.4,1.2,0.0,0.1,0.4,0.0,0,1.6,0.8,1.9,1.4,0.2,2.2,1.8,26.2,0.1,1.0,0.0,3.27,0.73,0.29,27.0,0.12,LAM, RAM,,,
Ollie Watkins,Aston Villa,28,"LAM, RAM, FW",36(1),3136,15,6,4,0,2.3,69.9,1.9,3,6.96,0.5,0.3,0.7,0.0,1.1,0.5,0.1,0,2.3,0.8,0.5,1.1,0.5,1.1,2.2,14.9,0.1,0.1,0.0,16.8,-1.8,0.48,86.0,0.2,LAM, RAM, FW,,
Diogo Dalot,Manchester United,25,"LB, RB, RM",24(2),2155,1,2,6,0,0.8,80.5,1.5,2,6.96,2.1,1.4,0.8,0.1,2.0,0.5,0.3,0,0.8,1.1,0.8,0.1,0.0,0.2,0.7,45.7,0.5,2.7,0.0,2.39,-1.39,0.1,22.0,0.11,LB, RB, RM,,
Pedro Porro,Tottenham,24,"RB, RM",13(2),1138,3,3,0,0,1.7,75.3,0.1,1,6.96,1.7,1.0,0.8,0.2,1.3,1.7,0.1,0,1.7,1.7,0.9,1.1,0.1,0.5,1.0,31.9,1.7,1.0,0.2,1.38,1.62,0.11,26.0,0.05,RB, RM,,,
Marcus Tavernier,Bournemouth,25,"CM, LM, RM",19(4),1749,5,4,1,0,1.6,77.3,0.7,3,6.95,1.4,0.4,0.9,0.1,0.7,1.0,0.2,0,1.6,0.8,2.0,1.2,0.2,1.7,2.0,25.9,0.9,0.8,0.0,3.6,1.4,0.19,37.0,0.1,CM, LM, RM,,
Rúben Neves,Wolves,27,CDM,33(2),3022,6,1,12,0,1.9,84.0,0.7,5,6.95,2.3,1.4,1.1,0.0,2.3,1.3,0.6,0,1.9,0.9,0.6,0.5,0.0,0.4,0.6,58.1,0.3,6.1,0.1,5.32,0.68,0.16,66.0,0.08,CDM,,,,
James Ward-Prowse,Southampton,29,"CM, RM",38,3373,9,4,6,0,1.2,85.3,1.2,2,6.95,1.7,1.4,0.9,0.0,1.2,1.1,0.3,1,1.2,1.9,0.2,0.5,0.0,0.6,0.7,50.5,1.8,1.7,0.0,5.74,3.26,0.15,44.0,0.13,CM, RM,,,
Thiago Silva,Chelsea,39,CB,26(1),2352,0,2,2,0,0.6,91.3,2.3,1,6.95,1.5,1.3,0.4,0.5,4.0,0.4,1.1,0,0.6,0.2,0.1,0.5,0.0,0.0,0.2,75.2,0.0,4.3,0.0,1.27,-1.27,0.05,15.0,0.08,CB,,,,
David Raya,Brentford,28,GK,38,3420,0,0,1,0,0.0,60.7,0.3,3,6.95,0.0,0.0,0.0,0.0,0.5,0.1,0.0,1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,38.8,0.0,10.8,0.0,0.08,-0.08,0.0,1.0,0.08,GK,,,,
Son Heung-Min,Tottenham,31,"CM, LM, RM, FW",33(3),2899,10,6,2,0,2.3,82.0,0.3,2,6.95,0.7,0.4,0.4,0.0,0.1,0.6,0.1,0,2.3,1.7,0.9,1.0,0.5,1.5,1.8,21.8,0.9,0.4,0.1,10.17,-0.17,0.32,81.0,0.13,CM, LM, RM, FW,
N'Golo Kanté,Chelsea,33,CM,6(1),520,0,1,1,0,1.1,82.5,0.3,1,6.95,2.3,0.9,0.7,0.0,0.3,0.6,0.0,0,1.1,1.9,1.7,0.3,0.1,0.7,1.9,46.4,0.4,1.4,0.1,0.33,-0.33,0.06,8.0,0.04,CM,,,,
Virgil van Dijk,Liverpool,32,CB,32,2836,3,1,3,0,0.9,90.5,3.1,2,6.94,0.8,1.0,0.4,0.7,4.2,0.3,0.5,0,0.9,0.2,0.1,0.1,0.1,0.0,0.2,80.7,0.0,4.7,0.0,3.15,-0.15,0.1,30.0,0.1,CB,,,,
João Palhinha,Fulham,28,CDM,35,3113,3,0,14,0,1.1,83.0,2.1,2,6.93,4.2,1.3,1.4,0.0,1.7,1.8,0.1,1,1.1,0.2,0.4,1.4,0.0,0.8,1.1,36.2,0.0,2.5,0.0,3.15,-0.15,0.09,39.0,0.08,CDM,,,,
Aaron Wan-Bissaka,Manchester United,26,"LB, RB, RM",16(3),1436,0,0,2,0,0.5,83.5,0.7,0,6.93,2.1,1.2,0.6,0.3,1.8,0.1,0.4,0,0.5,0.8,0.9,0.1,0.0,0.5,0.7,37.1,0.2,0.9,0.1,1.19,-1.19,0.07,10.0,0.12,LB, RB, RM,,
Douglas Luiz,Aston Villa,25,CM,33(4),2933,6,6,6,1,0.9,86.4,0.7,3,6.93,1.9,1.1,1.3,0.0,0.6,0.9,0.2,0,0.9,1.2,0.6,1.1,0.1,0.9,1.0,45.9,0.6,2.2,0.1,3.03,2.97,0.09,34.0,0.09,CM,,,,
Alisson Becker,Liverpool,31,GK,37,3330,0,1,1,0,0.0,83.4,0.3,2,6.92,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,33.5,0.0,4.5,0.0,,,,,,GK,,,,
Bernd Leno,Fulham,32,GK,36,3240,0,0,3,0,0.0,76.3,0.3,3,6.92,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,33.5,0.0,4.4,0.0,,,,,,GK,,,,
Callum Wilson,Newcastle,32,FW,21(10),1887,18,5,4,0,2.4,67.7,0.6,4,6.92,0.3,0.0,0.7,0.0,0.2,0.1,0.0,0,2.4,0.7,0.4,1.0,0.5,1.2,2.3,7.6,0.0,0.1,0.0,17.78,0.22,0.85,73.0,0.24,FW,,,,
Moisés Caicedo,Brighton,22,CDM,34(3),3141,1,1,10,0,0.8,88.8,1.0,0,6.92,2.7,1.5,1.8,0.0,0.7,0.8,0.2,0,0.8,1.2,0.8,1.5,0.0,0.6,1.1,59.7,0.2,2.4,0.1,1.5,-0.5,0.04,28.0,0.05,CDM,,,,
Miguel Almirón,Newcastle,30,"CAM, LAM, RAM, FW",29(5),2508,11,2,2,0,2.0,84.5,0.2,2,6.91,1.4,0.3,0.6,0.0,0.4,0.7,0.1,0,2.0,0.8,1.0,1.0,0.3,0.8,1.5,27.4,0.1,0.4,0.0,8.27,2.73,0.3,69.0,0.12,CAM, LAM, RAM, FW,
Benoît Badiashile,Chelsea,23,CB,10(1),904,1,0,2,0,0.5,89.7,3.2,0,6.91,1.3,1.5,0.8,0.2,3.0,0.5,0.2,0,0.5,0.3,0.1,0.5,0.0,0.3,0.2,77.7,0.0,3.5,0.0,1.25,-0.25,0.12,6.0,0.21,CB,,,,
Wesley Fofana,Leicester,23,CB,2,180,0,0,1,0,1.0,84.2,2.5,0,6.9,2.0,4.5,1.0,0.0,2.0,1.0,0.5,0,1.0,0.0,1.0,1.5,0.5,0.0,1.5,69.5,0.0,1.0,0.0,0.37,-0.37,0.19,2.0,0.19,CB,,,,
Wesley Fofana,Chelsea,23,CB,12(3),1187,1,0,3,0,0.4,89.8,2.0,2,6.65,2.0,4.5,1.0,0.0,2.0,1.0,0.5,0,1.0,0.0,1.0,1.5,0.5,0.0,1.5,69.5,0.0,1.0,0.0,0.37,-0.37,0.19,2.0,0.19,CB,,,,
Christian Nørgaard,Brentford,30,"CB, CDM",21(1),1771,1,3,6,0,0.9,76.3,0.8,0,6.9,2.4,1.5,1.6,0.0,1.8,1.4,0.4,0,0.9,0.5,0.4,0.9,0.0,0.5,0.6,36.0,0.1,1.4,0.0,1.49,-0.49,0.08,19.0,0.08,CB, CDM,,,
Lewis Hall,Chelsea,19,"LB, LM",8(1),658,0,0,1,0,1.2,83.7,0.8,0,6.9,2.6,1.2,0.3,0.1,1.1,0.8,0.0,0,1.2,1.6,1.2,1.2,0.1,0.8,1.8,39.4,1.3,2.7,0.0,0.98,-0.98,0.13,11.0,0.09,LB, LM,,,
Luke Shaw,Manchester United,28,"CB, LB, LM",30(1),2558,1,2,8,0,0.5,86.0,1.5,1,6.9,1.8,1.2,1.5,0.2,1.7,0.5,0.5,0,0.5,1.1,0.5,0.9,0.0,0.3,0.8,58.2,0.8,2.0,0.0,0.93,0.07,0.03,14.0,0.07,CB, LB, LM,,
Joe Willock,Newcastle,24,CM,31(4),2578,3,6,1,0,1.7,85.1,0.5,2,6.88,1.5,0.7,1.0,0.0,0.4,0.9,0.2,0,1.7,1.1,1.1,0.7,0.1,0.8,1.9,25.4,0.4,1.0,0.1,6.43,-3.43,0.22,58.0,0.11,CM,,,,
Emiliano Martínez,Aston Villa,31,GK,36,3141,0,0,7,0,0.0,71.6,0.4,3,6.87,0.0,0.0,0.0,0.0,0.8,0.1,0.0,1,0.0,0.1,0.0,0.2,0.0,0.0,0.1,34.7,0.0,6.6,0.0,,,,,,GK,,,,
Oleksandr Zinchenko,Arsenal,27,"LB, CM, LM, RM",26(1),2135,1,2,3,0,1.0,87.8,1.9,1,6.86,1.5,0.8,0.2,0.4,1.1,0.7,0.1,0,1.0,0.7,0.6,0.4,0.0,0.6,0.6,63.6,0.3,2.3,0.1,1.27,-0.27,0.05,28.0,0.05,LB, CM, LM, RM,
