,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
38,38,Danilho Doekhi,,25, D(C),25,2218,5,1,0,0,0.7,80.0,2.4,4,6.99,1.5,1.2,0.8,0.2,3.6,0.5,0.5,0,0.3,0.1,0.6,0,0.1,0.3,37.7,0,2,0,1.84,3.16,0.07,17,0.11
39,39,Mats Hummels,,35, D(C),24(6),2022,1,0,4,0,0.6,87.7,2.4,0,6.98,2.1,1.1,0.6,0.5,3.2,0.8,0.5,0,0.4,0.2,0.6,0.1,0.3,0.1,55.4,0.2,5,0.1,2.03,-1.03,0.09,17,0.12
40,40,Wataru Endo,,31, DMC,33,2925,5,4,3,0,1.4,79.7,2.3,1,6.97,2.1,0.8,1.2,0,1.8,1.4,0.2,0,1.4,0.8,1.7,0.1,1.6,1.7,44.3,0.1,2.5,0.2,4.49,0.51,0.14,45,0.1
41,41,Ramy Bensebaïni,,29," D(CL),DMC,M(L)",28,2487,6,1,5,1,1.5,77.8,2.5,1,6.96,1.2,1.3,0.9,0.4,3.2,0.5,0.5,1,0.5,0.4,1.6,0.1,0.6,1.3,44.3,0.2,2,0.2,5.73,0.27,0.21,41,0.14
42,42,Matthias Ginter,,30," D(CR),DMC",34,3060,4,1,3,0,0.6,82.9,3.5,1,6.95,1.3,1,0.7,0.3,4.4,0.4,0.7,0,0.4,0.1,0.8,0,0.1,0.4,55.4,0,4.3,0,2.51,1.49,0.07,21,0.12
43,43,Mitchell Weiser,,30," D(R),M(R)",29(1),2520,2,9,7,0,0.9,70.0,0.8,2,6.93,2.4,0.9,1.2,0.1,1,1.2,0.2,0,1.3,1.4,1.9,0.2,1.4,2.7,33,0.9,1.8,0.2,2.93,-0.93,0.1,28,0.1
44,44,Matthijs de Ligt,,24, D(C),27(4),2405,3,1,4,0,0.7,91.3,3.1,0,6.93,1,0.7,0.6,0.6,2.6,0.3,0.6,0,0.2,0,0.5,0.1,0.1,0.4,66.9,0,3.2,0,1.31,1.69,0.05,23,0.06
45,45,Dani Olmo,,25," AM(CLR),FW",15(8),1285,2,5,2,0,1.9,77.4,0.3,2,6.92,0.7,0.3,0.7,0,0.2,0.3,0,0,1.7,1.7,1.7,0,1.3,2,25,0.1,0.8,0.5,2.68,-0.68,0.19,43,0.06
46,46,Christoph Baumgartner,,24," AM(CLR),FW",33,2582,7,3,7,0,2.0,68.3,2.2,1,6.91,1.1,0.5,2,0,0.5,1.3,0.2,0,0.7,1.6,1.5,0.3,1.1,2.5,25.6,0.2,1,0.1,7.31,-0.31,0.25,66,0.11
47,47,Sheraldo Becker,,29," AM(CLR),FW",33(1),2582,11,7,4,0,2.0,68.9,0.5,3,6.91,0.4,0.1,0.9,0,0.2,0.3,0,0,1.3,0.8,0.8,0.7,1,1.8,14.7,1,0.6,0,5.8,5.2,0.2,67,0.09
48,48,Rodrigo Zalazar,,24, M(CR),15(7),1326,1,6,4,0,1.7,68.6,1.1,3,6.9,0.7,0.3,1,0,0.5,0.7,0,0,1.6,1.6,1.6,0.2,1.4,2.4,13.9,1.8,0.7,0.2,3.23,-2.23,0.22,38,0.08
49,49,Ritsu Doan,,25," M(CLR),FW",30(3),2445,5,4,3,0,1.7,72.2,0.3,0,6.9,1.8,0.4,0.9,0,0.3,0.9,0,0,0.8,1.5,1.6,0.2,1.6,2.3,17.9,0.3,0.5,0,6.73,-1.73,0.25,57,0.12
50,50,Timo Hübers,,27, D(C),28(1),2558,3,0,8,0,0.5,82.4,3.3,1,6.89,1.5,2,1.1,0.6,5.1,1,0.4,1,0.1,0.2,0.8,0,0.1,0.3,58.4,0,3.2,0,1.63,1.37,0.06,15,0.11
51,51,Leon Goretzka,,29, M(CR),22(5),1738,3,2,5,0,1.5,82.8,1.7,1,6.89,1.6,1.1,0.9,0,1.1,0.8,0.1,0,0.8,0.3,0.7,0.1,0.4,0.7,36.8,0,1.1,0.1,4.39,-1.39,0.23,40,0.11
52,52,Emre Can,,30," D(CLR),DMC",20(7),1896,2,1,8,0,0.6,89.7,1.1,1,6.88,2.1,0.9,1.1,0.1,1.4,0.8,0.2,0,0.7,0.5,1,0,0.4,0.6,47.3,0,2.6,0.1,1.57,0.43,0.07,16,0.1
53,53,Lucas Tousart,,27, DMC,33,2948,5,2,1,0,1.3,61.7,2.8,3,6.87,2.2,1.5,1.1,0.1,2,1,0.2,0,0.5,0.7,1.3,0,0.8,1.5,25.8,0.1,0.8,0,3.47,1.53,0.11,43,0.08
54,54,Robin Knoche,,31, D(C),32,2874,2,3,4,0,0.3,81.3,1.8,1,6.87,1.4,1.2,0.4,0.4,4.3,0.7,0.6,0,0.2,0.3,0.7,0,0.2,0.5,50.9,0.2,4.6,0,2.44,-0.44,0.08,10,0.24
55,55,Marc Oliver Kempf,,29, D(C),31,2713,1,0,5,0,0.5,78.0,4.3,1,6.87,1.4,1.6,0.9,0.9,4.5,0.2,1,0,0.3,0.4,0.8,0,0.2,0.5,41.8,0,2.2,0.1,2.08,-1.08,0.07,16,0.13
56,56,Noussair Mazraoui,,26, D(LR),11(8),1072,1,4,0,0,0.4,86.9,0.9,0,6.86,1.5,0.5,0.8,0.2,1.1,0.5,0.1,0,1,0.9,0.6,0.2,0.3,0.6,38.9,0.2,0.5,0.1,0.73,0.27,0.06,8,0.09
57,57,Konrad Laimer,,26," D(R),M(CR)",17(4),1474,3,0,8,0,1.0,80.5,0.1,1,6.86,2.9,0.9,1.4,0,0.3,1.1,0.2,0,0.8,1.5,1,0.1,1,1.7,34.6,0.1,1.2,0.1,2.71,0.29,0.17,20,0.14
58,58,Felix Nmecha,,23, M(C),19(11),1841,3,5,3,0,1.2,76.7,1.5,1,6.86,1.4,0.8,1,0,1,0.6,0.3,0,0.7,0.9,1.3,0,0.4,1.4,23,0,1.2,0.1,4.09,-1.09,0.2,37,0.11
59,59,Karim Adeyemi,,22," AM(LR),FW",20(4),1399,6,5,9,0,1.6,77.2,0.4,1,6.86,0.7,0.3,0.9,0,0.1,0.9,0,0,1.2,1.4,1.3,0,1.1,1.8,17.4,0,0.4,0.1,5.34,0.66,0.34,38,0.14
60,60,Sadio Mané,,32," AM(CLR),FW",18(7),1432,7,5,2,0,2.2,76.4,0.9,0,6.86,0.4,0,0.6,0,0.1,0.3,0.1,0,1,1,1,0.8,0.6,2.1,15.4,0.3,0.2,0,10.84,-3.84,0.68,55,0.2
61,61,Anton Stach,,25, M(C),22(8),2078,1,4,4,0,1.2,72.2,2.4,1,6.85,0.9,1.4,0.9,0,0.8,0.7,0.1,0,1,0.8,1.3,0.1,0.5,1.5,27.5,0.6,1,0.2,2.27,-1.27,0.1,36,0.06
62,62,Dodi Lukébakio,,26," AM(CLR),FW",27(5),2407,11,3,8,0,2.0,73.9,0.5,3,6.85,0.6,0.4,1,0,0.5,0.7,0.2,0,0.9,2.1,1.8,0.5,1.5,2.6,17,0.5,0.9,0,9.82,1.18,0.37,64,0.15
63,63,Robert Andrich,,29," D(C),M(C)",28(1),2409,2,2,8,0,1.0,83.9,1.9,0,6.85,2.1,1.4,1.2,0.1,1.8,0.7,0.3,1,0.6,0.1,0.7,0,0.1,0.7,49.8,0.1,1.8,0,1.71,0.29,0.06,30,0.06
64,64,Lucas Höler,,29," AM(CLR),FW",16(10),1508,5,2,1,0,1.2,66.3,2.7,2,6.84,0.7,0.4,0.8,0,0.7,0.6,0.2,0,0.5,0.4,1.4,0.3,0.5,1.1,18,0,0.3,0,3.31,1.69,0.2,30,0.11
