player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Lazar Samardzic,Udinese,0.9,0.7,1.6
Marko Arnautovic,Bologna,0.4,0.2,0.7
Jerdy Schouten,Bologna,1.9,0.7,2.6
Nicolò Casale,Lazio,1.4,0.4,1.9
Giacomo Bonaventura,Fiorentina,1.2,0.4,1.6
Alex Meret,Napoli,0,0,0
Denzel Dumfries,Inter,1,0.4,1.4
Arkadiusz Milik,Juventus,0.4,0.2,0.7
Henrikh Mkhitaryan,Inter,1.3,0.9,2.2
Daniele Rugani,Juventus,0.8,0,0.8
Alessandro Bastoni,Inter,1.4,0.6,2
Adam Marusic,Lazio,1.2,0.4,1.7
Samir Handanovic,Inter,0,0,0
Antonio Candreva,Salernitana,0.5,0.8,1.3
Ola Aina,Torino,0.9,0.3,1.2
Alessandro Tuia,Lecce,1.4,0.9,2.3
Perr Schuurs,Torino,1.7,0.4,2.1
Andrea Ranocchia,Monza,3,1,4
Bram Nuytinck,Sampdoria,2.8,0.6,3.4
Rasmus Højlund,Atalanta,0.1,0.2,0.3
Hans Hateboer,Atalanta,1.2,1,2.2
Gianluca Mancini,Roma,1.1,0.5,1.5
Darko Lazovic,Verona,0.8,0.5,1.3
Sandi Lovric,Udinese,1.1,0.5,1.6
Mathías Olivera,Napoli,1.3,0.7,2
Beto,Udinese,0.5,0.4,0.9
Johan Vásquez,Cremonese,1.6,0.8,2.5
Koray Günter,Verona,0.8,0.2,1
Walace,Udinese,2.2,1.3,3.5
Nehuén Pérez,Udinese,2.3,0.5,2.7
Simone Bastoni,Spezia,2.5,0.9,3.4
Leonardo Sernicola,Cremonese,1.4,0.4,1.8
Sebastiano Luperto,Empoli,0.9,0.3,1.2
Wladimiro Falcone,Lecce,0.1,0,0.1
Denis Zakaria,Juventus,3,0,3
Ricardo Rodríguez,Torino,1.5,0.4,1.9
Nemanja Matic,Roma,1.3,0.4,1.7
Mike Maignan,AC Milan,0,0,0
Aleksey Miranchuk,Torino,0.4,0.3,0.7
M'Bala Nzola,Spezia,0.4,0.2,0.6
Stefano Sensi,Monza,1.5,1.1,2.5
Eljif Elmas,Napoli,0.7,0.3,1
Emil Holm,Spezia,1.3,0.8,2.1
Nikola Moro,Bologna,1.2,0.8,2.1
Tyronne Ebuehi,Empoli,0.8,0.2,1
Wilfried Singo,Torino,0.9,0.2,1.1
Dany Mota,Monza,0.3,0.3,0.6
Dodô,Fiorentina,1.2,0.7,1.9
Giorgio Scalvini,Atalanta,1.7,0.9,2.6
Ethan Ampadu,Spezia,2.1,0.8,2.9
Nicola Ravaglia,Sampdoria,0,0.1,0.1
Lorenzo Montipò,Verona,0,0.1,0.1
Pedro,Lazio,1,0.5,1.5
Matteo Darmian,Inter,1.8,0.5,2.3
Panagiotis Retsos,Verona,2.5,0,2.5
Samuel Umtiti,Lecce,2.1,0.3,2.4
Giorgos Kyriakopoulos,Bologna,1.1,1.1,2.2
Federico Fazio,Salernitana,1.1,0.5,1.6
Jakub Kiwior,Spezia,1.3,1.1,2.4
Mehdi Léris,Sampdoria,2,1,3
Musa Barrow,Bologna,0.7,0.2,0.8
Valentin Gendrey,Lecce,2.4,0.8,3.2
Simone Verdi,Verona,0.6,0.5,1.1
Samuele Ricci,Torino,1.1,0.2,1.3
Marin Pongracic,Lecce,1.8,0.2,2
