player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Patric,Lazio,0.1,0.1,0,0
Milan Djuric,Verona,0.6,0,0.1,0.4
Lewis Ferguson,Bologna,1.3,0.4,0.3,0.7
Federico Gatti,Juventus,0.7,0.2,0.1,0.4
Michele Cerofolini,Fiorentina,0,0,0,0
André Onana,Inter,0,0,0,0
Lassana Coulibaly,Salernitana,0.5,0.3,0,0.1
Federico Baschirotto,Lecce,0.6,0.1,0.1,0.4
Rolando Mandragora,Fiorentina,1.3,0.8,0,0.4
Berat Djimsiti,Atalanta,0.2,0,0,0.2
Norbert Gyömbér,Salernitana,0.3,0.1,0.1,0.1
Éderson,Atalanta,1,0.6,0,0.4
Alex Sandro,Juventus,0.2,0.1,0,0.1
Lazar Samardzic,Udinese,1.4,0.9,0,0.4
Marko Arnautovic,Bologna,1.5,0.4,0.3,0.8
Jerdy Schouten,Bologna,0.2,0.1,0,0.2
Nicolò Casale,Lazio,0.3,0,0,0.2
Giacomo Bonaventura,Fiorentina,1.6,0.9,0.1,0.6
Alex Meret,Napoli,0,0,0,0
Denzel Dumfries,Inter,1,0,0.2,0.8
Arkadiusz Milik,Juventus,1.6,0.3,0.3,1
Henrikh Mkhitaryan,Inter,1.1,0.6,0,0.5
Daniele Rugani,Juventus,0.4,0.1,0.1,0.2
Alessandro Bastoni,Inter,0.4,0.1,0.1,0.3
Adam Marusic,Lazio,0.5,0.4,0,0.1
Samir Handanovic,Inter,0,0,0,0
Antonio Candreva,Salernitana,1.3,0.9,0.1,0.4
Ola Aina,Torino,0.4,0.1,0,0.3
Alessandro Tuia,Lecce,0.3,0,0,0.3
Perr Schuurs,Torino,0.5,0.1,0.1,0.3
Andrea Ranocchia,Monza,0,0,0,0
Bram Nuytinck,Sampdoria,0.2,0,0,0.2
Rasmus Højlund,Atalanta,1.7,0.1,0.1,1.5
Hans Hateboer,Atalanta,0.7,0,0.1,0.6
Gianluca Mancini,Roma,0.6,0.1,0.1,0.4
Darko Lazovic,Verona,1.4,0.6,0.1,0.7
Sandi Lovric,Udinese,1.9,1.2,0,0.7
Mathías Olivera,Napoli,0.3,0,0,0.2
Beto,Udinese,1.8,0.3,0.2,1.4
Johan Vásquez,Cremonese,0.5,0,0.1,0.4
Koray Günter,Verona,0.7,0.2,0.1,0.5
Walace,Udinese,0.9,0.6,0,0.2
Nehuén Pérez,Udinese,0.5,0.1,0,0.3
Simone Bastoni,Spezia,1.2,0.7,0.1,0.4
Leonardo Sernicola,Cremonese,0.8,0.4,0,0.3
Sebastiano Luperto,Empoli,0.5,0.1,0.1,0.4
Wladimiro Falcone,Lecce,0,0,0,0
Denis Zakaria,Juventus,0,0,0,0
Ricardo Rodríguez,Torino,0.3,0.2,0,0.1
Nemanja Matic,Roma,0.3,0.1,0,0.2
Mike Maignan,AC Milan,0,0,0,0
Aleksey Miranchuk,Torino,1.4,0.8,0.1,0.6
M'Bala Nzola,Spezia,2,0.4,0.2,1.5
Stefano Sensi,Monza,0.6,0.5,0,0.1
Eljif Elmas,Napoli,0.9,0.3,0.1,0.5
Emil Holm,Spezia,0.8,0.2,0.1,0.6
Nikola Moro,Bologna,0.8,0.5,0,0.3
Tyronne Ebuehi,Empoli,0.7,0.2,0.3,0.2
Wilfried Singo,Torino,1.1,0.2,0.1,0.8
Dany Mota,Monza,1,0.1,0.3,0.6
Dodô,Fiorentina,0.3,0.2,0,0.2
Giorgio Scalvini,Atalanta,0.5,0.1,0,0.5
Ethan Ampadu,Spezia,0.5,0.2,0,0.3
Nicola Ravaglia,Sampdoria,0,0,0,0
Lorenzo Montipò,Verona,0,0,0,0
Pedro,Lazio,1.2,0.6,0,0.6
Matteo Darmian,Inter,0.2,0.1,0,0.1
Panagiotis Retsos,Verona,0.5,0,0,0.5
Samuel Umtiti,Lecce,0.5,0.2,0,0.3
Giorgos Kyriakopoulos,Bologna,0.6,0.3,0,0.3
Federico Fazio,Salernitana,0.8,0,0.1,0.7
Jakub Kiwior,Spezia,0.6,0.2,0,0.4
Mehdi Léris,Sampdoria,0.9,0.1,0.1,0.8
Musa Barrow,Bologna,2,1.3,0.1,0.7
Valentin Gendrey,Lecce,0.3,0.2,0,0.1
Simone Verdi,Verona,1.3,0.8,0,0.5
Samuele Ricci,Torino,0.8,0.4,0,0.4
Marin Pongracic,Lecce,0.1,0,0,0.1
Nicolò Cambiaghi,Empoli,1.3,0.4,0,0.8
Pablo Marí,Monza,0.3,0.1,0,0.2
Arthur Cabral,Fiorentina,1.9,0.1,0.2,1.6
Janis Antiste,Sassuolo,0.5,0,0,0.5
Vlad Chiriches,Cremonese,0,0,0,0
Alexis Blin,Lecce,0.6,0.1,0.1,0.4
Danilo Cataldi,Lazio,0.2,0.2,0,0
David Okereke,Cremonese,1.8,0.7,0.1,1.1
Georginio Wijnaldum,Roma,1.4,0.4,0.3,0.7
Matteo Politano,Napoli,1.2,0.4,0,0.9
Jhon Lucumí,Bologna,0.3,0.1,0,0.2
Isak Hien,Verona,0.1,0,0,0.1
José Palomino,Atalanta,0.4,0.1,0.1,0.3
Ciprian Tatarusanu,AC Milan,0,0,0,0
Martin Erlic,Sassuolo,0.1,0,0,0.1
Krzysztof Piatek,Salernitana,1.8,0.4,0.2,1.2
Nicola Zalewski,Roma,0.9,0.6,0,0.3
Alessandro Zanoli,Sampdoria,0.7,0.1,0,0.5
Federico Chiesa,Juventus,1.2,0.5,0,0.7
Weston McKennie,Juventus,0.5,0,0,0.5
Alexis Saelemaekers,AC Milan,1.2,0.7,0,0.5
Pierre Kalulu,AC Milan,0.3,0,0.1,0.2
Andrea Cambiaso,Bologna,0.5,0.3,0,0.3
Juan Musso,Atalanta,0,0,0,0
Bartlomiej Dragowski,Spezia,0,0,0,0
Diego Llorente,Roma,0.4,0,0,0.4
Sasa Lukic,Torino,1,0.4,0.1,0.5
Jonathan Ikoné,Fiorentina,1.5,0.5,0.1,1
Jean-Daniel Akpa Akpro,Empoli,0.6,0.3,0.1,0.2
Vanja Milinkovic-Savic,Torino,0,0,0,0
Luca D'Andrea,Sassuolo,1.4,0.2,0,1.2
Frank Tsadjout,Cremonese,1.3,0.4,0.1,0.9
Remi Oudin,Lecce,1.2,0.8,0,0.4
Aleksa Terzic,Fiorentina,0.5,0.4,0,0.1
Matteo Ruggeri,Atalanta,0.7,0.2,0,0.5
Merih Demiral,Atalanta,0.2,0,0,0.1
Denso Kasius,Bologna,0.6,0.3,0,0.3
Ruslan Malinovskyi,Atalanta,1.3,1.1,0,0.1
Pawel Dawidowicz,Verona,0.5,0,0.1,0.4
Matheus Henrique,Sassuolo,0.8,0.3,0,0.5
Fodé Ballo-Touré,AC Milan,0.5,0.1,0.1,0.3
Lorenzo Pirola,Salernitana,0.5,0,0,0.4
Cyril Ngonge,Verona,1.9,1.2,0.1,0.6
Manolo Gabbiadini,Sampdoria,2.1,0.9,0.1,1
Mile Svilar,Roma,0,0,0,0
Manuel Lazzari,Lazio,0.2,0.1,0,0.1
Alessandro Florenzi,AC Milan,0.8,0.3,0.2,0.3
Samuele Perisan,Empoli,0,0,0,0
Marco Silvestri,Udinese,0,0,0,0
Luka Lochoshvili,Cremonese,0.3,0.1,0.1,0.1
Ondrej Duda,Verona,0.9,0.5,0,0.4
Cristian Volpato,Roma,0.6,0.1,0,0.4
Rogério,Sassuolo,0.4,0.3,0,0.1
Leonardo Spinazzola,Roma,0.4,0.1,0,0.2
Filippo Bandinelli,Empoli,0.7,0.5,0,0.2
