player_name,team_name,Fouled,Fouls
Darko Lazovic,Verona,0.1,0.3
Sandi Lovric,Udinese,0.9,0.8
Mathías Olivera,Napoli,0.8,0.7
Beto,Udinese,0.8,1.1
Johan Vásquez,Cremonese,0.8,0.8
Koray Günter,Verona,0.8,1.3
Walace,Udinese,1.1,1.1
Nehuén Pérez,Udinese,0.3,0.9
Simone Bastoni,Spezia,0.6,1.5
Leonardo Sernicola,Cremonese,1.3,1.3
Sebastiano Luperto,Empoli,0.6,0.6
Wladimiro Falcone,Lecce,0.1,0
Denis Zakaria,Juventus,0,0
Ricardo Rodríguez,Torino,0.2,0.7
Nemanja Matic,Roma,0.5,0.5
Mike Maignan,AC Milan,0.1,0
Aleksey Miranchuk,Torino,0.8,0.3
M'Bala Nzola,Spezia,1.3,1.8
Stefano Sensi,Monza,1.8,0.6
Eljif Elmas,Napoli,0.4,0.6
Emil Holm,Spezia,0.8,1.1
Nikola Moro,Bologna,0.4,0.6
Tyronne Ebuehi,Empoli,0.7,0.5
Wilfried Singo,Torino,1.1,1.4
Dany Mota,Monza,1.1,0.7
Dodô,Fiorentina,1.2,0.8
Giorgio Scalvini,Atalanta,0.2,1.7
Ethan Ampadu,Spezia,0.6,1.4
Nicola Ravaglia,Sampdoria,0.2,0.1
Lorenzo Montipò,Verona,0.1,0
Pedro,Lazio,0.8,0.7
Matteo Darmian,Inter,0.6,0.7
Panagiotis Retsos,Verona,1,2
Samuel Umtiti,Lecce,1.1,1.3
Giorgos Kyriakopoulos,Bologna,1,0.8
Federico Fazio,Salernitana,0.4,0.8
Jakub Kiwior,Spezia,0.3,0.9
Mehdi Léris,Sampdoria,1.5,1.6
Musa Barrow,Bologna,0.6,0.6
Valentin Gendrey,Lecce,0.7,0.6
Simone Verdi,Verona,1.1,0.6
Samuele Ricci,Torino,2.1,0.8
Marin Pongracic,Lecce,0,1.7
Nicolò Cambiaghi,Empoli,2.1,0.9
Pablo Marí,Monza,0.3,1
Arthur Cabral,Fiorentina,0.6,0.9
Janis Antiste,Sassuolo,0,2
Vlad Chiriches,Cremonese,0.5,1
Alexis Blin,Lecce,0.9,1.3
Danilo Cataldi,Lazio,0.7,0.4
David Okereke,Cremonese,1,0.6
Georginio Wijnaldum,Roma,0.6,0.2
Matteo Politano,Napoli,0.8,0.4
Jhon Lucumí,Bologna,0.5,0.9
Isak Hien,Verona,0.7,1.6
José Palomino,Atalanta,0.3,0.6
Ciprian Tatarusanu,AC Milan,0.2,0
Martin Erlic,Sassuolo,0.4,0.8
Krzysztof Piatek,Salernitana,1.3,1.2
Nicola Zalewski,Roma,1.5,0.7
Alessandro Zanoli,Sampdoria,0.5,0.2
Federico Chiesa,Juventus,0.6,0.6
Weston McKennie,Juventus,0.5,0.9
Alexis Saelemaekers,AC Milan,0.7,0.8
Pierre Kalulu,AC Milan,0.7,0.7
Andrea Cambiaso,Bologna,0.9,0.8
Juan Musso,Atalanta,0.2,0
Bartlomiej Dragowski,Spezia,0.2,0
Diego Llorente,Roma,0.3,1
Sasa Lukic,Torino,0.6,1.6
Jonathan Ikoné,Fiorentina,0.8,0.8
Jean-Daniel Akpa Akpro,Empoli,0.8,1.3
Vanja Milinkovic-Savic,Torino,0.1,0
Luca D'Andrea,Sassuolo,1.8,0.8
Frank Tsadjout,Cremonese,0.9,1.1
Remi Oudin,Lecce,0.5,0.3
Aleksa Terzic,Fiorentina,0.5,0.2
Matteo Ruggeri,Atalanta,0.3,0.7
Merih Demiral,Atalanta,0.5,0.5
Denso Kasius,Bologna,0.1,0.4
Ruslan Malinovskyi,Atalanta,0.7,0.7
Pawel Dawidowicz,Verona,0.6,1.6
Matheus Henrique,Sassuolo,1.1,0.7
Fodé Ballo-Touré,AC Milan,1.3,0.5
Lorenzo Pirola,Salernitana,0.3,1.1
Cyril Ngonge,Verona,0.8,0.9
Manolo Gabbiadini,Sampdoria,1.9,1.2
Mile Svilar,Roma,0,0
Manuel Lazzari,Lazio,1.3,0.5
Alessandro Florenzi,AC Milan,0.2,0.3
Samuele Perisan,Empoli,0.1,0
Marco Silvestri,Udinese,0.1,0
Luka Lochoshvili,Cremonese,0.4,1.1
Ondrej Duda,Verona,1.7,1.1
Cristian Volpato,Roma,0.9,1
Rogério,Sassuolo,1.1,0.8
Leonardo Spinazzola,Roma,0.5,0.5
Filippo Bandinelli,Empoli,1.1,1.5
Luca Ranieri,Fiorentina,0.2,0.7
Tommaso Baldanzi,Empoli,1.4,0.5
Alex Ferrari,Cremonese,0.8,0.5
Isaac Success,Udinese,2.6,1.1
Marco Sportiello,Atalanta,0.1,0
Andrea Colpani,Monza,1,0.8
Gaetano Castrovilli,Fiorentina,0.8,0.8
James Abankwah,Udinese,0.5,1
Santiago Ascacíbar,Cremonese,0.7,0.8
Jeroen Zoet,Spezia,0,0
Caleb Okoli,Atalanta,0.5,0.9
Matías Vecino,Lazio,0.3,0.8
Francesco Caputo,Empoli,1,0.6
Mouhamadou Sarr,Cremonese,0,0
Fabio Depaoli,Sampdoria,2.3,0.3
