player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5
Ignacio Pussetto,Sampdoria,28,"CAM, LAM, RAM, FW",1(4),150,0,0,1,0,0.4,66.7,0.8,0,6.22,1.2,0.0,1.4,0.0,0.6,0.2,0.0,0,0.4,0.2,0.2,0.0,0.2,1.4,10.2,0.0,0.0,0.0,0.18,-0.18,0.11,2.0,0.09,CAM, LAM, RAM, FW,
Alberto Basso,Cremonese,19,FW,0(1),16,0,0,0,0,1.0,100.0,1.0,0,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.04,-0.04,0.22,1.0,0.04,FW,,,,
Filippo Missori,Roma,20,CB,2(1),181,0,0,1,0,0.0,75.0,0.7,0,6.22,1.3,1.0,1.3,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.3,1.0,12.0,0.0,0.3,0.0,,,,,,CB,,,,
Toma Basic,Lazio,27,CM,4(21),499,1,0,2,0,0.4,77.7,0.6,0,6.22,0.2,0.3,0.5,0.0,0.3,0.2,0.0,0,0.3,0.1,0.7,0.0,0.2,0.5,10.9,0.1,0.1,0.0,1.3,-0.3,0.23,11.0,0.12,CM,,,,
Lukas Vorlicky,Atalanta,22,FW,0(3),23,0,0,0,0,0.3,62.1,0.7,0,6.22,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0,0.0,1.3,0.0,0.0,0.3,0.3,9.7,0.0,0.3,0.0,0.07,-0.07,0.28,1.0,0.07,FW,,,,
Liam Henderson,Empoli,28,CAM,11(14),1004,0,1,9,0,0.5,83.3,0.2,0,6.22,0.5,0.4,1.4,0.0,0.4,0.7,0.1,0,0.7,0.0,0.5,0.1,0.2,0.4,20.1,0.4,0.7,0.0,0.41,-0.41,0.04,12.0,0.03,CAM,,,,
Nicolò Zaniolo,Roma,24,"CAM, LAM, RAM, FW",12(1),898,1,0,4,0,2.2,69.5,0.4,0,6.21,0.5,0.2,1.7,0.0,0.0,0.4,0.0,0,0.6,0.8,2.5,0.3,2.7,3.0,13.4,0.2,0.7,0.1,3.88,-2.88,0.39,28.0,0.14,CAM, LAM, RAM, FW,
Kristoffer Askildsen,Lecce,23,CM,7(14),724,0,0,3,0,0.5,63.9,1.0,0,6.21,0.3,0.5,1.0,0.0,0.3,0.3,0.2,0,0.3,0.1,0.3,0.0,0.1,0.6,11.6,0.2,0.9,0.0,0.5,-0.5,0.06,10.0,0.05,CM,,,,
Giacomo Quagliata,Cremonese,24,LB,6(14),693,0,1,0,1,0.5,74.9,0.1,0,6.21,0.5,0.6,0.7,0.1,0.4,0.3,0.1,0,0.7,0.5,0.6,0.0,0.3,0.5,11.2,0.8,0.4,0.0,0.41,-0.41,0.05,9.0,0.05,LB,,,,
Florian Thauvin,Udinese,31,"CM, LM, RM, FW",5(11),543,0,0,1,0,0.6,77.3,0.4,0,6.21,0.1,0.1,0.6,0.1,0.1,0.7,0.0,0,0.6,0.6,0.4,0.1,0.5,1.2,11.0,0.4,0.6,0.1,0.49,-0.49,0.08,10.0,0.05,CM, LM, RM, FW,
Alessio Zerbin,Napoli,25,LAM,2(8),193,0,0,1,0,0.5,74.7,0.0,0,6.21,1.0,0.2,0.9,0.0,0.2,0.4,0.0,0,0.0,0.2,0.6,0.1,0.5,0.5,7.5,0.0,0.3,0.0,0.27,-0.27,0.13,5.0,0.05,LAM,,,,
Pietro Pellegri,Torino,23,FW,4(14),460,2,0,3,0,0.6,79.2,0.6,0,6.2,0.3,0.0,0.8,0.1,0.2,0.1,0.1,0,0.3,0.2,0.8,0.4,1.1,1.3,4.3,0.0,0.0,0.0,1.02,0.98,0.2,10.0,0.1,FW,,,,
Petko Hristov,Spezia,25,CB,4(5),363,0,0,0,0,0.1,79.5,1.1,0,6.2,0.7,0.4,0.1,0.2,1.3,0.3,0.2,0,0.0,0.0,0.4,0.0,0.0,0.3,19.6,0.1,0.8,0.0,0.05,-0.05,0.01,1.0,0.05,CB,,,,
Andrea Barberis,Monza,30,CM,3(6),332,0,1,0,0,0.2,85.7,0.2,0,6.2,0.8,0.9,0.1,0.1,0.1,0.7,0.0,0,0.4,0.0,0.2,0.0,0.7,0.3,17.9,0.2,0.6,0.0,0.07,-0.07,0.02,2.0,0.03,CM,,,,
Emil Ceïde,Sassuolo,22,FW,5(14),505,0,1,0,0,0.5,74.4,0.1,0,6.2,0.3,0.1,0.2,0.0,0.0,0.1,0.1,0,0.4,0.4,0.4,0.1,0.4,0.8,8.4,0.1,0.1,0.1,1.05,-1.05,0.19,10.0,0.11,FW,,,,
Grégoire Defrel,Sassuolo,32,"CAM, RAM, FW",13(14),1168,2,1,3,0,0.6,84.7,0.2,1,6.2,0.3,0.1,0.5,0.0,0.2,0.3,0.0,0,0.3,0.3,0.5,0.2,0.6,1.0,9.2,0.0,0.1,0.0,3.45,-1.45,0.27,16.0,0.22,CAM, RAM, FW,,
Viktor Kovalenko,Spezia,28,CM,7(11),549,0,0,1,0,0.6,81.5,0.3,0,6.19,0.5,0.2,0.5,0.0,0.4,0.2,0.1,0,0.3,0.2,0.7,0.1,0.1,0.5,12.3,0.3,0.4,0.0,1.21,-1.21,0.2,11.0,0.11,CM,,,,
Salvatore Molina,Monza,32,"CDM, LM, RM",1(4),229,0,0,1,0,0.2,81.0,0.0,0,6.19,1.2,0.2,0.8,0.2,0.2,0.2,0.4,0,0.4,0.4,0.6,0.0,0.4,0.8,16.8,0.8,0.0,0.0,0.02,-0.02,0.01,1.0,0.02,CDM, LM, RM,,
Tiémoué Bakayoko,AC Milan,29,CDM,0(3),38,0,0,0,0,0.0,85.0,0.3,0,6.19,1.7,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.3,0.3,0.0,0.3,0.3,6.7,0.0,0.7,0.0,,,,,,CDM,,,,
Tio Cipot,Spezia,21,FW,0(8),133,0,0,0,0,0.3,72.9,0.1,0,6.19,1.5,0.0,0.1,0.0,0.3,0.3,0.0,0,0.4,0.4,0.3,0.0,0.8,0.6,6.0,0.1,0.0,0.0,0.03,-0.03,0.02,2.0,0.02,FW,,,,
Emanuel Vignato,Bologna,23,"CAM, LAM",2(6),239,0,1,1,0,0.1,80.2,0.3,0,6.19,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0,0.2,0.2,0.0,0.0,0.0,0.4,10.0,0.0,0.4,0.0,0.16,0.84,0.27,2.0,0.08,CAM, LAM,,,
Erik Botheim,Salernitana,24,"CAM, FW",9(19),858,1,3,2,0,0.3,72.8,0.8,0,6.19,0.4,0.0,0.4,0.0,0.1,0.3,0.0,0,0.3,0.1,0.4,0.1,0.4,0.7,8.0,0.0,0.1,0.0,0.45,0.55,0.05,7.0,0.06,CAM, FW,,,
Simone Pafundi,Udinese,18,CM,0(8),76,0,0,0,0,0.1,83.9,0.1,0,6.19,1.0,0.1,0.0,0.0,0.0,0.3,0.0,0,0.4,0.3,0.4,0.0,0.4,0.3,7.8,0.0,0.6,0.0,0.04,-0.04,0.05,1.0,0.04,CM,,,,
Emirhan Ilkhan,Torino,19,CAM,1(3),88,0,0,1,0,0.5,83.7,0.3,0,6.19,0.3,0.5,1.3,0.0,0.5,0.0,0.3,0,0.3,0.3,0.0,0.0,0.5,0.5,10.8,0.0,1.3,0.0,0.04,-0.04,0.05,2.0,0.02,CAM,,,,
Youssef Maleh,Lecce,25,CM,7(10),672,0,1,3,0,0.4,72.4,0.5,0,6.18,1.0,0.3,1.3,0.0,0.5,0.5,0.1,0,0.4,0.1,0.6,0.2,0.6,0.5,11.5,0.1,0.3,0.0,0.31,-0.31,0.04,6.0,0.05,CM,,,,
Ronaldo Vieira,Sampdoria,25,CDM,8(8),815,0,0,3,0,0.3,87.8,0.5,0,6.18,1.1,0.8,1.3,0.1,0.6,0.2,0.3,0,0.0,0.1,0.6,0.0,0.4,0.4,27.1,0.0,1.2,0.0,0.54,-0.54,0.06,5.0,0.11,CDM,,,,
Michel Aebischer,Bologna,27,"CM, RM",18(14),1541,1,0,4,0,0.5,84.9,0.3,0,6.18,0.4,0.2,0.7,0.0,0.3,0.5,0.1,0,0.5,0.2,0.7,0.2,0.5,0.9,19.9,0.1,0.6,0.0,1.35,-0.35,0.08,15.0,0.09,CM, RM,,,
Agustín Álvarez,Sassuolo,22,FW,1(21),351,1,1,1,0,0.6,83.8,0.4,0,6.18,0.3,0.1,0.4,0.0,0.1,0.1,0.0,0,0.1,0.3,0.2,0.1,0.5,0.7,3.6,0.0,0.2,0.0,1.51,-0.51,0.39,14.0,0.11,FW,,,,
Mato Jajalo,Udinese,35,CM,0(3),61,0,0,0,0,0.7,79.3,0.3,0,6.18,0.0,0.0,0.3,0.0,0.7,0.3,0.0,0,0.3,0.3,0.0,0.0,0.0,0.3,9.7,0.0,0.7,0.0,0.04,-0.04,0.07,2.0,0.02,CM,,,,
Warren Bondo,Monza,20,CDM,0(4),56,0,0,1,0,0.3,88.0,0.3,0,6.18,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.8,0.8,0.0,0.3,0.3,12.5,0.0,0.0,0.0,0.08,-0.08,0.13,1.0,0.08,CDM,,,,
Diego Demme,Napoli,32,CDM,2(5),144,0,0,0,0,0.0,94.8,0.3,0,6.17,0.1,0.0,0.3,0.0,0.1,0.6,0.0,0,0.1,0.3,0.4,0.0,0.1,0.4,27.3,0.0,1.0,0.0,,,,,,CDM,,,,
Jesé,Sampdoria,31,"LAM, RAM, FW",1(10),203,1,1,0,0,0.3,71.4,0.2,0,6.17,0.2,0.1,0.3,0.0,0.2,0.1,0.1,0,0.2,0.3,0.5,0.2,0.3,0.5,5.7,0.0,0.3,0.0,0.35,0.65,0.15,3.0,0.12,LAM, RAM, FW,,
Niklas Pyyhtiä,Bologna,20,CM,0(6),103,0,1,0,0,0.5,76.9,0.2,0,6.16,0.2,0.2,0.0,0.0,0.7,0.2,0.2,0,0.3,0.0,0.0,0.0,0.5,0.2,8.7,0.0,0.2,0.0,0.35,-0.35,0.3,3.0,0.12,CM,,,,
Francesco Caputo,Sampdoria,36,FW,13(2),1100,1,0,0,0,1.3,71.9,0.4,0,6.16,0.1,0.1,0.6,0.0,0.4,0.0,0.1,0,1.0,0.0,1.0,1.1,1.1,2.1,15.4,0.0,0.0,0.0,7.4,-2.4,0.39,42.0,0.18,FW,,,,
Marash Kumbulla,Roma,24,CB,5(2),263,0,0,1,1,0.1,87.2,1.0,0,6.15,0.6,0.6,0.4,0.1,0.9,0.1,0.1,0,0.1,0.0,0.7,0.0,0.0,0.3,25.7,0.0,1.0,0.0,0.03,-0.02,0.01,1.0,0.03,CB,,,,
Aster Vranckx,AC Milan,21,CM,2(7),237,0,0,1,0,0.2,76.6,0.4,0,6.15,0.3,0.2,0.7,0.0,0.1,0.6,0.1,0,0.1,0.3,0.4,0.0,0.9,0.4,13.8,0.1,0.6,0.0,0.06,-0.06,0.02,2.0,0.03,CM,,,,
Ivan Radovanovic,Salernitana,35,"CB, CDM",7(3),672,0,0,1,1,0.7,81.1,0.8,0,6.15,1.2,0.7,0.4,0.2,0.9,0.6,0.3,0,0.1,0.0,0.7,0.0,0.0,0.6,26.4,0.0,2.5,0.0,0.21,-0.21,0.03,7.0,0.03,CB, CDM,,,
Kristijan Bistrovic,Lecce,26,CDM,5(6),460,0,0,0,0,0.7,76.5,0.2,0,6.15,0.3,0.0,0.2,0.0,0.4,0.5,0.0,0,0.5,0.1,0.4,0.1,0.5,0.3,10.8,0.9,0.5,0.0,0.41,-0.41,0.08,8.0,0.05,CDM,,,,
Nicolò Rovella,Juventus,22,CDM,0(3),23,0,0,1,0,0.7,100.0,0.0,0,6.15,1.8,1.6,1.0,0.1,0.6,0.9,0.0,0,0.9,0.2,0.8,0.1,0.3,0.8,53.0,0.4,3.9,0.0,1.19,-0.19,0.06,21.0,0.06,CDM,,,,
Fabio Quagliarella,Sampdoria,41,FW,7(16),797,1,1,2,0,1.6,68.3,0.4,0,6.14,0.1,0.0,0.2,0.0,0.4,0.3,0.0,0,0.3,0.2,0.8,0.3,0.2,1.0,9.9,0.1,0.6,0.0,2.74,-1.74,0.31,36.0,0.08,FW,,,,
Salvador Ferrer,Spezia,26,RB,0(5),130,0,0,0,0,0.0,77.8,1.0,0,6.14,0.8,0.2,0.4,0.2,0.8,0.4,0.2,0,0.2,0.0,0.8,0.0,0.2,0.4,16.2,0.0,1.2,0.0,,,,,,RB,,,,
Gerard Yepes,Sampdoria,21,CM,2(3),198,0,0,2,0,0.2,73.3,1.0,0,6.14,1.0,0.8,1.4,0.0,0.6,0.4,0.0,0,0.2,0.0,0.8,0.0,0.2,0.6,21.0,0.0,0.4,0.0,0.11,-0.11,0.05,1.0,0.11,CM,,,,
Jack Hendry,Cremonese,28,CB,2(2),218,0,0,1,0,0.0,87.8,2.0,0,6.14,0.0,0.3,0.5,0.3,1.8,0.3,0.3,0,0.3,0.0,0.3,0.0,0.0,0.0,32.8,0.0,1.8,0.0,,,,,,CB,,,,
Matteo Lovato,Salernitana,24,CB,8(9),810,0,0,2,0,0.1,84.6,0.9,0,6.14,1.0,0.8,0.4,0.4,1.9,0.9,0.3,0,0.0,0.0,0.2,0.0,0.2,0.3,19.1,0.0,0.9,0.0,0.02,-0.02,0.0,1.0,0.02,CB,,,,
