player_name,team_name,Unsuccessful,Successful,Total Dribbles
Jerdy Schouten,Bologna,0.6,0.8,1.5
Nicolò Casale,Lazio,0.1,0,0.1
Giacomo Bonaventura,Fiorentina,1,0.8,1.8
Alex Meret,Napoli,0,0,0
Denzel Dumfries,Inter,1,0.6,1.6
Arkadiusz Milik,Juventus,0.4,0.4,0.8
Henrikh Mkhitaryan,Inter,0.7,0.5,1.1
Daniele Rugani,Juventus,0,0.1,0.1
Alessandro Bastoni,Inter,0.2,0.3,0.5
Adam Marusic,Lazio,0.2,0.3,0.5
Samir Handanovic,Inter,0,0,0
Antonio Candreva,Salernitana,0.7,0.2,1
Ola Aina,Torino,1.4,1.2,2.6
Alessandro Tuia,Lecce,0.3,0.3,0.6
Perr Schuurs,Torino,0.1,0.3,0.5
Andrea Ranocchia,Monza,0,0,0
Bram Nuytinck,Sampdoria,0.1,0,0.1
Rasmus Højlund,Atalanta,1.5,0.9,2.3
Hans Hateboer,Atalanta,0.3,0.2,0.5
Gianluca Mancini,Roma,0.2,0.3,0.5
Darko Lazovic,Verona,1.2,0.6,1.8
Sandi Lovric,Udinese,0.6,0.4,1
Mathías Olivera,Napoli,0.7,0.3,1
Beto,Udinese,1.3,1,2.3
Johan Vásquez,Cremonese,0.1,0.4,0.6
Koray Günter,Verona,0.1,0.2,0.3
Walace,Udinese,0.5,0.3,0.8
Nehuén Pérez,Udinese,0.2,0.1,0.3
Simone Bastoni,Spezia,0.7,0.4,1.1
Leonardo Sernicola,Cremonese,1,0.8,1.8
Sebastiano Luperto,Empoli,0,0.1,0.1
Wladimiro Falcone,Lecce,0,0,0
Denis Zakaria,Juventus,0,0,0
Ricardo Rodríguez,Torino,0.2,0.2,0.4
Nemanja Matic,Roma,0.3,0.7,0.9
Mike Maignan,AC Milan,0,0,0
Aleksey Miranchuk,Torino,1.1,0.5,1.6
M'Bala Nzola,Spezia,1.6,1,2.6
Stefano Sensi,Monza,0.6,0.4,1
Eljif Elmas,Napoli,0.8,0.6,1.4
Emil Holm,Spezia,1.3,0.9,2.2
Nikola Moro,Bologna,0.3,0.7,1
Tyronne Ebuehi,Empoli,0.6,0.4,1
Wilfried Singo,Torino,0.8,1,1.7
Dany Mota,Monza,1.3,1.2,2.5
Dodô,Fiorentina,0.8,1,1.9
Giorgio Scalvini,Atalanta,0.4,0.4,0.8
Ethan Ampadu,Spezia,0.1,0.3,0.4
Nicola Ravaglia,Sampdoria,0,0,0
Lorenzo Montipò,Verona,0,0,0
Pedro,Lazio,1,0.9,1.9
Matteo Darmian,Inter,0.5,0.3,0.8
Panagiotis Retsos,Verona,0,0.5,0.5
Samuel Umtiti,Lecce,0.3,0.2,0.5
Giorgos Kyriakopoulos,Bologna,0.5,0.9,1.4
Federico Fazio,Salernitana,0.3,0.3,0.6
Jakub Kiwior,Spezia,0.1,0.3,0.4
Mehdi Léris,Sampdoria,1.3,0.9,2.2
Musa Barrow,Bologna,1.5,0.8,2.2
Valentin Gendrey,Lecce,0.6,0.4,0.9
Simone Verdi,Verona,1.2,1.5,2.6
Samuele Ricci,Torino,0.6,0.3,0.9
Marin Pongracic,Lecce,0,0.2,0.2
Nicolò Cambiaghi,Empoli,1.3,0.8,2
Pablo Marí,Monza,0.1,0.1,0.1
Arthur Cabral,Fiorentina,0.7,0.5,1.3
Janis Antiste,Sassuolo,0.5,0,0.5
Vlad Chiriches,Cremonese,0.1,0.2,0.3
Alexis Blin,Lecce,0.2,0.1,0.3
Danilo Cataldi,Lazio,0.4,0.2,0.6
David Okereke,Cremonese,1.3,1.2,2.5
Georginio Wijnaldum,Roma,0.7,0.8,1.5
Matteo Politano,Napoli,1.2,0.9,2
Jhon Lucumí,Bologna,0.1,0.1,0.2
Isak Hien,Verona,0.5,0.5,1
José Palomino,Atalanta,0.1,0.1,0.2
Ciprian Tatarusanu,AC Milan,0,0,0
Martin Erlic,Sassuolo,0,0,0.1
Krzysztof Piatek,Salernitana,0.4,0.3,0.7
Nicola Zalewski,Roma,1.3,0.9,2.2
Alessandro Zanoli,Sampdoria,0.8,1.2,2
Federico Chiesa,Juventus,1,1.1,2.1
Weston McKennie,Juventus,0.1,0.5,0.6
Alexis Saelemaekers,AC Milan,1.4,1,2.4
Pierre Kalulu,AC Milan,0.2,0.3,0.5
Andrea Cambiaso,Bologna,0.9,1,1.9
Juan Musso,Atalanta,0,0,0
Bartlomiej Dragowski,Spezia,0,0,0
Diego Llorente,Roma,0.1,0.1,0.2
Sasa Lukic,Torino,0.4,0.1,0.4
Jonathan Ikoné,Fiorentina,1.3,1.5,2.7
Jean-Daniel Akpa Akpro,Empoli,1,1.3,2.3
Vanja Milinkovic-Savic,Torino,0,0,0
Luca D'Andrea,Sassuolo,1.6,0.8,2.4
Frank Tsadjout,Cremonese,0.4,0.6,1
Remi Oudin,Lecce,0.4,0.3,0.7
Aleksa Terzic,Fiorentina,0.5,0.7,1.2
Matteo Ruggeri,Atalanta,0.3,0.3,0.6
Merih Demiral,Atalanta,0.3,0.1,0.3
Denso Kasius,Bologna,0.6,0.9,1.4
Ruslan Malinovskyi,Atalanta,0.8,0.6,1.4
Pawel Dawidowicz,Verona,0.3,0,0.3
Matheus Henrique,Sassuolo,0.6,1.1,1.8
Fodé Ballo-Touré,AC Milan,1,0.5,1.5
Lorenzo Pirola,Salernitana,0.1,0.2,0.3
Cyril Ngonge,Verona,1.6,0.9,2.5
Manolo Gabbiadini,Sampdoria,0.5,0.2,0.7
Mile Svilar,Roma,0,0,0
Manuel Lazzari,Lazio,0.9,0.6,1.5
Alessandro Florenzi,AC Milan,0.2,0,0.2
Samuele Perisan,Empoli,0,0,0
Marco Silvestri,Udinese,0,0,0
Luka Lochoshvili,Cremonese,0.1,0.2,0.4
Ondrej Duda,Verona,0.9,1.3,2.3
Cristian Volpato,Roma,0.7,0.9,1.6
Rogério,Sassuolo,0.5,0.6,1.1
Leonardo Spinazzola,Roma,1.3,1,2.3
Filippo Bandinelli,Empoli,0.8,0.4,1.2
Luca Ranieri,Fiorentina,0.1,0.1,0.2
Tommaso Baldanzi,Empoli,1.4,0.9,2.3
Alex Ferrari,Cremonese,0.3,0.3,0.5
Isaac Success,Udinese,1.1,1,2.1
Marco Sportiello,Atalanta,0,0,0
Andrea Colpani,Monza,0.8,0.7,1.5
Gaetano Castrovilli,Fiorentina,0.6,0.5,1.1
James Abankwah,Udinese,0,0.5,0.5
Santiago Ascacíbar,Cremonese,0.4,0.3,0.7
Jeroen Zoet,Spezia,0,0.2,0.2
Caleb Okoli,Atalanta,0.1,0,0.1
Matías Vecino,Lazio,0.1,0.1,0.2
Francesco Caputo,Empoli,0.5,0,0.6
Mouhamadou Sarr,Cremonese,0,0,0
Fabio Depaoli,Sampdoria,1.3,1,2.3
Charalampos Lykogiannis,Bologna,0.3,0.2,0.6
Flavius Daniliuc,Salernitana,0.1,0.1,0.2
Kevin Agudelo,Spezia,1.7,1.5,3.2
Nadir Zortea,Atalanta,1.2,1.1,2.3
Elseid Hysaj,Lazio,0.4,0.2,0.6
Antonino Gallo,Lecce,0.4,0.5,0.9
Luka Jovic,Fiorentina,0.2,0.5,0.7
Nicolò Fagioli,Juventus,0.4,0.3,0.7
Mehdi Bourabia,Spezia,1,0.8,1.7
Tommaso Augello,Sampdoria,0.8,0.9,1.7
Soualiho Meïté,Cremonese,1,0.9,1.9
Valentino Lazaro,Torino,0.8,0.7,1.6
Mario Pasalic,Atalanta,0.5,0.3,0.8
Andrea Petagna,Monza,0.5,0.6,1.2
Omar Colley,Sampdoria,0,0.1,0.1
Przemyslaw Wisniewski,Spezia,0.2,0.1,0.4
Pietro Terracciano,Fiorentina,0,0,0
Simon Kjær,AC Milan,0,0,0
Arkadiusz Reca,Spezia,1.4,0.6,2
Alberto Grassi,Empoli,0.2,0.2,0.3
Matteo Bianchetti,Cremonese,0,0.1,0.1
Maxime Lopez,Sassuolo,0.5,0.4,0.9
Duván Zapata,Atalanta,1,0.8,1.8
Joakim Mæhle,Atalanta,1,0.5,1.6
Emanuel Aiwu,Cremonese,0.3,0.1,0.4
