player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Giacomo Bonaventura,Fiorentina,0,0.1,0.5
Alex Meret,Napoli,0,0,0
Denzel Dumfries,Inter,0.3,0.2,0.7
Arkadiusz Milik,Juventus,0,0,0.3
Henrikh Mkhitaryan,Inter,0.1,0.1,0.7
Daniele Rugani,Juventus,0.6,0.1,0.2
Alessandro Bastoni,Inter,0.4,0.1,0.5
Adam Marusic,Lazio,0.2,0.3,0.4
Samir Handanovic,Inter,0,0,0
Antonio Candreva,Salernitana,0.1,0.3,0.1
Ola Aina,Torino,0.1,0.4,0.5
Alessandro Tuia,Lecce,0.1,0.1,0.3
Perr Schuurs,Torino,0.5,0.2,0.4
Andrea Ranocchia,Monza,5,0,0
Bram Nuytinck,Sampdoria,1.1,0.2,0.8
Rasmus Højlund,Atalanta,0,0,0.3
Hans Hateboer,Atalanta,0.2,0.2,1.1
Gianluca Mancini,Roma,0.5,0.1,0.6
Darko Lazovic,Verona,0.1,0,0.4
Sandi Lovric,Udinese,0.1,0.1,0.6
Mathías Olivera,Napoli,0.1,0.1,0.9
Beto,Udinese,0.1,0,0.5
Johan Vásquez,Cremonese,0.8,0.3,0.3
Koray Günter,Verona,1.2,0.1,0.7
Walace,Udinese,0.3,0.2,0.9
Nehuén Pérez,Udinese,0.7,0.4,0.9
Simone Bastoni,Spezia,0.3,0.1,0.8
Leonardo Sernicola,Cremonese,0.2,0.2,0.5
Sebastiano Luperto,Empoli,1.2,0.2,0.3
Wladimiro Falcone,Lecce,0,0,0
Denis Zakaria,Juventus,0,0,1
Ricardo Rodríguez,Torino,0.4,0.2,0.4
Nemanja Matic,Roma,0.2,0.1,0.6
Mike Maignan,AC Milan,0,0,0
Aleksey Miranchuk,Torino,0,0,0.4
M'Bala Nzola,Spezia,0.2,0,0.5
Stefano Sensi,Monza,0.1,0,0.4
Eljif Elmas,Napoli,0.1,0.1,0.4
Emil Holm,Spezia,0.3,0.4,0.8
Nikola Moro,Bologna,0.1,0,0.5
Tyronne Ebuehi,Empoli,0.5,0.5,0.4
Wilfried Singo,Torino,0.1,0.2,0.4
Dany Mota,Monza,0,0,0.1
Dodô,Fiorentina,0.1,0.3,0.7
Giorgio Scalvini,Atalanta,0.4,0.1,0.7
Ethan Ampadu,Spezia,0.7,0.2,0.8
Nicola Ravaglia,Sampdoria,0,0,0
Lorenzo Montipò,Verona,0,0,0
Pedro,Lazio,0.1,0,0.4
Matteo Darmian,Inter,0.2,0.1,0.9
Panagiotis Retsos,Verona,0.5,0,1.5
Samuel Umtiti,Lecce,0.6,0.1,0.5
Giorgos Kyriakopoulos,Bologna,0.2,0.3,1
Federico Fazio,Salernitana,0.3,0.1,0.4
Jakub Kiwior,Spezia,1.1,0.2,0.5
Mehdi Léris,Sampdoria,0.2,0.2,1
Musa Barrow,Bologna,0,0.1,0.8
Valentin Gendrey,Lecce,0.1,0.3,1.1
Simone Verdi,Verona,0,0,0.3
Samuele Ricci,Torino,0.2,0.1,0.5
Marin Pongracic,Lecce,0.3,0.1,0.1
Nicolò Cambiaghi,Empoli,0,0.1,0.6
Pablo Marí,Monza,0.5,0.1,0.3
Arthur Cabral,Fiorentina,0,0,0.3
Janis Antiste,Sassuolo,0,0,0
Vlad Chiriches,Cremonese,1.4,0,0.8
Alexis Blin,Lecce,0.4,0.2,1.1
Danilo Cataldi,Lazio,0.3,0.1,0.5
David Okereke,Cremonese,0.1,0,0.6
Georginio Wijnaldum,Roma,0.1,0,0.4
Matteo Politano,Napoli,0,0,0.2
Jhon Lucumí,Bologna,0.8,0.2,0.5
Isak Hien,Verona,0.5,0.1,0.7
José Palomino,Atalanta,0.3,0.2,0.5
Ciprian Tatarusanu,AC Milan,0,0,0
Martin Erlic,Sassuolo,0.8,0.2,0.5
Krzysztof Piatek,Salernitana,0.1,0,0.4
Nicola Zalewski,Roma,0,0.1,0.8
Alessandro Zanoli,Sampdoria,0.7,0.1,0.2
Federico Chiesa,Juventus,0,0,0.6
Weston McKennie,Juventus,0.3,0.1,0.7
Alexis Saelemaekers,AC Milan,0,0.2,0.4
Pierre Kalulu,AC Milan,0.5,0.2,0.7
Andrea Cambiaso,Bologna,0.1,0.3,0.8
Juan Musso,Atalanta,0,0,0
Bartlomiej Dragowski,Spezia,0,0,0
Diego Llorente,Roma,0.2,0.1,0.2
Sasa Lukic,Torino,0.4,0,0.6
Jonathan Ikoné,Fiorentina,0,0.1,0.5
Jean-Daniel Akpa Akpro,Empoli,0.2,0.3,1.3
Vanja Milinkovic-Savic,Torino,0,0,0
Luca D'Andrea,Sassuolo,0,0.2,0.4
Frank Tsadjout,Cremonese,0.1,0,0.3
