player_name,team_name,UnsuccessfulTouches,Dispossessed
Darko Lazovic,Verona,1.3,0.5
Sandi Lovric,Udinese,1.4,0.6
Mathías Olivera,Napoli,0.7,0.8
Beto,Udinese,3.5,1.3
Johan Vásquez,Cremonese,0.6,0.2
Koray Günter,Verona,0.2,0.1
Walace,Udinese,1.1,0.8
Nehuén Pérez,Udinese,0.4,0.3
Simone Bastoni,Spezia,1.1,0.7
Leonardo Sernicola,Cremonese,0.9,0.7
Sebastiano Luperto,Empoli,0.2,0.1
Wladimiro Falcone,Lecce,0,0
Denis Zakaria,Juventus,0.5,0.5
Ricardo Rodríguez,Torino,0.4,0.3
Nemanja Matic,Roma,0.6,0.5
Mike Maignan,AC Milan,0,0
Aleksey Miranchuk,Torino,1.6,0.9
M'Bala Nzola,Spezia,4,2.2
Stefano Sensi,Monza,1.1,0.5
Eljif Elmas,Napoli,0.9,0.6
Emil Holm,Spezia,2.4,1.1
Nikola Moro,Bologna,0.5,0.3
Tyronne Ebuehi,Empoli,0.6,0.5
Wilfried Singo,Torino,1.1,0.5
Dany Mota,Monza,2.6,1.2
Dodô,Fiorentina,1.1,0.5
Giorgio Scalvini,Atalanta,0.6,0.3
Ethan Ampadu,Spezia,0.6,0.2
Nicola Ravaglia,Sampdoria,0,0
Lorenzo Montipò,Verona,0.2,0
Pedro,Lazio,1.3,0.8
Matteo Darmian,Inter,0.5,0.3
Panagiotis Retsos,Verona,0,0.5
Samuel Umtiti,Lecce,0.3,0.2
Giorgos Kyriakopoulos,Bologna,1.1,0.7
Federico Fazio,Salernitana,0.8,0.4
Jakub Kiwior,Spezia,0.5,0.3
Mehdi Léris,Sampdoria,2.5,1.5
Musa Barrow,Bologna,1.6,1
Valentin Gendrey,Lecce,1.3,0.3
Simone Verdi,Verona,1.5,1.3
Samuele Ricci,Torino,0.8,0.6
Marin Pongracic,Lecce,0.6,0
Nicolò Cambiaghi,Empoli,1.6,0.8
Pablo Marí,Monza,0.3,0.2
Arthur Cabral,Fiorentina,2.1,0.9
Janis Antiste,Sassuolo,0.5,0
