player_name,team_name,Total_Interception
Pedro,Lazio,0.2
Matteo Darmian,Inter,0.7
Panagiotis Retsos,Verona,1
Samuel Umtiti,Lecce,1
Giorgos Kyriakopoulos,Bologna,0.3
Federico Fazio,Salernitana,2
Jakub Kiwior,Spezia,1.4
Mehdi Léris,Sampdoria,0.8
Musa Barrow,Bologna,0
Valentin Gendrey,Lecce,1
Simone Verdi,Verona,0
Samuele Ricci,Torino,0.6
Marin Pongracic,Lecce,1.8
Nicolò Cambiaghi,Empoli,0.3
Pablo Marí,Monza,1
Arthur Cabral,Fiorentina,0
Janis Antiste,Sassuolo,0
Vlad Chiriches,Cremonese,1.4
Alexis Blin,Lecce,1
Danilo Cataldi,Lazio,0.8
David Okereke,Cremonese,0.3
Georginio Wijnaldum,Roma,0.1
Matteo Politano,Napoli,0.3
Jhon Lucumí,Bologna,1.1
Isak Hien,Verona,1
José Palomino,Atalanta,1.9
Ciprian Tatarusanu,AC Milan,0.1
Martin Erlic,Sassuolo,1.1
Krzysztof Piatek,Salernitana,0.1
Nicola Zalewski,Roma,0.9
Alessandro Zanoli,Sampdoria,0.5
Federico Chiesa,Juventus,0
Weston McKennie,Juventus,0.7
Alexis Saelemaekers,AC Milan,0.6
Pierre Kalulu,AC Milan,1.2
Andrea Cambiaso,Bologna,0.8
Juan Musso,Atalanta,0
Bartlomiej Dragowski,Spezia,0
Diego Llorente,Roma,1.2
Sasa Lukic,Torino,0.8
Jonathan Ikoné,Fiorentina,0.1
Jean-Daniel Akpa Akpro,Empoli,0.5
Vanja Milinkovic-Savic,Torino,0
Luca D'Andrea,Sassuolo,0.2
Frank Tsadjout,Cremonese,0.4
Remi Oudin,Lecce,0.9
Aleksa Terzic,Fiorentina,0.2
Matteo Ruggeri,Atalanta,0.8
Merih Demiral,Atalanta,0.9
Denso Kasius,Bologna,0.4
Ruslan Malinovskyi,Atalanta,0.3
Pawel Dawidowicz,Verona,1
Matheus Henrique,Sassuolo,0.4
Fodé Ballo-Touré,AC Milan,0.2
Lorenzo Pirola,Salernitana,1.2
Cyril Ngonge,Verona,0.4
Manolo Gabbiadini,Sampdoria,0.2
Mile Svilar,Roma,0
Manuel Lazzari,Lazio,0.6
Alessandro Florenzi,AC Milan,0.7
Samuele Perisan,Empoli,0
Marco Silvestri,Udinese,0
Luka Lochoshvili,Cremonese,0.9
Ondrej Duda,Verona,0.9
Cristian Volpato,Roma,0.3
Rogério,Sassuolo,1
Leonardo Spinazzola,Roma,0.3
Filippo Bandinelli,Empoli,0.5
Luca Ranieri,Fiorentina,1.2
Tommaso Baldanzi,Empoli,0.1
Alex Ferrari,Cremonese,1.6
Isaac Success,Udinese,0.1
Marco Sportiello,Atalanta,0
Andrea Colpani,Monza,0.1
Gaetano Castrovilli,Fiorentina,0.5
James Abankwah,Udinese,0
Santiago Ascacíbar,Cremonese,1
Jeroen Zoet,Spezia,0
Caleb Okoli,Atalanta,1.8
Matías Vecino,Lazio,0.5
Francesco Caputo,Empoli,0.1
Mouhamadou Sarr,Cremonese,0
Fabio Depaoli,Sampdoria,0.3
Charalampos Lykogiannis,Bologna,0.7
Flavius Daniliuc,Salernitana,1.1
Kevin Agudelo,Spezia,0.3
Nadir Zortea,Atalanta,0
Elseid Hysaj,Lazio,0.6
Antonino Gallo,Lecce,0.4
Luka Jovic,Fiorentina,0.1
Nicolò Fagioli,Juventus,0.3
Mehdi Bourabia,Spezia,0.9
Tommaso Augello,Sampdoria,0.5
Soualiho Meïté,Cremonese,0.9
Valentino Lazaro,Torino,0.1
Mario Pasalic,Atalanta,0.7
Andrea Petagna,Monza,0.1
Omar Colley,Sampdoria,1.4
Przemyslaw Wisniewski,Spezia,0.8
Pietro Terracciano,Fiorentina,0
Simon Kjær,AC Milan,0.5
Arkadiusz Reca,Spezia,0.8
Alberto Grassi,Empoli,1.1
Matteo Bianchetti,Cremonese,0.8
Maxime Lopez,Sassuolo,0.7
Duván Zapata,Atalanta,0.2
Joakim Mæhle,Atalanta,0.7
Emanuel Aiwu,Cremonese,1.1
Bartosz Bereszynski,Napoli,1
Matías Soulé,Juventus,0.2
Nicola Sansone,Bologna,0
Luis Muriel,Atalanta,0.1
Giangiacomo Magnani,Verona,0.9
Koffi Djidji,Torino,1
Nadir Zortea,Sassuolo,0.4
Gianluca Caprari,Monza,0.2
Leonardo Bonucci,Juventus,0.8
Josh Doig,Verona,0.5
Sam Lammers,Empoli,0.2
Nemanja Radonjic,Torino,0.1
Sebastian Walukiewicz,Empoli,0.6
Adama Soumaoro,Bologna,0.7
Bruno Amione,Sampdoria,1
Josip Brekalo,Fiorentina,0.2
Grigoris Kastanos,Salernitana,0.3
Adam Masina,Udinese,0.7
Roberto Soriano,Bologna,0.2
Zeki Çelik,Roma,0.6
Federico Ceccherini,Verona,0.9
Pablo Galdames,Cremonese,0.8
Mërgim Vojvoda,Torino,0.3
Luca Caldirola,Monza,0.8
Marco Benassi,Fiorentina,0.5
Enzo Barrenechea,Juventus,0.7
Riccardo Saponara,Fiorentina,0.2
Marco Benassi,Cremonese,0.8
Emanuele Valeri,Cremonese,0.6
Igor Julio,Fiorentina,0.9
Oliver Abildgaard,Verona,0.4
Kingsley Ehizibue,Udinese,0.4
Tonny Vilhena,Salernitana,0.5
Ante Rebic,AC Milan,0
Bram Nuytinck,Udinese,0.8
Danilo D'Ambrosio,Inter,0.7
Sofyan Amrabat,Fiorentina,0.7
Harry Winks,Sampdoria,1.2
Kevin Bonifazi,Bologna,0.9
Rui Patrício,Roma,0.1
Alex Cordaz,Inter,0
