player_name,team_name,Total_Key passes,Long,Short
Giacomo Bonaventura,Fiorentina,1.1,0.1,1.1
Alex Meret,Napoli,0,0,0
Denzel Dumfries,Inter,0.9,0.1,0.9
Arkadiusz Milik,Juventus,0.6,0,0.6
Henrikh Mkhitaryan,Inter,0.6,0,0.6
Daniele Rugani,Juventus,0,0,0
Alessandro Bastoni,Inter,0.5,0.1,0.4
Adam Marusic,Lazio,0.3,0,0.2
Samir Handanovic,Inter,0.1,0.1,0
Antonio Candreva,Salernitana,1.6,0.5,1.1
Ola Aina,Torino,0.6,0.1,0.5
Alessandro Tuia,Lecce,0.1,0,0.1
Perr Schuurs,Torino,0.2,0,0.2
Andrea Ranocchia,Monza,0,0,0
Bram Nuytinck,Sampdoria,0.2,0,0.2
Rasmus Højlund,Atalanta,0.8,0,0.7
Hans Hateboer,Atalanta,0.8,0.3,0.5
Gianluca Mancini,Roma,0.5,0.1,0.3
Darko Lazovic,Verona,1.5,0.4,1.1
Sandi Lovric,Udinese,1.3,0.2,1
Mathías Olivera,Napoli,0.8,0,0.8
Beto,Udinese,0.7,0,0.7
Johan Vásquez,Cremonese,0.2,0,0.2
Koray Günter,Verona,0.6,0.2,0.5
Walace,Udinese,0.5,0.1,0.4
Nehuén Pérez,Udinese,0.3,0.1,0.2
Simone Bastoni,Spezia,0.9,0.2,0.7
Leonardo Sernicola,Cremonese,0.8,0.2,0.6
Sebastiano Luperto,Empoli,0.1,0.1,0
Wladimiro Falcone,Lecce,0.1,0.1,0
Denis Zakaria,Juventus,0,0,0
Ricardo Rodríguez,Torino,0.8,0.3,0.6
Nemanja Matic,Roma,0.7,0.1,0.6
Mike Maignan,AC Milan,0,0,0
Aleksey Miranchuk,Torino,1.5,0.2,1.3
M'Bala Nzola,Spezia,0.9,0,0.9
Stefano Sensi,Monza,0.9,0.4,0.5
Eljif Elmas,Napoli,0.8,0.1,0.7
Emil Holm,Spezia,0.7,0.1,0.6
Nikola Moro,Bologna,0.7,0.1,0.6
Tyronne Ebuehi,Empoli,0.5,0,0.4
Wilfried Singo,Torino,0.7,0.1,0.7
Dany Mota,Monza,0.9,0,0.9
Dodô,Fiorentina,0.8,0.1,0.8
Giorgio Scalvini,Atalanta,0.3,0,0.3
Ethan Ampadu,Spezia,0.4,0.1,0.4
Nicola Ravaglia,Sampdoria,0,0,0
Lorenzo Montipò,Verona,0,0,0
Pedro,Lazio,0.6,0,0.6
Matteo Darmian,Inter,0.6,0.2,0.5
Panagiotis Retsos,Verona,0.5,0.5,0
Samuel Umtiti,Lecce,0.1,0,0.1
Giorgos Kyriakopoulos,Bologna,0.8,0.3,0.5
Federico Fazio,Salernitana,0.2,0,0.2
Jakub Kiwior,Spezia,0.2,0,0.2
Mehdi Léris,Sampdoria,0.6,0,0.6
Musa Barrow,Bologna,1.3,0.3,1
Valentin Gendrey,Lecce,0.7,0.2,0.5
Simone Verdi,Verona,0.8,0.3,0.6
Samuele Ricci,Torino,0.6,0.1,0.5
Marin Pongracic,Lecce,0.2,0.1,0.1
Nicolò Cambiaghi,Empoli,0.5,0,0.5
Pablo Marí,Monza,0.1,0.1,0
Arthur Cabral,Fiorentina,0.5,0,0.5
Janis Antiste,Sassuolo,0,0,0
Vlad Chiriches,Cremonese,0.1,0.1,0
Alexis Blin,Lecce,0.4,0.1,0.4
Danilo Cataldi,Lazio,0.6,0.2,0.4
David Okereke,Cremonese,0.6,0,0.6
Georginio Wijnaldum,Roma,0.6,0,0.6
Matteo Politano,Napoli,1.3,0.3,1
Jhon Lucumí,Bologna,0.3,0,0.2
Isak Hien,Verona,0.1,0,0.1
José Palomino,Atalanta,0.1,0.1,0.1
Ciprian Tatarusanu,AC Milan,0.1,0.1,0
Martin Erlic,Sassuolo,0.1,0,0.1
Krzysztof Piatek,Salernitana,0.7,0,0.6
Nicola Zalewski,Roma,0.4,0.1,0.2
Alessandro Zanoli,Sampdoria,0.6,0,0.6
Federico Chiesa,Juventus,1,0.1,0.8
Weston McKennie,Juventus,0.5,0.1,0.4
Alexis Saelemaekers,AC Milan,0.7,0.1,0.6
Pierre Kalulu,AC Milan,0.3,0,0.3
Andrea Cambiaso,Bologna,0.9,0.2,0.7
Juan Musso,Atalanta,0,0,0
Bartlomiej Dragowski,Spezia,0,0,0
Diego Llorente,Roma,0.1,0,0.1
Sasa Lukic,Torino,1,0.1,0.9
Jonathan Ikoné,Fiorentina,0.9,0.1,0.8
Jean-Daniel Akpa Akpro,Empoli,0.3,0,0.2
Vanja Milinkovic-Savic,Torino,0,0,0
Luca D'Andrea,Sassuolo,2,0,2
Frank Tsadjout,Cremonese,0.5,0,0.5
Remi Oudin,Lecce,1,0.7,0.3
Aleksa Terzic,Fiorentina,1.1,0.3,0.8
Matteo Ruggeri,Atalanta,0.7,0.1,0.5
Merih Demiral,Atalanta,0.1,0,0.1
Denso Kasius,Bologna,0.9,0.3,0.6
Ruslan Malinovskyi,Atalanta,0.9,0.2,0.7
Pawel Dawidowicz,Verona,0.2,0.1,0.1
Matheus Henrique,Sassuolo,0.9,0.1,0.8
Fodé Ballo-Touré,AC Milan,0.4,0.1,0.3
Lorenzo Pirola,Salernitana,0.1,0,0.1
Cyril Ngonge,Verona,0.8,0,0.8
Manolo Gabbiadini,Sampdoria,0.8,0.1,0.7
Mile Svilar,Roma,0,0,0
Manuel Lazzari,Lazio,0.3,0,0.3
Alessandro Florenzi,AC Milan,1,0.3,0.7
Samuele Perisan,Empoli,0,0,0
Marco Silvestri,Udinese,0,0,0
Luka Lochoshvili,Cremonese,0.2,0,0.2
Ondrej Duda,Verona,0.3,0,0.3
Cristian Volpato,Roma,0.6,0.3,0.3
Rogério,Sassuolo,0.8,0.2,0.6
Leonardo Spinazzola,Roma,0.8,0.1,0.7
Filippo Bandinelli,Empoli,0.9,0.1,0.8
Luca Ranieri,Fiorentina,0.2,0,0.2
Tommaso Baldanzi,Empoli,0.9,0,0.9
Alex Ferrari,Cremonese,0.2,0.1,0.1
Isaac Success,Udinese,1,0,1
Marco Sportiello,Atalanta,0,0,0
Andrea Colpani,Monza,0.6,0.1,0.5
Gaetano Castrovilli,Fiorentina,0.5,0.1,0.4
James Abankwah,Udinese,0,0,0
Santiago Ascacíbar,Cremonese,0.6,0,0.6
Jeroen Zoet,Spezia,0,0,0
Caleb Okoli,Atalanta,0,0,0
Matías Vecino,Lazio,0.3,0,0.3
Francesco Caputo,Empoli,1,0,1
Mouhamadou Sarr,Cremonese,0,0,0
Fabio Depaoli,Sampdoria,1.3,0.7,0.7
Charalampos Lykogiannis,Bologna,0.9,0.4,0.5
Flavius Daniliuc,Salernitana,0.3,0,0.2
Kevin Agudelo,Spezia,0.8,0.1,0.8
Nadir Zortea,Atalanta,0.3,0.2,0.1
Elseid Hysaj,Lazio,0.4,0,0.4
Antonino Gallo,Lecce,1.2,0.1,1.1
