player_name,team_name,CaughtOffside
Jakub Kiwior,Spezia,0
Mehdi Léris,Sampdoria,0.3
Musa Barrow,Bologna,0.2
Valentin Gendrey,Lecce,0
Simone Verdi,Verona,0
Samuele Ricci,Torino,0
Marin Pongracic,Lecce,0
Nicolò Cambiaghi,Empoli,0
Pablo Marí,Monza,0
Arthur Cabral,Fiorentina,0.1
Janis Antiste,Sassuolo,0
Vlad Chiriches,Cremonese,0
Alexis Blin,Lecce,0
Danilo Cataldi,Lazio,0
David Okereke,Cremonese,0.3
Georginio Wijnaldum,Roma,0.1
Matteo Politano,Napoli,0
Jhon Lucumí,Bologna,0
Isak Hien,Verona,0
José Palomino,Atalanta,0
Ciprian Tatarusanu,AC Milan,0
Martin Erlic,Sassuolo,0
Krzysztof Piatek,Salernitana,0.7
Nicola Zalewski,Roma,0
Alessandro Zanoli,Sampdoria,0
Federico Chiesa,Juventus,0.1
Weston McKennie,Juventus,0.2
Alexis Saelemaekers,AC Milan,0.1
Pierre Kalulu,AC Milan,0.1
Andrea Cambiaso,Bologna,0.2
Juan Musso,Atalanta,0
Bartlomiej Dragowski,Spezia,0
Diego Llorente,Roma,0
Sasa Lukic,Torino,0
Jonathan Ikoné,Fiorentina,0.2
Jean-Daniel Akpa Akpro,Empoli,0
Vanja Milinkovic-Savic,Torino,0
Luca D'Andrea,Sassuolo,0.2
Frank Tsadjout,Cremonese,0.2
Remi Oudin,Lecce,0.1
Aleksa Terzic,Fiorentina,0.1
Matteo Ruggeri,Atalanta,0
Merih Demiral,Atalanta,0
Denso Kasius,Bologna,0
Ruslan Malinovskyi,Atalanta,0
Pawel Dawidowicz,Verona,0
Matheus Henrique,Sassuolo,0
Fodé Ballo-Touré,AC Milan,0
Lorenzo Pirola,Salernitana,0
Cyril Ngonge,Verona,0.4
Manolo Gabbiadini,Sampdoria,0.4
Mile Svilar,Roma,0
Manuel Lazzari,Lazio,0
Alessandro Florenzi,AC Milan,0
Samuele Perisan,Empoli,0
Marco Silvestri,Udinese,0
Luka Lochoshvili,Cremonese,0
Ondrej Duda,Verona,0
Cristian Volpato,Roma,0
Rogério,Sassuolo,0
Leonardo Spinazzola,Roma,0
Filippo Bandinelli,Empoli,0
Luca Ranieri,Fiorentina,0.2
Tommaso Baldanzi,Empoli,0
Alex Ferrari,Cremonese,0
Isaac Success,Udinese,0.4
Marco Sportiello,Atalanta,0
Andrea Colpani,Monza,0
Gaetano Castrovilli,Fiorentina,0.1
James Abankwah,Udinese,0
Santiago Ascacíbar,Cremonese,0
Jeroen Zoet,Spezia,0
Caleb Okoli,Atalanta,0
Matías Vecino,Lazio,0.1
Francesco Caputo,Empoli,1.1
Mouhamadou Sarr,Cremonese,0
Fabio Depaoli,Sampdoria,0
Charalampos Lykogiannis,Bologna,0
Flavius Daniliuc,Salernitana,0
Kevin Agudelo,Spezia,0.1
Nadir Zortea,Atalanta,0
Elseid Hysaj,Lazio,0.1
Antonino Gallo,Lecce,0.1
Luka Jovic,Fiorentina,0.4
Nicolò Fagioli,Juventus,0
Mehdi Bourabia,Spezia,0
Tommaso Augello,Sampdoria,0
Soualiho Meïté,Cremonese,0
Valentino Lazaro,Torino,0
Mario Pasalic,Atalanta,0.1
Andrea Petagna,Monza,0.3
Omar Colley,Sampdoria,0.1
Przemyslaw Wisniewski,Spezia,0
Pietro Terracciano,Fiorentina,0
Simon Kjær,AC Milan,0
