,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
231,231,Mërgim Vojvoda,,29," D(CR),M(LR)",18(11),1717,0,5,3,0,0.8,78.8,0.3,0,6.48,0.8,0.3,0.7,0,0.8,0.4,0.1,0,0.8,0.4,0.2,0.1,0.6,0.7,32.5,0.3,1.6,0.1,1.74,-1.74,0.09,23,0.08
232,232,Luca Caldirola,,33, D(CL),27(4),2360,2,0,5,0,0.3,88.3,1.1,0,6.48,0.8,0.8,1,0.3,2.1,0.4,0.6,0,0.1,0,0.8,0,0,0.2,45.9,0,2.1,0,1.34,0.66,0.05,10,0.13
233,233,Riccardo Saponara,,32, AM(CLR),14(15),1207,4,3,4,0,1.3,75.7,0.3,2,6.47,0.3,0.2,0.5,0,0.3,0.1,0,0,0.7,0.6,0.8,0.2,0.7,1,14.4,0.3,0.3,0,3.54,0.46,0.26,37,0.1
234,234,Emanuele Valeri,,25," D(L),M(L)",31(6),2791,2,3,3,0,1.1,66.0,0.4,0,6.47,1.4,0.6,0.7,0.1,0.9,1.1,0.1,0,1.5,0.5,1,0.1,0.7,1.7,22.4,1.1,1.2,0,2.26,-0.26,0.07,40,0.06
235,235,Igor Julio,,26," D(CL),M(L)",23(4),2060,0,0,8,1,0.3,88.0,1.4,0,6.47,1.6,0.9,1.1,0.7,2,0.3,0.5,0,0.1,0.3,0.5,0,0.4,0.3,48.6,0,3.4,0,0.57,-0.57,0.03,7,0.08
236,236,Kingsley Ehizibue,,28," D(R),M(R)",16(11),1534,2,0,7,0,0.5,75.5,0.6,1,6.47,1.7,0.4,1.2,0.1,1.3,0.6,0.1,0,0.3,0.5,0.7,0,0.4,0.7,17,0.3,0.6,0,1.97,0.03,0.12,13,0.15
237,237,Tonny Vilhena,,29," D(L),M(CL)",27(6),2275,4,1,5,0,0.9,79.7,0.3,0,6.46,1.3,0.5,1,0,0.6,0.9,0.2,0,0.6,0.5,1,0,0.7,1.1,24.2,0.5,1,0,2.31,1.69,0.09,31,0.07
238,238,Ante Rebic,,30," AM(CLR),FW",10(13),977,3,2,4,0,1.2,62.2,0.5,1,6.46,0.4,0,0.8,0,0.2,0.3,0,0,0.6,0.7,0.7,0.3,0.7,1.1,12.5,0.2,0.3,0.1,3.17,-0.17,0.29,27,0.12
239,239,Sofyan Amrabat,,27," D(L),DMC",24(5),2007,0,1,11,0,0.4,89.8,0.4,0,6.46,1.3,0.7,1.9,0,0.6,0.4,0.2,0,0.4,0.4,1,0,0.6,0.7,50.1,0.3,4.6,0,0.54,-0.54,0.02,13,0.04
240,240,Harry Winks,,28, DMC,19(1),1719,0,0,2,0,0.7,85.4,0.3,0,6.46,1.4,1.2,0.8,0,1,1.5,0.4,0,0.8,0.9,0.7,0.1,0.8,1.3,45.7,0.6,2.8,0.1,0.49,-0.49,0.03,14,0.03
241,241,Rui Patrício,,36, GK,35,3150,0,0,1,0,0.0,72.9,0.1,0,6.45,0,0.1,0,0,0.3,0,0,0,0,0,0,0,0,0.1,21.8,0,4.9,0,,,,,
242,242,Michele Castagnetti,,34, DMC,14(13),1415,0,1,2,0,0.4,80.6,0.3,0,6.45,1.7,0.6,0.6,0,0.8,1.3,0.1,0,1,0.3,0.4,0,0.1,0.6,28,0.4,1.4,0.1,0.59,-0.59,0.04,12,0.05
243,243,Kelvin Amian,,26," D(CLR),M(R)",26(4),2374,0,1,5,1,0.9,75.3,1.1,0,6.44,1.8,0.7,1.2,0.3,2.5,0.2,0.4,0,0.6,0.5,0.2,0,0.6,0.8,28.2,0.4,1.2,0,2.63,-2.62,0.1,26,0.1
244,244,Joshua Zirkzee,,22, FW,5(14),809,2,2,2,0,1.5,77.9,0.6,0,6.44,0.2,0.2,0.4,0,0.2,0.3,0.1,0,0.8,0.8,0.5,0.1,1.3,1.9,13.3,0,0.1,0.1,3.66,-1.66,0.41,29,0.13
245,245,Milan Skriniar,,29, D(C),20(1),1770,0,0,3,1,0.4,91.7,0.8,0,6.44,1.4,0.6,1.7,0.3,2.2,0.7,0.6,1,0.3,0.1,0.7,0,0.1,0.7,65.1,0,3,0,0.88,-0.88,0.04,9,0.1
246,246,Filip Djuricic,,32," AM(CLR),FW",27(5),2186,3,0,9,0,0.8,79.9,0.5,0,6.44,1.3,0.2,1.2,0,0.2,0.6,0.2,0,1.1,1,1.5,0,1.5,1.8,22.1,0.5,0.8,0,2.91,0.09,0.12,26,0.11
247,247,Robin Gosens,,29," D(L),M(CL)",11(21),1168,3,0,2,0,0.8,80.7,0.6,0,6.44,1.1,0.7,0.5,0,0.4,0.3,0.1,0,0.5,0.2,0.1,0.1,0.1,0.5,16.5,0.3,0.5,0,2.36,0.64,0.18,26,0.09
248,248,Giacomo Raspadori,,24," AM(CL),FW",10(15),903,2,2,1,0,1.6,80.9,0.1,0,6.44,0.4,0.2,0.3,0,0.1,0.2,0,0,0.7,0.3,0.5,0,0.6,1.2,16.8,0.3,0.8,0,3.6,-1.6,0.36,41,0.09
249,249,Sam Lammers,,27," AM(C),FW",13(6),1103,1,1,1,0,1.2,68.3,1.6,0,6.43,0.6,0.3,1,0.1,0.6,0.5,0.2,0,0.7,0.7,1.2,0.1,0.9,2.8,13.1,0.1,0.2,0.1,2.54,-1.54,0.21,23,0.11
250,250,Assan Ceesay,,30, FW,20(14),1818,6,0,2,0,1.2,58.9,1.9,1,6.43,0.7,0.1,1.1,0,0.6,0.2,0.1,0,0.2,0.6,0.8,0.6,0.7,1.9,10.9,0.1,0.1,0,5.24,0.77,0.26,42,0.12
251,251,Davide Faraoni,,32," D(R),M(R)",19(4),1493,2,3,7,0,0.9,67.0,0.6,0,6.42,1.5,0.7,0.9,0,1.5,1.1,0.5,0,0.5,0.3,0.5,0.2,0.2,0.5,18.3,0.4,1.5,0,2.73,-0.73,0.16,20,0.14
252,252,Karol Linetty,,29, M(CLR),22(10),1888,1,0,8,0,0.5,87.3,0.8,1,6.42,1,0.6,1.6,0,0.7,0.4,0.3,0,0.6,0.3,0.7,0.1,0.3,0.8,29.4,0.3,1.1,0,1.22,-0.22,0.06,16,0.08
253,253,Petar Stojanovic,,28," D(R),M(R)",16(11),1528,0,1,3,0,0.4,80.9,0.1,0,6.42,1.6,0.4,0.4,0.3,1.8,0.6,0.2,0,0.7,0.5,0.6,0,0.5,0.4,30.3,0.3,2.4,0,0.29,-0.29,0.02,10,0.03
254,254,Tommaso Pobega,,24, M(C),9(10),877,2,0,4,0,1.1,77.2,0.7,0,6.42,1.4,0.5,1.6,0,0.6,0.4,0.2,0,0.3,0.1,0.3,0,0.3,0.5,20.7,0.1,1.3,0,1.43,0.57,0.15,20,0.07
255,255,Yann Karamoh,,25," AM(CLR),FW",7(14),710,4,0,2,0,1.0,79.4,0.3,1,6.42,0.2,0,0.5,0,0,0.2,0,0,0.5,1.2,0.6,0.6,0.6,1.6,9.5,0.2,0.2,0,3.2,0.8,0.41,20,0.16
256,256,Leandro Paredes,,29, DMC,8(17),969,1,0,7,1,0.6,91.4,0.2,1,6.41,0.8,0.7,0.8,0,0.8,0.5,0,0,0.8,0.2,0.4,0,0.2,0.2,28.9,0.7,2,0.1,0.7,0.3,0.06,16,0.04
257,257,Adrien Tameze,,30," D(C),M(C)",35(2),3038,0,0,3,0,0.3,78.1,0.7,0,6.41,1.4,1,0.9,0,1.4,0.9,0.4,0,0.6,0.7,0.8,0,0.9,1.1,28.6,0.1,1.4,0,1.16,-1.16,0.03,12,0.1
258,258,Dylan Bronn,,28, D(C),19(5),1684,0,0,5,1,0.3,85.9,1.4,0,6.41,1.4,0.8,1.2,0.4,2.3,0.4,0.8,0,0.2,0.3,0.4,0,0.1,0.3,40.5,0,2.6,0,0.81,-0.81,0.04,8,0.1
259,259,Alfred Duncan,,31, DMC,13(12),1107,1,0,3,0,0.4,80.8,0.4,0,6.4,0.7,0.3,1,0,0.2,0.4,0,0,0.6,0.5,0.5,0,0.6,0.7,20.2,0.4,1.1,0,0.44,0.56,0.04,9,0.05
260,260,Mattia Caldara,,29, D(C),13(7),1251,0,0,6,0,0.6,77.0,1.8,0,6.4,1.2,0.9,0.8,0.6,4.3,0.6,0.8,1,0.1,0.1,0.5,0.1,0.2,0.5,29.4,0,1.5,0,0.83,-0.83,0.06,11,0.08
261,261,Gary Medel,,36," D(C),DMC",17(12),1477,0,1,5,0,0.1,89.8,0.5,0,6.39,0.9,1,0.7,0,1.1,0.3,0.3,0,0.2,0.1,0.6,0,0.1,0.2,37.8,0,2.3,0,0.07,-0.07,0,2,0.04
262,262,Tomás Rincón,,36, M(CR),30(4),2566,0,2,7,1,0.3,83.0,1.0,0,6.39,1.6,0.9,1.7,0,0.5,0.9,0.2,0,0.6,0.8,0.8,0,0.9,0.8,35.8,0.2,2.5,0,0.72,-0.72,0.03,11,0.07
263,263,Miguel Veloso,,37, M(C),14(8),1169,0,0,6,0,0.7,76.2,0.6,0,6.39,1.5,0.3,0.9,0,0.5,0.5,0.3,1,0.9,0.2,0.4,0,0.3,0.3,24,1,1.9,0,0.79,-0.79,0.06,16,0.05
