player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Stephan El Shaarawy,Roma,24.4,1,0.6,18.7,4.2
Michele Di Gregorio,Monza,34.5,6.7,9.3,18.1,0.4
Jérémie Boga,Atalanta,18,0.9,0.3,14.4,2.4
Marcelo Brozovic,Inter,51.6,2.5,1.4,43.8,4
Nicolò Rovella,Monza,53,3.9,1.7,43.7,3.7
Emil Audero,Sampdoria,32.4,8.4,11.8,12.2,0
Filip Kostic,Juventus,23.6,0.9,1,17.6,4.2
Marten de Roon,Atalanta,53.7,3.5,3.1,41.3,5.7
Nikola Milenkovic,Fiorentina,47.5,2.8,2.5,38,4.2
Davide Calabria,AC Milan,42.3,1.5,3.4,33.4,4
Roberto Pereyra,Udinese,33.7,1.1,0.6,27.4,4.6
Wojciech Szczesny,Juventus,23.5,5.6,5.5,12.2,0.2
Hirving Lozano,Napoli,15.8,0.2,0.3,12.7,2.7
Riccardo Orsolini,Bologna,23.8,1.7,0.9,14.6,6.7
Alessandro Buongiorno,Torino,45.7,1.1,2,37.8,4.8
Juan Jesus,Napoli,48.9,1.4,0.8,42.8,3.9
Gabriel Strefezza,Lecce,21.1,1.5,1.5,13,5
Malick Thiaw,AC Milan,52.5,3.4,2.4,43,3.8
Edin Dzeko,Inter,15.2,0.6,0.5,10.3,3.7
Ivan Ilic,Verona,31.9,1,2,22.7,6.2
Dusan Vlahovic,Juventus,13.8,0.7,0.4,9.3,3.4
Tammy Abraham,Roma,13.1,0.4,0.3,8.5,3.9
Rodrigo Becão,Udinese,43.9,2.9,3.8,32.4,4.8
Razvan Marin,Empoli,43.7,3.7,2.4,33.2,4.4
Marco Carnesecchi,Cremonese,30.1,6.9,13.9,9.1,0.2
Patrick Ciurria,Monza,30.3,1.1,1.2,23.9,4.1
Pasquale Mazzocchi,Salernitana,24.8,1.1,1.2,18.7,3.8
Nikola Vlasic,Torino,27.2,0.5,0.3,21.8,4.7
Patric,Lazio,58.9,6.3,3.9,46.3,2.4
Milan Djuric,Verona,18.5,0.1,0.2,9.5,8.8
Lewis Ferguson,Bologna,37.2,0.5,0.9,31.5,4.3
