Team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Yellow_cards,Red_cards,Possessions(%),Pass_Success(%),A_Won,Rating,Shot_allowed,Tackles_pg,Intercept_pg,Fouls_pg,Offsides_pg,Shots_OT_pg,Dribbles_pg,Fouled_pg,xG,Goals-OG,xGDiff,Shots,xG/shots,TotalTackles,DribbledPast,TotalAttemptedTackles,Total_Interception,Fouled,Yellow,Red,CaughtOffside,Total_Clearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Total_Aerial,Won,Lost,Total_Passes,AccLB,InAccLB,AccSP,InAccSP,Total_Key passes,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
Rayo Vallecano,38,13,10,15,45,53,-8,49,45,87,6,50.8,78.8,11.5,6.51,11.5,16.7,8.1,14.3,2.6,4.1,7.8,12.9,42.69,41,-1.69,518,0.08,16.7,10.1,26.8,8.1,12.9,2.3,0.2,2.6,17,2.4,1.2,8.8,2.5,0.1,1.5,0.9,13.6,6.3,0.8,6.5,1.2,0.1,0.8,0.2,9.6,7.8,17.4,14.6,9.8,25.5,11.5,13.9,411.3,27.9,35.3,296.3,51.9,10.2,1.6,8.6,0.2,0.1,0.1,0,0,0.5,0.8
Sevilla,38,13,10,15,47,54,-7,49,47,112,13,52.7,83.0,13.1,6.53,13.4,15.4,8.9,12.5,2.8,3.9,7.1,12.1,49.21,47,-2.21,468,0.11,15.4,8.2,23.6,8.9,12.1,2.9,0.3,2.8,15.9,3.3,1.2,6.2,2.9,0.2,1.7,1,12.3,4.7,1.1,6.6,1.2,0.3,0.8,0.1,8.8,7.1,15.9,13.6,8.2,25.7,13.1,12.6,457.3,28.1,28.4,351.6,49.2,9,1.6,7.4,0.3,0.1,0.1,0.1,0,0.4,0.8
Celta Vigo,38,11,10,17,43,53,-10,43,43,80,6,50.1,81.8,12.1,6.56,10.2,17.5,9.7,12.3,2.1,4.3,8.5,13,41.96,41,-0.96,473,0.09,17.5,10,27.5,9.7,13,2.1,0.2,2.1,16.6,2.2,1.3,8.1,2.2,0.1,1.4,0.6,12.4,5.6,0.8,6.1,1.1,0,0.8,0.2,9.9,8.5,18.4,14.9,7.8,26.3,12.1,14.2,440.5,26.4,27.5,334.2,52.5,9.3,1.4,7.9,0.2,0,0.1,0,0,0.6,0.8
Cadiz,38,10,12,16,30,53,-23,42,30,107,7,41.3,74.1,16.1,6.49,14.5,16.4,7.1,14,2,3.1,6.5,12.7,41.59,29,-12.59,395,0.11,16.4,9.2,25.6,7.1,12.7,2.8,0.2,2,21.8,3.4,1.4,7.8,3.9,0.2,2.4,1.3,10.4,3.7,0.8,5.9,0.8,0.2,0.4,0.1,8.5,6.5,15,14.9,9.3,33.3,16.1,17.3,324.9,26.6,35.4,214,48.9,7.1,1.7,5.4,0.1,0,0,0,0,0.4,0.5
Getafe,38,10,12,16,34,45,-11,42,34,116,9,39.2,70.6,19,6.49,12.8,14.2,8.4,15.8,2.1,3.3,5.7,11.5,38.32,34,-4.32,373,0.1,14.2,8.8,23,8.4,11.5,3.1,0.2,2.1,19.5,3,1.8,7.7,3.2,0.2,1.7,1.3,9.8,3.3,0.4,6.1,0.9,0.1,0.7,0.1,6.3,5.7,12,13.3,7.1,37.4,19,18.5,327.4,28.6,38.6,202.5,57.7,6.6,1.5,5,0.2,0,0,0,0,0.4,0.6
Valencia,38,11,9,18,42,45,-3,42,42,86,8,51.8,80.6,13,6.54,10.5,17.8,7.6,13.3,2.1,3.9,9.3,13.4,52.85,40,-12.85,488,0.11,17.8,8.8,26.7,7.6,13.4,2.3,0.2,2.1,15.8,2,1.4,7.8,2.8,0.1,1.6,1.1,12.8,4.6,0.9,7.4,1.1,0.2,0.7,0.2,10.4,9.3,19.7,14.6,8.9,27.9,13,14.9,407.7,23.7,28.4,305,50.6,9.3,1.6,7.8,0.2,0.1,0.2,0.1,0,0.2,0.6
Almeria,38,11,8,19,49,65,-16,41,49,94,4,44.9,78.3,12.8,6.50,14.3,14.7,8.5,11.7,2.2,4.2,7.8,10.6,46.77,49,2.23,442,0.11,14.7,9.1,23.7,8.5,10.6,2.5,0.1,2.2,21.1,3.2,1.6,8.2,3.7,0.1,2.5,1.1,11.6,4.3,0.7,6.6,1.3,0.2,1,0.1,9.7,7.8,17.6,15.3,7.4,26.8,12.8,14,373.6,26.2,31.9,266.3,49.1,8.3,1.5,6.8,0.4,0.2,0.1,0,0,0.4,0.9
Real Valladolid,38,11,7,20,33,63,-30,40,33,89,6,48.5,79.1,12.5,6.50,15.5,17.7,9.1,12.1,2.6,3.8,8.1,13.6,40.64,32,-8.64,447,0.09,17.7,8.7,26.4,9.1,13.6,2.3,0.2,2.6,18.7,3.9,1.8,7.4,3.6,0.2,2.3,1.1,11.8,5.3,0.5,5.9,0.9,0.1,0.6,0.1,10.7,8.1,18.8,15.5,8.3,28.8,12.5,16.3,386.5,30.2,32,275.6,48.8,8.5,1.8,6.7,0.3,0.1,0.1,0,0,0.3,0.6
Espanyol,38,8,13,17,52,69,-17,37,52,91,10,42.6,76.5,17.1,6.53,14.3,17.2,8.9,12,1.6,4.1,6.8,13,51.07,51,-0.07,422,0.12,17.2,7.9,25,8.9,13,2.4,0.3,1.6,19.4,3.5,1.6,7.4,3.1,0.2,1.8,1,11.1,3.8,1,6.2,1.4,0.4,0.7,0.2,8.4,6.8,15.1,13.8,6.4,32.9,17.1,15.8,343.6,26.5,32.7,236.3,48.1,8.4,1.7,6.7,0.2,0,0,0,0,0.6,0.8
Elche,38,5,10,23,30,67,-37,25,30,93,12,44.9,79.1,12.8,6.44,14.8,16.7,8.5,13.8,2.1,3.4,9,10.4,39.15,30,-9.15,405,0.1,16.7,8.5,25.2,8.5,10.4,2.4,0.3,2.1,19.3,3.4,1.3,7.4,3.8,0.2,2.2,1.3,10.7,3.2,0.9,6.6,0.8,0.1,0.6,0,9.6,9,18.6,15.2,9.1,25.2,12.8,12.4,367.4,25.6,27.9,264.8,49.1,8.3,2.6,5.7,0.3,0.1,0,0,0,0.2,0.6
