,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
15,페이크아이즈,[채용공고] 딥러닝 기반 컴퓨터 비전 연구 및 개발,"경력무관,석사↑,정규직,,서울 마포구,~04/07(일)","딥러닝, 솔루션, 인공지능, 이미지프로세싱, 클라이언트, 증강현실, 소프트웨어개발, 가상현실",https://www.jobkorea.co.kr/Recruit/GI_Read/44181059?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=16
16,㈜테서,AI Engineer : 의료영상데이터 딥러닝 연구원 (전문연구요원 가능),"신입·경력,대졸↑,정규직 외,,서울 강남구,상시채용","딥러닝, BigData, 솔루션, 이미지프로세싱, 모델링, 챗봇, 소프트웨어개발, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/GI_Read/44169683?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=17
17,㈜아이넷캅,[경력·전문연] 딥러닝/머신러닝 개발자 채용(내일채움공제가능),"신입·경력1년↑,대졸↑,정규직 외,,서울 송파구,~04/23(화)","딥러닝, 빅데이터, 데이터관리, 데이터레이크, 백신프로그램, 네트워크보안, Python, ETL, 데이터마이닝, 인공지능, 이미지프로세싱, 모델링, 모델링, 보안소프트웨어, 알고리즘, 챗봇, 데이터파이프라인, 정보보안",https://www.jobkorea.co.kr/Recruit/GI_Read/44076224?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=18
18,㈜에어패스,"인공지능 개발, 딥러닝 엔지니어(자연어, 컴퓨터비전) 정규직","경력3년↑,대졸↑,정규직,,경기 하남시,~04/16(화)","딥러닝, 모바일앱개발, 데이터레이크, 솔루션, 시스템분석, 인공지능, 이미지프로세싱, 모델링, 아키텍처, 시스템설계, 소프트웨어개발, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/GI_Read/44019516?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=19
19,㈜라이드로,[라이드로] LiDAR 딥러닝 알고리즘 개발자 모집,"경력2년↑,대졸↑,정규직,,경기 성남시,~04/14(일)","LiDAR 딥러닝 알고리즘 개발, 자동차부품, 자동차",https://www.jobkorea.co.kr/Recruit/GI_Read/43987690?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=20
20,㈜지브이랩,"머신 비전 프로그램 개발자 모집 (딥러닝, 이미지 프로세싱, 시스템 제어, C++ / 신입 및 경력)","경력1년↑,학력무관,정규직,,서울 금천구,~04/08(월)","딥러닝, 시스템분석, 이미지프로세싱, SI개발, 아키텍처, 시스템설계, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/43966592?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=21
21,㈜벡터시스,딥러닝 엔지니어 모집,"신입·경력,고졸↑,정규직,,경기 용인시,상시채용","딥러닝, 빅데이터, 데이터레이크, 음성인식, 솔루션, 인공지능, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/43943005?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=22
22,한국딥러닝㈜,[한국딥러닝] 인공지능 학습용 데이터 댐 구축사업 총괄 PM,"경력2년↑,대졸↑,정규직,,서울 서초구 외,~05/02(목)","WBS, 신사업기획, PM, 사업기획, 정부과제, 사업계획서, 인공지능, 소프트웨어개발, 프로젝트 관리, 인공지능 학습용 데이터댐",https://www.jobkorea.co.kr/Recruit/GI_Read/44373287?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=23
23,한국딥러닝㈜,[한국딥러닝] 3D asset 마켓플레이스 플랫폼 PO (Product Owner),"경력2년↑,대졸↑,정규직,,서울 서초구 외,~05/02(목)","데이터분석, GA, LLM, 앱기획, 와이어프레임, UI·UX기획, SORA, 프로덕트 오너, 스토리보드, 플랫폼 기획, Clarity, PO, 서비스기획, 소프트웨어개발, AI",https://www.jobkorea.co.kr/Recruit/GI_Read/44372035?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=24
24,한국딥러닝㈜,[한국딥러닝] 사업계획서 / 제안서 작성 담당자 채용,"경력2년↑,대졸↑,정규직,,서울 서초구 외,상시채용","기술기획, 정부사업, 신사업기획, 제안·컨설팅, 사업기획, 사업계획서, 소프트웨어개발, 제안서",https://www.jobkorea.co.kr/Recruit/GI_Read/44371424?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=25
25,블루닷㈜,딥러닝 알고리즘 엔지니어(신입),"신입,대졸↑,정규직,,서울 강남구,~04/24(수)","ASIC, SoC, IC설계",https://www.jobkorea.co.kr/Recruit/GI_Read/44306688?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=26
