,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
13,아이넷캅,[경력·전문연] 딥러닝/머신러닝 개발자 채용(내일채움공제가능),"서울,송파구,신입·경력,석사↑,정규직·전문연구요원","딥러닝,Pandas,Python,Tensorflow,머신러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47645325&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
14,일리아스AI,AI 딥러닝 개발자 경력 채용,"서울,구로구,경력5년↑,석사↑,정규직","딥러닝,데이터분석가,데이터엔지니어,앱개발,SI개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47833383&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
15,위드로봇(주),C++ 기반 딥러닝(YOLO) 개발자 신입/경력 채용,"서울,송파구,경력 5~20년,대졸↑,정규직","딥러닝,머신러닝,C++,Pytorch,Tensorflow",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47803682&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
16,서울대학교병원,서울대학교병원 영상데이터분석/딥러닝 연구원 채용,"서울,종로구,경력,대졸↑,계약직","딥러닝,데이터분석가,데이터엔지니어,빅데이터,영상의학과",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47772972&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
17,(주)테서,의료 텍스트 자연어처리(NLP) 딥러닝 연구원(전문연구요원 가능),"서울,강남구,경력무관,대졸↑,정규직·전문연구요원","딥러닝,데이터분석가,머신러닝,NLP(자연어처리),AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47547317&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
18,(주)해양정보기술,수치모델링/빅데이터분석 및 딥러닝 부문채용,"서울,금천구,경력무관,대졸↑,정규직","딥러닝,모델링,빅데이터,GIS,측량/계측",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47751500&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
19,블루닷(주),[경력] 딥러닝 알고리즘 엔지니어,"서울,강남구,경력 3~12년,대졸↑,정규직","딥러닝,데이터분석가,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45119339&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
20,(주)앤씨앤,컴퓨터 비전 기반 딥러닝 인식 Researcher 모집,"경기전체,신입·경력,대졸↑,정규직","딥러닝,데이터분석가,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47905529&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
21,(주)크래프톤,[AI] Deep Learning Engineer - 2D Vision & 3D Graphics,"서울,강남구,경력무관,학력무관,정규직","머신러닝,AI(인공지능),Python,Pytorch,Tensorflow",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47878144&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
22,(주)모든다해,"연구개발부문(AI, 딥러닝 개발자) 경력직원모집","경기,광명시,경력,대졸↑,정규직,5,000 만원","연구원,기술연구,기계",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47543052&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
23,(주)연합시스템,"빅데이터 분석, AI (머신러닝,딥러닝) 가능한 팀원을 충원합니다","경기,김포시,경력1년↑,학력무관,정규직","딥러닝,데이터분석가,데이터엔지니어,데이터라벨링,데이터마이닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47870843&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
24,(주)에이치아이티에스,딥러닝 응용 Application 연구/개발 전문인력 모집,"경기,부천시,경력무관,대졸↑,정규직","딥러닝,머신러닝,알고리즘,영상처리,이미지프로세싱",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47932893&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
25,(주)핸디비전,"머신비전  개발자 , C/C++/C#, OpenCV, MIL, PYTHON, 딥러닝, AI","경기,용인시 기흥구,경력무관,초대졸↑,정규직·계약직","딥러닝,머신러닝,빅데이터,S/W,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47795203&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
26,(주)지브이랩,"머신 비전 프로그램 개발자 모집(딥러닝, 이미지 프로세싱, C++)","서울,금천구,경력무관,학력무관,정규직","딥러닝,머신러닝,알고리즘,소프트웨어개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47904960&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
27,(주)닷밀,[닷밀] AI/딥러닝 문화콘텐츠 기술연구원 [전문연구요원 가능],"서울,마포구,경력무관,학력무관,정규직·전문연구요원","딥러닝,기술지원,머신러닝,알고리즘,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47815771&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
