team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shot allowed,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg,xG,GoalsDiff,xGDiff,Shots,xG/shots,League
Wolves,38,11,8,19,31,58,-27,41,31,84,6,50.1,81.3,12.3,6.51,14.6,17.4,7.3,12.2,1.6,3.3,3.3,3.3,35.73,28,-7.73,412,0.09,England-Premier-League
West Ham,38,11,7,20,42,55,-13,40,42,44,0,41.4,78.2,16.4,6.6,13.1,16.0,10.7,9.5,1.6,3.8,3.8,3.8,50.7,41,-9.7,474,0.11,England-Premier-League
Bournemouth,38,11,6,21,37,71,-34,39,37,69,0,40.0,77.5,13.8,6.53,16.5,16.3,9.3,10.3,1.0,3.5,3.5,3.5,38.95,37,-1.95,358,0.11,England-Premier-League
Nottingham Forest,38,9,11,18,38,68,-30,38,38,84,0,37.2,72.3,14.8,6.49,14.7,17.3,9.2,11.7,1.8,3.1,3.1,3.1,39.9,36,-3.9,368,0.11,England-Premier-League
Everton,38,8,12,18,34,57,-23,36,34,79,2,42.5,77.0,15.3,6.62,15.2,18.6,10.3,10.4,1.7,4.0,4.0,4.0,48.58,32,-16.58,429,0.11,England-Premier-League
Leicester,38,9,7,22,51,68,-17,34,51,59,2,47.7,80.3,13.5,6.57,15.1,18.4,9.7,10.8,2.2,4.0,4.0,4.0,49.58,49,-0.58,418,0.12,England-Premier-League
Leeds,38,7,10,21,48,78,-30,31,48,84,3,46.3,74.9,15.5,6.5,13.9,22.1,10.3,12.3,1.6,3.8,3.8,3.8,47.88,45,-2.88,462,0.1,England-Premier-League
Southampton,38,6,7,25,36,73,-37,25,36,73,0,44.1,77.3,14.6,6.5,13.8,18.8,11.3,11.3,1.5,3.7,3.7,3.7,38.44,36,-2.44,417,0.09,England-Premier-League
Paris Saint-Germain,38,27,4,7,89,40,49,85,89,53,5,60.9,90.5,6.6,6.88,11.8,16.1,7.8,10.0,2.0,6.6,6.6,6.6,78.99,86,7.01,569,0.14,France-Ligue-1
Lens,38,25,9,4,68,29,39,84,68,63,3,55.8,86.4,10.8,6.75,10.3,14.2,8.9,12.9,1.6,4.9,4.9,4.9,67.18,66,-1.18,527,0.13,France-Ligue-1
Marseille,38,22,7,9,67,40,27,73,67,62,4,56.9,83.2,13.1,6.75,11.2,18.0,11.1,14.0,1.8,4.9,4.9,4.9,66.58,61,-5.58,553,0.12,France-Ligue-1
Rennes,38,21,5,12,69,39,30,68,69,54,6,55.8,84.7,14.2,6.73,9.9,15.8,9.0,12.2,1.4,5.1,5.1,5.1,62.99,66,3.01,529,0.12,France-Ligue-1
Lille,38,19,10,9,65,44,21,67,65,83,1,60.9,86.1,11.7,6.73,8.7,16.7,7.9,13.1,1.7,5.7,5.7,5.7,70.91,65,-5.91,557,0.13,France-Ligue-1
