player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5,position_6
Bruno Guimarães,Newcastle,26,CDM,32,2735,4,5,7,0,0.9,84.6,0.6,1,7.21,2.4,1.1,1.4,0.0,0.6,0.8,0.1,0,1.3,1.4,2.6,0.0,1.9,1.4,51.0,0.1,3.2,0.3,2.93,1.07,0.1,28.0,0.1,CDM,,,,,
Casemiro,Manchester United,32,"CB, CDM",24(4),2126,4,3,7,2,1.2,78.5,2.0,5,7.17,3.1,1.2,1.7,0.0,2.1,1.6,0.4,0,1.0,0.3,0.9,0.0,0.5,0.6,50.4,0.1,3.4,0.3,3.02,0.98,0.13,34.0,0.09,CB, CDM,,,,
Mohamed Salah,Liverpool,31,"CAM, LAM, RAM, FW",37(1),3297,19,12,2,0,3.3,78.1,0.2,3,7.17,0.6,0.2,0.5,0.0,0.1,0.4,0.0,0,1.7,1.4,0.9,0.6,2.1,2.9,29.5,0.3,0.6,0.2,22.94,-3.94,0.63,125.0,0.18,CAM, LAM, RAM, FW,,
Phil Foden,Manchester City,23,"CAM, LAM, RAM, FW",22(10),1844,11,5,1,0,1.4,86.1,0.6,3,7.13,0.5,0.2,0.3,0.0,0.3,0.3,0.1,0,1.3,1.3,0.9,0.2,0.9,1.1,31.3,0.8,0.8,0.1,6.05,4.95,0.3,46.0,0.13,CAM, LAM, RAM, FW,,
Ilkay Gündogan,Manchester City,33,CM,27(4),2359,8,4,0,0,1.7,88.2,0.6,2,7.11,1.0,0.6,0.7,0.0,0.4,0.7,0.1,0,1.2,0.5,0.8,0.2,0.9,0.9,49.7,0.3,1.9,0.3,7.58,0.42,0.29,54.0,0.14,CM,,,,,
Trent Alexander-Arnold,Liverpool,25,"RB, CDM, RM",34(3),2932,2,9,5,0,1.1,78.7,0.5,2,7.11,1.5,1.2,0.6,0.3,1.0,1.0,0.2,0,1.9,0.8,0.2,0.1,0.6,0.9,62.4,2.1,5.2,0.3,1.9,0.1,0.06,40.0,0.05,RB, CDM, RM,,,
Ethan Pinnock,Brentford,30,CB,30,2700,3,0,0,0,0.5,80.2,3.5,2,7.11,1.7,1.2,0.2,0.7,7.1,0.2,1.0,1,0.3,0.1,0.3,0.0,0.2,0.2,36.4,0.1,1.6,0.0,3.14,-0.14,0.1,15.0,0.21,CB,,,,,
Aleksandar Mitrovic,Fulham,29,FW,23(1),2015,14,1,7,0,3.9,60.5,4.2,4,7.08,0.6,0.1,1.4,0.0,0.8,0.3,0.2,0,0.7,1.0,1.7,0.6,2.4,2.7,20.4,0.0,1.0,0.1,16.08,-2.08,0.72,93.0,0.17,FW,,,,,
Marcus Rashford,Manchester United,26,"CAM, LAM, RAM, FW",32(3),2890,17,5,2,0,3.1,78.7,0.6,6,7.08,0.6,0.2,0.4,0.0,0.4,0.4,0.1,0,0.9,1.5,0.7,0.4,1.3,2.3,22.3,0.1,0.8,0.1,17.47,-0.47,0.54,108.0,0.16,CAM, LAM, RAM, FW,,
Reece James,Chelsea,24,"CB, RB, CDM, RM",14(2),1244,1,1,4,0,1.0,90.7,1.4,0,7.07,1.9,0.8,0.6,0.2,1.3,0.3,0.1,0,1.3,1.4,1.1,0.3,0.9,0.8,53.3,1.1,2.4,0.0,0.96,0.04,0.07,16.0,0.06,CB, RB, CDM, RM,,
Thomas Partey,Arsenal,30,"RB, CM, RM",28(5),2487,3,0,5,0,0.8,88.0,1.1,1,7.06,2.1,0.8,1.1,0.1,1.2,0.8,0.2,0,0.8,1.1,0.7,0.0,0.6,1.0,59.0,0.1,3.2,0.2,2.25,0.75,0.08,28.0,0.08,RB, CM, RM,,,
Felipe,Nottingham Forest,34,CB,15(1),1419,0,1,4,0,0.8,73.0,3.3,0,7.06,2.6,2.3,0.9,0.3,5.6,1.1,0.8,0,0.4,0.9,0.7,0.3,0.3,0.8,34.8,0.0,1.8,0.0,1.24,-1.24,0.08,13.0,0.1,CB,,,,,
Cody Gakpo,Liverpool,24,"CAM, LAM, RAM, FW",17(4),1465,7,2,0,0,1.9,78.4,1.2,0,7.06,1.2,0.2,1.2,0.0,0.1,1.2,0.0,0,1.1,1.1,1.6,0.4,1.7,2.0,17.7,0.0,0.3,0.0,6.57,0.43,0.4,39.0,0.17,CAM, LAM, RAM, FW,,
Alexander Isak,Newcastle,24,"LAM, FW",17(5),1527,10,1,3,0,2.3,77.8,1.0,1,7.06,0.8,0.2,0.9,0.0,0.4,0.8,0.1,0,0.7,1.5,0.7,0.2,1.1,1.8,16.0,0.0,0.7,0.1,8.72,1.28,0.51,51.0,0.17,LAM, FW,,,,
