player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles,Total_Interception,Fouled,Fouls,Yellow,Red,CaughtOffside,Total_Clearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Total_Aerial,Won,Lost,Total_Passes,AccLB,InAccLB,AccSP,InAccSP,Total_Key passes,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
Gabriel Martinelli,Arsenal,0.9,0.4,1.2,0.3,1.0,1.1,0.1,0.0,0.2,0.3,0.0,0.1,0.6,0.0,0.0,0.0,0.0,2.2,0.5,0.2,1.5,0.4,0.1,0.3,0.0,2.0,1.7,3.7,2.3,1.6,2.2,0.4,1.8,27.1,1.0,0.4,21.4,4.4,1.6,0.1,1.6,0.1,0.0,0.0,0.0,0.0,0.1,0.1
Ivan Toney,Brentford,0.7,0.5,1.2,0.4,2.2,1.6,0.3,0.0,0.8,1.1,0.3,0.0,0.5,0.0,0.0,0.0,0.0,2.8,0.7,0.5,1.6,0.6,0.2,0.3,0.1,1.2,0.5,1.6,3.0,1.4,6.9,3.3,3.6,22.3,0.4,0.6,13.4,7.9,0.8,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Joelinton,Newcastle,2.2,1.1,3.3,1.5,1.1,2.0,0.4,0.0,0.0,1.2,0.2,0.0,1.4,0.0,0.0,0.0,0.0,1.6,0.4,0.2,1.0,0.2,0.0,0.2,0.0,1.8,1.7,3.5,2.3,1.6,3.9,2.1,1.8,38.4,1.1,0.5,30.5,6.3,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Maddison,Leicester,1.7,1.0,2.7,0.4,2.6,1.0,0.3,0.0,0.2,0.1,0.0,0.1,0.6,0.0,0.0,0.0,0.0,2.8,1.5,0.0,1.3,0.3,0.0,0.2,0.1,2.0,1.5,3.6,1.5,1.0,0.5,0.1,0.3,33.8,1.7,1.4,25.1,5.5,2.3,0.4,1.9,0.0,0.0,0.1,0.0,0.0,0.2,0.3
Rodrigo Bentancur,Tottenham,2.5,0.7,3.2,1.1,0.4,1.3,0.4,0.0,0.0,1.2,0.8,0.1,0.7,0.0,0.0,0.0,0.0,0.8,0.2,0.1,0.5,0.3,0.1,0.2,0.1,0.7,1.2,1.9,1.2,0.9,1.7,0.8,0.9,47.6,1.3,1.0,39.3,6.1,0.6,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.1,0.1
Bruno Guimarães,Newcastle,2.4,0.8,3.3,1.1,2.6,1.4,0.2,0.0,0.0,0.6,0.1,0.1,0.8,0.0,0.0,0.0,0.0,0.9,0.5,0.1,0.3,0.1,0.0,0.1,0.1,1.5,1.4,2.9,1.4,1.9,1.0,0.6,0.4,51.0,3.2,2.1,40.0,5.8,1.3,0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2
Casemiro,Manchester United,3.1,1.6,4.8,1.2,0.9,1.7,0.3,0.1,0.0,2.1,0.4,0.1,1.4,0.0,0.0,0.0,0.0,1.2,0.6,0.1,0.4,0.1,0.0,0.1,0.0,0.4,0.3,0.7,0.6,0.5,3.1,2.0,1.1,50.4,3.4,2.7,36.2,8.1,1.0,0.3,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.1
Mohamed Salah,Liverpool,0.6,0.4,1.0,0.2,0.9,0.5,0.1,0.0,0.6,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,3.3,0.6,0.2,2.5,0.5,0.1,0.4,0.0,2.2,1.4,3.6,2.9,2.1,1.0,0.2,0.8,29.5,0.6,0.4,22.4,6.0,1.7,0.0,1.7,0.0,0.0,0.1,0.0,0.0,0.2,0.3
Phil Foden,Manchester City,0.5,0.3,0.8,0.2,0.9,0.3,0.0,0.0,0.2,0.3,0.1,0.0,0.7,0.0,0.0,0.0,0.0,1.4,0.3,0.1,1.0,0.3,0.0,0.3,0.0,1.3,1.3,2.5,1.1,0.9,1.4,0.6,0.8,31.3,0.8,0.5,26.3,3.8,1.3,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.2,0.2
Ilkay Gündogan,Manchester City,1.0,0.7,1.7,0.6,0.8,0.7,0.0,0.0,0.2,0.4,0.1,0.0,0.5,0.0,0.0,0.0,0.0,1.7,0.7,0.1,0.9,0.3,0.0,0.2,0.1,0.8,0.5,1.4,0.9,0.9,1.0,0.6,0.4,49.7,1.9,0.6,41.9,5.2,1.2,0.1,1.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Trent Alexander-Arnold,Liverpool,1.5,1.0,2.6,1.2,0.2,0.6,0.1,0.0,0.1,1.0,0.2,0.1,0.5,0.0,0.0,0.0,0.0,1.1,0.8,0.0,0.2,0.1,0.0,0.0,0.1,0.4,0.8,1.2,0.9,0.6,0.9,0.5,0.4,62.4,5.2,5.5,43.9,7.8,1.9,1.0,0.9,0.1,0.0,0.1,0.0,0.0,0.1,0.2
Ethan Pinnock,Brentford,1.7,0.2,1.9,1.2,0.3,0.2,0.0,0.0,0.0,7.1,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.2,0.2,0.2,5.3,3.5,1.8,36.4,1.6,2.6,27.6,4.6,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Mitrovic,Fulham,0.6,0.3,0.9,0.1,1.7,1.4,0.3,0.0,0.6,0.8,0.2,0.0,0.7,0.0,0.0,0.0,0.0,3.9,0.5,0.4,3.0,0.6,0.1,0.5,0.0,1.0,1.0,2.0,2.7,2.4,8.6,4.2,4.5,20.4,1.0,0.6,11.4,7.4,0.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Rashford,Manchester United,0.6,0.4,1.0,0.2,0.7,0.4,0.1,0.0,0.4,0.4,0.1,0.0,0.8,0.0,0.0,0.0,0.0,3.1,0.9,0.3,1.9,0.5,0.1,0.3,0.1,2.4,1.5,3.9,2.3,1.3,1.7,0.6,1.1,22.3,0.8,0.5,16.7,4.3,0.9,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.1
