Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots
Giacomo Quagliata,Cremonese,24,D(L),6(14),693,0,1,0,1,0.5,74.9,0.1,0,6.21,0.5,0.6,0.7,0.1,0.4,0.3,0.1,0,0.5,0.7,0.5,0.6,0,0.3,0.5,11.2,0.8,0.4,0,,,,,
Florian Thauvin,Udinese,31,"M(CLR),FW",5(11),543,0,0,1,0,0.6,77.3,0.4,0,6.21,0.1,0.1,0.6,0.1,0.1,0.7,0,0,0.6,0.6,0.6,0.4,0.1,0.5,1.2,11,0.4,0.6,0.1,,,,,
Florian Thauvin,Udinese,31,"M(CLR),FW",5(11),543,0,0,1,0,0.6,77.3,0.4,0,6.21,0.1,0.1,0.6,0.1,0.1,0.7,0,0,0.6,0.6,0.6,0.4,0.1,0.5,1.2,11,0.4,0.6,0.1,,,,,
Alessio Zerbin,Napoli,25,AM(L),2(8),193,0,0,1,0,0.5,74.7,0,0,6.21,1,0.2,0.9,0,0.2,0.4,0,0,0.5,0,0.2,0.6,0.1,0.5,0.5,7.5,0,0.3,0,,,,,
Alessio Zerbin,Napoli,25,AM(L),2(8),193,0,0,1,0,0.5,74.7,0,0,6.21,1,0.2,0.9,0,0.2,0.4,0,0,0.5,0,0.2,0.6,0.1,0.5,0.5,7.5,0,0.3,0,,,,,
Pietro Pellegri,Torino,23,FW,4(14),460,2,0,3,0,0.6,79.2,0.6,0,6.20,0.3,0,0.8,0.1,0.2,0.1,0.1,0,0.6,0.3,0.2,0.8,0.4,1.1,1.3,4.3,0,0,0,,,,,
Pietro Pellegri,Torino,23,FW,4(14),460,2,0,3,0,0.6,79.2,0.6,0,6.20,0.3,0,0.8,0.1,0.2,0.1,0.1,0,0.6,0.3,0.2,0.8,0.4,1.1,1.3,4.3,0,0,0,,,,,
Pietro Pellegri,Torino,23,FW,4(14),460,2,0,3,0,0.6,79.2,0.6,0,6.20,0.3,0,0.8,0.1,0.2,0.1,0.1,0,0.6,0.3,0.2,0.8,0.4,1.1,1.3,4.3,0,0,0,,,,,
Petko Hristov,Spezia,25,D(C),4(5),363,0,0,0,0,0.1,79.5,1.1,0,6.20,0.7,0.4,0.1,0.2,1.3,0.3,0.2,0,0.1,0,0,0.4,0,0,0.3,19.6,0.1,0.8,0,,,,,
Petko Hristov,Spezia,25,D(C),4(5),363,0,0,0,0,0.1,79.5,1.1,0,6.20,0.7,0.4,0.1,0.2,1.3,0.3,0.2,0,0.1,0,0,0.4,0,0,0.3,19.6,0.1,0.8,0,,,,,
Petko Hristov,Spezia,25,D(C),4(5),363,0,0,0,0,0.1,79.5,1.1,0,6.20,0.7,0.4,0.1,0.2,1.3,0.3,0.2,0,0.1,0,0,0.4,0,0,0.3,19.6,0.1,0.8,0,,,,,
Andrea Barberis,Monza,30,M(C),3(6),332,0,1,0,0,0.2,85.7,0.2,0,6.20,0.8,0.9,0.1,0.1,0.1,0.7,0,0,0.2,0.4,0,0.2,0,0.7,0.3,17.9,0.2,0.6,0,,,,,
