player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5
Benjamin Bourigeaud,Rennes,30,"CM, LM, RM",37,3084,7,10,4,1,2.0,80.8,0.3,4,7.15,1.2,0.8,0.9,0.1,0.7,1.2,0.1,0,2.6,0.4,0.4,0.1,0.5,0.9,46.6,2.0,3.1,0.2,8.65,-1.65,0.25,73.0,0.12,CM, LM, RM,,
Issiaga Sylla,Montpellier,30,"LB, RB, LM",15,1306,1,3,0,0,0.7,82.1,1.8,1,7.15,1.9,2.1,0.5,0.1,1.8,1.1,0.2,0,1.1,0.6,0.6,0.1,0.6,1.1,43.7,0.5,1.6,0.0,0.82,0.18,0.06,10.0,0.08,LB, RB, LM,,
Florian Sotoca,Lens,33,"CM, RM, FW",34(4),3064,7,9,4,0,2.3,80.1,1.5,4,7.13,1.0,0.8,1.0,0.0,1.3,0.7,0.1,0,1.6,0.4,1.2,0.2,0.7,1.2,36.6,0.5,2.2,0.2,10.41,-3.41,0.31,89.0,0.12,CM, RM, FW,,
Amine Gouiri,Rennes,24,"CAM, LAM, FW",29(4),2532,15,3,3,0,2.2,79.8,0.9,1,7.12,1.3,0.4,1.2,0.0,0.3,0.6,0.0,0,1.1,1.0,0.5,0.2,1.1,2.2,22.1,0.2,0.5,0.1,11.66,3.34,0.41,74.0,0.16,CAM, LAM, FW,,
Gaëtan Laborde,Nice,30,"CAM, LAM, RAM, FW",28(5),2514,13,3,0,0,2.3,71.0,1.5,4,7.12,1.4,0.3,0.8,0.0,0.4,0.7,0.1,0,1.3,0.8,0.8,0.2,0.9,2.1,19.3,0.5,0.3,0.1,11.15,1.85,0.4,75.0,0.15,CAM, LAM, RAM, FW,
Aleksandr Golovin,Monaco,27,"CM, LM, RM",29(5),2484,8,7,5,0,1.4,74.8,0.5,3,7.11,1.8,1.1,1.1,0.0,0.2,1.3,0.0,0,1.7,0.8,0.7,0.2,0.9,1.4,28.4,1.0,1.3,0.1,5.38,2.62,0.2,49.0,0.11,CM, LM, RM,,
Seko Fofana,Lens,28,CM,34(1),3079,7,5,2,0,2.4,89.3,0.6,4,7.1,0.8,0.5,0.6,0.0,0.4,0.7,0.1,0,1.0,1.7,1.3,0.1,1.2,1.7,50.3,0.4,2.1,0.1,8.75,-1.75,0.26,84.0,0.1,CM,,,,
Kiki Kouyaté,Montpellier,27,CB,15,1259,0,0,5,0,0.7,81.7,2.9,2,7.1,2.1,2.3,1.4,0.2,4.7,1.1,0.9,0,0.1,0.2,0.9,0.0,0.0,0.2,40.5,0.0,1.7,0.0,0.89,-0.89,0.06,11.0,0.08,CB,,,,
Ghjuvanni Quilichini,AC Ajaccio,21,GK,0(1),81,0,0,0,0,0.0,37.5,0.0,0,7.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,8.0,0.0,,,,,,GK,,,,
Andrei Girotto,Nantes,32,"CB, CDM",36,3153,1,1,7,0,0.8,83.0,2.2,4,7.09,3.4,2.0,1.5,0.3,4.8,1.6,0.7,0,0.4,0.1,0.9,0.0,0.2,0.3,48.1,0.1,4.4,0.0,1.63,-0.63,0.05,27.0,0.06,CB, CDM,,,
