player_name,team_name,Fouled,Fouls
Sinaly Diomandé,Lyon,0.9,1
Alidu Seidu,Clermont Foot,2.5,1.2
Faitout Maouassa,Montpellier,0.9,1
Jimmy Cabot,Lens,0,1.3
Sead Kolasinac,Marseille,0.5,1.3
Vitinha,Paris Saint-Germain,0.5,0.9
Christopher Jullien,Montpellier,0.2,1.1
Saîf-Eddine Khaoui,Clermont Foot,1.1,0.7
Jérémy Le Douaron,Brest,1.1,1
Azzedine Ounahi,Angers,1.6,0.7
Castello Lukeba,Lyon,0.6,1.1
Mama Baldé,Troyes,1.4,1.1
Gideon Mensah,Auxerre,0.7,1.1
Ante Palaversa,Troyes,0,0
Sofiane Diop,Nice,1.2,0.4
Jubal,Auxerre,0.6,1
Leonardo Balerdi,Marseille,0.6,1.5
Quentin Merlin,Nantes,0.6,0.5
Badredine Bouanani,Nice,1.1,0.5
Lovro Majer,Rennes,0.9,1.5
Laurent Abergel,Lorient,1,1
Deiver Machado,Lens,1.4,1.3
Warmed Omari,Rennes,0.4,0.5
Marquinhos,Paris Saint-Germain,0.3,0.4
Théo Sainte-Luce,Montpellier,0.1,1.4
Lucien Agoumé,Troyes,0.5,2
Désiré Doué,Rennes,1.1,1.4
Vito Mannone,Lorient,0.1,0
Mario Lemina,Nice,0.4,0.9
Angel Gomes,Lille,1.4,1.5
Arthur Theate,Rennes,0.4,0.7
André Gomes,Lille,0.7,1.9
Steve Mandanda,Rennes,0.1,0.1
Marco Bizot,Brest,0.1,0
Zakaria Aboukhlal,Toulouse,1.2,1.1
Farès Chaïbi,Toulouse,0.6,0.9
Jean-Charles Castelletto,Nantes,0.6,0.9
Aaron Ramsey,Nice,0.7,0.9
Tiago Djaló,Lille,0.7,0.8
Gédéon Kalulu,Lorient,0.6,1
Han-Noah Massengo,Auxerre,1.6,1.1
Nuno da Costa,Auxerre,1.7,1.1
Anthony Lopes,Lyon,0.2,0.1
Andy Delort,Nice,0.6,0.6
Jeffinho,Lyon,1.1,0.9
Alexander Nübel,Monaco,0.1,0
Jonas Omlin,Montpellier,0.2,0.1
Karl Toko-Ekambi,Rennes,0.5,0.4
Youssouf Ndayishimiye,Nice,0.4,0.5
