player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Nuno Tavares,Marseille,33.1,1.2,1.3,24.9,5.6
Jordan Veretout,Marseille,54,3.8,1.7,43.6,4.8
Baptiste Santamaría,Rennes,52.3,3.9,1.7,40.8,5.9
Rafael Ratão,Toulouse,24.2,0.8,0.4,18.1,5
Frédéric Guilbert,Strasbourg,36.4,1.5,2.2,26.4,6.3
Axel Disasi,Monaco,50.5,3.7,3.4,38.6,4.8
Samuel Gigot,Marseille,43.1,1.2,1.9,36.5,3.6
Breel Embolo,Monaco,13.6,0.3,0.1,9.3,4
Adrien Truffert,Rennes,40.5,1,1.8,31.8,6
Ismaily,Lille,42.5,0.5,1.2,34,6.9
Corentin Tolisso,Lyon,63.6,4.6,1.1,51.9,6
Jaouen Hadjam,Nantes,28.9,1,1.1,22.5,4.4
Alexis Flips,Reims,25.2,1.6,1.5,16.7,5.4
Mory Diaw,Clermont Foot,34.9,8.4,10.9,14.9,0.6
Nathan Zézé,Nantes,26,1,2,17,6
Hamari Traoré,Rennes,51.2,2.1,2,42.4,4.7
Djed Spence,Rennes,33.5,0.4,0.8,29.4,3
Sergio Ramos,Paris Saint-Germain,75.5,4.8,1.3,66.8,2.6
Jordan Lotomba,Nice,34.7,0.6,0.8,29,4.3
Chancel Mbemba,Marseille,46.2,1.8,2.2,37.2,5
Angelo Fulgini,Lens,25.4,0.9,0.7,20.2,3.6
Stijn Spierings,Toulouse,57,3.9,2.4,45.1,5.6
Pau López,Marseille,29.7,5.4,6.9,17.2,0.2
Alban Lafont,Nantes,26.7,6.1,9.3,11.2,0.1
Luis Suárez,Marseille,11.1,0.4,0,7.1,3.6
Florian Tardieu,Troyes,47.1,3.7,1.5,38.8,3.1
Mikkel Desler,Toulouse,48.8,1.3,1.6,40.7,5.1
Facundo Medina,Lens,76.8,3,2.5,66.7,4.6
Maxime Dupé,Toulouse,28.8,4.8,6.8,16.8,0.3
Adam Ounas,Lille,23,1.3,0.3,17,4.4
Brendan Chardonnet,Brest,43.5,4.9,5.1,30.3,3.2
Montassar Talbi,Lorient,51.7,1.8,3,44.2,2.6
Andrei Radu,Auxerre,31.3,8.1,14.6,8.4,0.2
Johan Gastien,Clermont Foot,65.3,5.3,3,50,7
Alexsandro Ribeiro,Lille,60.1,2.5,2.1,52.1,3.4
Salis Abdul Samed,Lens,59.4,1.4,0.9,53.5,3.5
Emmanuel Agbadou,Reims,51.1,3.7,2.9,40.3,4.2
Kasper Schmeichel,Nice,29.7,7.4,6.9,14.9,0.5
Jean-Clair Todibo,Nice,63.8,3.1,3.9,53.6,3.1
Mohamed Camara,Monaco,43.8,3.4,1.4,35,4
Krépin Diatta,Monaco,22.4,0.4,0.4,17.4,4.2
Himad Abdelli,Angers,40.1,2.1,1,32,5
Rominigue Kouamé,Troyes,43.6,2.3,0.6,36.6,4.2
Brice Samba,Lens,29.6,6.2,7.7,15.4,0.3
Arnaud Nordin,Montpellier,16.6,0.5,0.2,12.4,3.4
Danilo Pereira,Paris Saint-Germain,61.8,2.5,0.9,56,2.5
Guillermo Maripán,Monaco,44.6,3,1.9,36,3.7
Nordi Mukiele,Paris Saint-Germain,31.7,0.6,0.5,27.4,3.2
Youcef Atal,Nice,22.4,1.2,0.9,17.6,2.8
Melvin Bard,Nice,37.3,1.2,1,29.5,5.6
Sinaly Diomandé,Lyon,58.8,2.4,2.7,47.9,5.8
Alidu Seidu,Clermont Foot,43.7,2.2,2.6,35.7,3.1
Faitout Maouassa,Montpellier,14.3,0.5,1.3,9.5,3
Jimmy Cabot,Lens,23,1.2,0.9,18,2.9
Sead Kolasinac,Marseille,38.3,0.8,0.8,32.3,4.4
Vitinha,Paris Saint-Germain,53.4,1.3,0.4,48.1,3.7
Christopher Jullien,Montpellier,35.3,2.7,2.1,26.7,3.9
Saîf-Eddine Khaoui,Clermont Foot,19.1,0.7,1,13.3,4.2
Jérémy Le Douaron,Brest,11,0.1,0.1,7.9,2.9
Azzedine Ounahi,Angers,40.4,2.3,0.8,33.3,3.9
Castello Lukeba,Lyon,65.9,2.1,2.2,57.4,4.2
Mama Baldé,Troyes,16.7,0.6,0.3,10.7,5
Gideon Mensah,Auxerre,44.2,2.5,3,32.7,6
Ante Palaversa,Troyes,7.5,0.5,0,6.5,0.5
Sofiane Diop,Nice,29.6,1.2,0.4,23.2,4.8
Jubal,Auxerre,36.2,3.8,3.4,25.8,3.2
Leonardo Balerdi,Marseille,46.9,3.1,2.8,36.4,4.6
Quentin Merlin,Nantes,37.3,2.6,3,26.5,5.3
Badredine Bouanani,Nice,17.1,0.9,0.6,13.3,2.2
Lovro Majer,Rennes,28,1.1,0.9,21.9,4.1
Laurent Abergel,Lorient,50.8,2.3,1.6,42.8,4.1
Deiver Machado,Lens,20.3,0.4,0.5,17,2.4
Warmed Omari,Rennes,61.3,3.7,1.3,53.3,3.1
Marquinhos,Paris Saint-Germain,65.2,1.9,0.8,60.3,2.2
Théo Sainte-Luce,Montpellier,22.1,0.1,0.8,18.6,2.7
Lucien Agoumé,Troyes,48.7,2.5,2.1,38.2,5.9
Désiré Doué,Rennes,16.2,0.9,0.2,12.3,2.8
Vito Mannone,Lorient,26.8,3.8,7.4,15.3,0.2
Mario Lemina,Nice,45.1,1.6,2.1,39,2.4
Angel Gomes,Lille,47.6,3,1.7,38.8,4.1
Arthur Theate,Rennes,73,3.7,3.2,61.8,4.4
André Gomes,Lille,50.5,2.5,1.4,42.5,4
Steve Mandanda,Rennes,30.8,6.4,8.2,15.8,0.4
Marco Bizot,Brest,25.2,6.2,7.9,11,0.1
Zakaria Aboukhlal,Toulouse,19.5,0.2,0.4,14.8,4.1
Farès Chaïbi,Toulouse,26.1,1.2,1,18.8,5.1
Jean-Charles Castelletto,Nantes,41.4,2.2,2.8,32.2,4.3
Aaron Ramsey,Nice,37.7,2.5,1,30.6,3.6
Tiago Djaló,Lille,62.9,2.6,1.4,55.9,2.9
Gédéon Kalulu,Lorient,40.2,1.9,2.5,31,4.7
Han-Noah Massengo,Auxerre,31.7,1.1,0.5,26.2,3.9
Nuno da Costa,Auxerre,11.1,0.6,0.3,7.2,3
Anthony Lopes,Lyon,27.7,4.8,6.9,15.8,0.2
Andy Delort,Nice,15.2,0.7,0.5,9.1,4.9
Jeffinho,Lyon,18.7,0.1,0,16,2.6
Alexander Nübel,Monaco,24.7,6.8,7.3,10.4,0.2
Jonas Omlin,Montpellier,24.1,4.5,8.1,11.2,0.3
Karl Toko-Ekambi,Rennes,16.4,0.2,0.2,11.9,4.1
Youssouf Ndayishimiye,Nice,37,1.7,1.1,31.8,2.4
Joris Chotard,Montpellier,30.1,2.1,1.5,22.4,4.1
Bamo Meïté,Lorient,51.9,1.1,2.4,45.4,3
Nicolas Pallois,Nantes,44.5,3.7,4,33.5,3.2
Dimitri Payet,Marseille,19,1.5,0.3,13.8,3.5
Bafodé Diakité,Lille,51.1,1.3,1.1,44.6,4.2
Chrislain Matsima,Monaco,26.4,0.9,1.4,21.9,2.3
Jeanuël Belocian,Rennes,34.8,0.9,0.8,30.3,2.9
Quentin Bernard,Auxerre,49,4,4.6,36.1,4.3
Lilian Brassier,Brest,41.5,4.4,5.1,28.1,3.9
Anthony Rouault,Toulouse,55.4,3.5,3.5,44.9,3.4
Maximiliano Caufriez,Clermont Foot,43.1,2.5,1.5,35.7,3.4
Cheick Keita,Reims,33.4,1.1,1.3,28.1,2.9
Maxime Le Marchand,Strasbourg,45.3,3.1,4.2,33.2,4.9
Issiaga Sylla,Toulouse,38.3,0.9,1,29.2,7.1
Grejohn Kyei,Clermont Foot,13.9,0.5,0.2,9.6,3.6
Thijs Dallinga,Toulouse,13.9,0.3,0.1,8.8,4.8
Ruslan Malinovskyi,Marseille,24.7,1.1,0.5,18.6,4.5
Ismaël Doukouré,Strasbourg,37.3,2.5,2.4,28.6,3.8
Joe Rodon,Rennes,65.6,2.1,1.9,57,4.6
Mostafa Mohamed,Nantes,9.4,0.2,0.2,5.7,3.3
Julien Laporte,Lorient,39.8,3,3.3,31,2.6
Eliesse Ben Seghir,Monaco,22.5,0.5,0.3,17.4,4.3
Gabriel Suazo,Toulouse,39.8,1.3,1.2,32.3,5.1
Vincent Le Goff,Lorient,47,1.2,2.6,38.2,5
Mahdi Camara,Brest,21.8,0.5,0.4,17.9,3
Mattéo Guendouzi,Marseille,37.3,2.2,0.8,30.6,3.7
Hamza Sakhi,Auxerre,31.5,3.7,1.1,23.5,3.1
Lucas Chevalier,Lille,27.7,3.5,7,17,0.2
Flavien Tait,Rennes,35.8,2.4,0.9,28.6,3.9
Arnaud Kalimuendo,Rennes,14.1,0.1,0.1,11.8,2.1
Christopher Wooh,Rennes,47.4,1.3,1.3,42.5,2.3
Xavier Chavalerin,Troyes,30,1.3,1.1,23.8,3.8
Matz Sels,Strasbourg,22.1,5.1,8.6,8.2,0.2
Wahbi Khazri,Montpellier,15.9,1,0.7,10.9,3.3
Quentin Boisgard,Lorient,18,0.2,0,15.6,2.2
Presnel Kimpembe,Paris Saint-Germain,43.8,0.9,0.5,40.3,2.2
Isaak Touré,Auxerre,40.9,2.1,1.5,33.7,3.6
Jens Cajuste,Reims,23.5,1.5,0.9,18,3.2
Thiago Mendes,Lyon,53.3,3.2,3.3,43.2,3.6
Saël Kumbedi,Lyon,30.9,0.9,1.3,25,3.8
Mateusz Wieteska,Clermont Foot,45.8,2.2,3.3,35.7,4.6
Thomas Foket,Reims,41.5,1.8,1,32.7,6
Juan Bernat,Paris Saint-Germain,33.7,0.4,0.2,31.1,2.1
Gauthier Gallon,Troyes,26.8,4.6,10.1,11.8,0.3
Thibault De Smet,Reims,40,1.5,2,30.2,6.4
Kevin Gameiro,Strasbourg,21.3,0.2,0.3,16.9,3.9
Yvon Mvogo,Lorient,25.4,5.2,7.1,12.9,0.1
Jackson Porozo,Troyes,28.2,1.1,2.1,21.9,3.1
Habib Diarra,Strasbourg,20.4,0.6,0.8,15.8,3.2
Birama Touré,Auxerre,39.9,3.5,2.4,28.9,5.1
Lilian Raolisoa,Angers,13.7,0.7,0.7,11.3,1
Lucas Perrin,Strasbourg,30.5,2.2,2.3,23,3.1
Hugo Ekitike,Paris Saint-Germain,13.1,0.2,0.1,10.7,2.2
Jean Lucas,Monaco,25.3,1.8,0.7,20.5,2.3
Cheick Oumar Konaté,Clermont Foot,30.3,1.3,2.7,21,5.3
Dénys Bain,Auxerre,28,1,0,25,2
Rhys Healey,Toulouse,3.8,0,0,2,1.8
Bradley Locko,Reims,23.5,0.9,0.9,18.1,3.5
José Fonte,Lille,63.5,3.9,2.9,53.5,3.3
Yan Valery,Angers,33.5,1.7,2.6,24.5,4.7
Elbasan Rashani,Clermont Foot,20.3,0.3,0.3,16.1,3.7
Ludovic Ajorque,Strasbourg,19.4,0.5,0.2,13.2,5.5
Loïc Badé,Rennes,59,1,3,51,4
Issa Kaboré,Marseille,19.2,0.5,0.6,15.2,2.9
Yahia Fofana,Angers,23.2,4.2,8.7,10.2,0.1
Ignatius Ganago,Nantes,11.6,0.3,0.3,7.2,3.8
Mounaïm El Idrissy,AC Ajaccio,18.6,0.3,0.1,12.5,5.6
Alexis Claude-Maurice,Lens,11.6,0.2,0.3,9.8,1.4
Andreaw Gravillon,Reims,29.8,1.8,2.5,20.8,4.7
Mathias Autret,Auxerre,22.6,2.7,0.9,15.7,3.4
Yusuf Yazici,Lille,21.8,1,0.5,16.8,3.5
Bingourou Kamara,Montpellier,22.2,4.2,8,9.6,0.4
Muhammed Cham,Clermont Foot,25,1,0.5,19.7,3.7
Jordan Ferri,Montpellier,57,4.4,2.5,44.8,5.2
Renaud Ripart,Troyes,16.7,0.2,0.4,11.5,4.6
Moses Simon,Nantes,16.8,0.3,0.4,12.1,4
Thomas Delaine,Strasbourg,21.8,0.3,1.5,14.9,5
Leandro Paredes,Paris Saint-Germain,23.3,1,0,21.7,0.7
