player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Salis Abdul Samed,Lens,0.3,0.1,0.9
Emmanuel Agbadou,Reims,0.5,0.1,0.6
Kasper Schmeichel,Nice,0,0,0
Jean-Clair Todibo,Nice,0.6,0.1,0.6
Mohamed Camara,Monaco,0.2,0,1.3
Krépin Diatta,Monaco,0,0,0.9
Himad Abdelli,Angers,0,0.1,1
Rominigue Kouamé,Troyes,0.3,0,0.7
Brice Samba,Lens,0,0,0
Arnaud Nordin,Montpellier,0,0,0.5
Danilo Pereira,Paris Saint-Germain,0.6,0,0.2
Guillermo Maripán,Monaco,1,0.1,0.5
Nordi Mukiele,Paris Saint-Germain,0.5,0.1,0.7
Youcef Atal,Nice,0,0.1,0.5
Melvin Bard,Nice,0.1,0.2,0.9
Sinaly Diomandé,Lyon,0.5,0.3,0.5
Alidu Seidu,Clermont Foot,0.5,0.1,0.5
Faitout Maouassa,Montpellier,0.1,0.2,0.8
Jimmy Cabot,Lens,0,0.1,0.5
Sead Kolasinac,Marseille,0.1,0,0.5
Vitinha,Paris Saint-Germain,0.1,0.1,0.6
Christopher Jullien,Montpellier,0.6,0.1,0.6
Saîf-Eddine Khaoui,Clermont Foot,0.1,0,0.4
Jérémy Le Douaron,Brest,0.1,0.1,0.8
Azzedine Ounahi,Angers,0,0,0.5
Castello Lukeba,Lyon,0.7,0.1,0.5
Mama Baldé,Troyes,0.1,0,0.8
Gideon Mensah,Auxerre,0.4,0.1,0.9
Ante Palaversa,Troyes,0,0,0
Sofiane Diop,Nice,0.1,0.1,0.5
Jubal,Auxerre,0.9,0.1,0.6
Leonardo Balerdi,Marseille,0.8,0.1,0.5
Quentin Merlin,Nantes,0.2,0.2,1
Badredine Bouanani,Nice,0,0.1,0.2
Lovro Majer,Rennes,0,0,0.6
Laurent Abergel,Lorient,0.3,0.1,1.3
Deiver Machado,Lens,0.1,0.1,0.5
Warmed Omari,Rennes,0.4,0,0.4
Marquinhos,Paris Saint-Germain,0.8,0.1,0.5
Théo Sainte-Luce,Montpellier,0.2,0.1,0.6
Lucien Agoumé,Troyes,0.3,0.3,0.6
Désiré Doué,Rennes,0,0,0.6
Vito Mannone,Lorient,0,0,0
Mario Lemina,Nice,0.4,0.1,0.6
Angel Gomes,Lille,0.1,0,0.6
Arthur Theate,Rennes,0.4,0.1,0.3
André Gomes,Lille,0.2,0,0.6
Steve Mandanda,Rennes,0,0,0
Marco Bizot,Brest,0,0,0
Zakaria Aboukhlal,Toulouse,0,0.1,0.5
Farès Chaïbi,Toulouse,0.1,0.2,0.9
Jean-Charles Castelletto,Nantes,0.7,0.1,0.4
Aaron Ramsey,Nice,0.1,0,0.8
Tiago Djaló,Lille,0.4,0.3,0.2
Gédéon Kalulu,Lorient,0.1,0.3,1
Han-Noah Massengo,Auxerre,0.2,0.1,0.6
Nuno da Costa,Auxerre,0,0.1,0.6
Anthony Lopes,Lyon,0,0,0
Andy Delort,Nice,0,0,0
Jeffinho,Lyon,0,0,0.7
Alexander Nübel,Monaco,0,0,0
Jonas Omlin,Montpellier,0,0,0
Karl Toko-Ekambi,Rennes,0,0,0.3
Youssouf Ndayishimiye,Nice,0.5,0.2,0.3
Joris Chotard,Montpellier,0.3,0.2,0.8
Bamo Meïté,Lorient,1.3,0.1,0.6
Nicolas Pallois,Nantes,0.7,0.2,0.7
Dimitri Payet,Marseille,0,0,0.2
Bafodé Diakité,Lille,0.2,0.2,0.9
Chrislain Matsima,Monaco,0.6,0,0
Jeanuël Belocian,Rennes,0.4,0.3,0.4
Quentin Bernard,Auxerre,0.1,0.1,1.1
Lilian Brassier,Brest,0.5,0.3,0.6
Anthony Rouault,Toulouse,0.7,0,0.7
Maximiliano Caufriez,Clermont Foot,0.7,0.3,0.6
Cheick Keita,Reims,0.6,0,0.1
Maxime Le Marchand,Strasbourg,0.5,0.1,0.3
Issiaga Sylla,Toulouse,0.3,0.3,0.6
Grejohn Kyei,Clermont Foot,0.1,0,0.3
Thijs Dallinga,Toulouse,0.1,0,0.4
Ruslan Malinovskyi,Marseille,0.1,0,0.6
Ismaël Doukouré,Strasbourg,0.3,0,0.6
Joe Rodon,Rennes,0.8,0,0.3
Mostafa Mohamed,Nantes,0,0.1,0.6
Julien Laporte,Lorient,1.4,0.1,0.3
Eliesse Ben Seghir,Monaco,0.1,0.1,0.9
Gabriel Suazo,Toulouse,0.3,0.2,0.9
Vincent Le Goff,Lorient,0.2,0.4,0.5
Mahdi Camara,Brest,0.1,0,1
