player_name,team_name,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals
Loïs Openda,Lens,0.6,0.2,0.4,0
Rayan Cherki,Lyon,0.1,0,0.1,0
Pierre Lees-Melou,Brest,0.2,0,0,0.1
Hicham Boudaoui,Nice,0,0,0,0
Nicolas Pépé,Nice,0.3,0,0.3,0
Jonathan Clauss,Marseille,0.1,0,0.1,0
Jonathan Gradit,Lens,0,0,0,0
Dante,Nice,0,0,0,0
Yunis Abdelhamid,Reims,0,0,0,0
Rasmus Nicolaisen,Toulouse,0,0,0,0
Achraf Hakimi,Paris Saint-Germain,0.2,0,0.1,0.1
Yehvann Diouf,Reims,0,0,0,0
Kevin Danso,Lens,0,0,0,0
Bradley Barcola,Lyon,0.2,0,0.2,0
Marco Verratti,Paris Saint-Germain,0,0,0,0
Vanderson,Monaco,0,0,0,0
Kenny Lala,Brest,0,0,0,0
Tetê,Lyon,0.4,0.1,0.2,0.1
Adrien Thomasson,Lens,0.3,0.1,0.2,0
Alexander Djiku,Strasbourg,0,0,0,0
Caio Henrique,Monaco,0,0,0,0
Karl Toko-Ekambi,Lyon,0.2,0.1,0.2,0
Jonathan Bamba,Lille,0.2,0.1,0.1,0
Dejan Lovren,Lyon,0.1,0,0.1,0
Neto Borges,Clermont Foot,0.1,0.1,0,0
Khéphren Thuram,Nice,0.1,0,0,0
Folarin Balogun,Reims,0.6,0.1,0.5,0
Azor Matusiwa,Reims,0,0,0,0
Mateusz Lis,Troyes,0,0,0,0
Youssouf Fofana,Monaco,0.1,0,0,0
Fabián Ruiz,Paris Saint-Germain,0.1,0,0.1,0
Junya Ito,Reims,0.2,0.1,0.1,0
Romain Del Castillo,Brest,0.2,0,0.2,0
Gianluigi Donnarumma,Paris Saint-Germain,0,0,0,0
Marshall Munetsi,Reims,0.2,0.1,0.1,0
Youcef Belaïli,AC Ajaccio,0.4,0,0.4,0
Paul Joly,Auxerre,0,0,0,0
Cengiz Ünder,Marseille,0.1,0,0.1,0
Elye Wahi,Montpellier,0.6,0.1,0.5,0
Rony Lopes,Troyes,0.2,0,0.2,0.1
Nicolás Tagliafico,Lyon,0,0,0,0
Malo Gusto,Lyon,0,0,0,0
Benoît Badiashile,Monaco,0.2,0,0.2,0
Gaëtan Laborde,Rennes,0.5,0,0.5,0
Morgan Sanson,Strasbourg,0.1,0.1,0,0
Nuno Tavares,Marseille,0.2,0,0.1,0.1
Jordan Veretout,Marseille,0.1,0,0.1,0
Baptiste Santamaría,Rennes,0.1,0,0,0
Rafael Ratão,Toulouse,0.2,0.1,0.1,0
Frédéric Guilbert,Strasbourg,0,0,0,0
Axel Disasi,Monaco,0.1,0,0.1,0
Samuel Gigot,Marseille,0.1,0,0,0
Breel Embolo,Monaco,0.4,0.1,0.3,0
Adrien Truffert,Rennes,0,0,0,0
Ismaily,Lille,0.1,0,0.1,0
Corentin Tolisso,Lyon,0,0,0,0
Jaouen Hadjam,Nantes,0,0,0,0
Alexis Flips,Reims,0.1,0,0.1,0
Mory Diaw,Clermont Foot,0,0,0,0
Nathan Zézé,Nantes,0,0,0,0
Hamari Traoré,Rennes,0,0,0,0
Djed Spence,Rennes,0,0,0,0
Sergio Ramos,Paris Saint-Germain,0.1,0,0.1,0
Jordan Lotomba,Nice,0,0,0,0
Chancel Mbemba,Marseille,0.1,0.1,0.1,0
Angelo Fulgini,Lens,0.1,0,0.1,0
Stijn Spierings,Toulouse,0.1,0,0,0
Pau López,Marseille,0,0,0,0
Alban Lafont,Nantes,0,0,0,0
Luis Suárez,Marseille,0.4,0.1,0.3,0
Florian Tardieu,Troyes,0.2,0,0.2,0
Mikkel Desler,Toulouse,0,0,0,0
Facundo Medina,Lens,0.1,0,0,0
Maxime Dupé,Toulouse,0,0,0,0
Adam Ounas,Lille,0,0,0,0
Brendan Chardonnet,Brest,0,0,0,0
