player_name,team_name,Yellow,Red
Mama Baldé,Troyes,0.1,0.1
Gideon Mensah,Auxerre,0.2,0
Ante Palaversa,Troyes,0,0
Sofiane Diop,Nice,0,0
Jubal,Auxerre,0.2,0
Leonardo Balerdi,Marseille,0.3,0
Quentin Merlin,Nantes,0.1,0
Badredine Bouanani,Nice,0,0
Lovro Majer,Rennes,0.1,0
Laurent Abergel,Lorient,0.2,0
Deiver Machado,Lens,0.2,0
Warmed Omari,Rennes,0.1,0.1
Marquinhos,Paris Saint-Germain,0.1,0
Théo Sainte-Luce,Montpellier,0,0
Lucien Agoumé,Troyes,0.4,0
Désiré Doué,Rennes,0.2,0
Vito Mannone,Lorient,0.1,0
Mario Lemina,Nice,0.1,0.1
Angel Gomes,Lille,0.3,0
Arthur Theate,Rennes,0.1,0
André Gomes,Lille,0.2,0
Steve Mandanda,Rennes,0,0
Marco Bizot,Brest,0.1,0
Zakaria Aboukhlal,Toulouse,0.1,0
Farès Chaïbi,Toulouse,0.1,0
Jean-Charles Castelletto,Nantes,0.1,0
Aaron Ramsey,Nice,0.1,0
Tiago Djaló,Lille,0.3,0
Gédéon Kalulu,Lorient,0.2,0
Han-Noah Massengo,Auxerre,0.2,0
Nuno da Costa,Auxerre,0.1,0
Anthony Lopes,Lyon,0.1,0
Andy Delort,Nice,0,0
Jeffinho,Lyon,0.1,0
Alexander Nübel,Monaco,0.1,0
Jonas Omlin,Montpellier,0.1,0.1
Karl Toko-Ekambi,Rennes,0,0
Youssouf Ndayishimiye,Nice,0.2,0
Joris Chotard,Montpellier,0.1,0
Bamo Meïté,Lorient,0.3,0
Nicolas Pallois,Nantes,0.1,0
Dimitri Payet,Marseille,0,0
Bafodé Diakité,Lille,0.2,0
Chrislain Matsima,Monaco,0,0
Jeanuël Belocian,Rennes,0.1,0
Quentin Bernard,Auxerre,0,0
Lilian Brassier,Brest,0.1,0
Anthony Rouault,Toulouse,0.1,0
Maximiliano Caufriez,Clermont Foot,0.3,0
Cheick Keita,Reims,0.1,0
Maxime Le Marchand,Strasbourg,0.2,0
Issiaga Sylla,Toulouse,0.2,0
Grejohn Kyei,Clermont Foot,0.1,0
Thijs Dallinga,Toulouse,0.1,0
Ruslan Malinovskyi,Marseille,0.2,0
Ismaël Doukouré,Strasbourg,0.2,0
Joe Rodon,Rennes,0.1,0.1
Mostafa Mohamed,Nantes,0,0
Julien Laporte,Lorient,0.1,0
Eliesse Ben Seghir,Monaco,0.1,0
Gabriel Suazo,Toulouse,0.1,0
Vincent Le Goff,Lorient,0,0
Mahdi Camara,Brest,0.1,0
Mattéo Guendouzi,Marseille,0.1,0
Hamza Sakhi,Auxerre,0,0
Lucas Chevalier,Lille,0,0
Flavien Tait,Rennes,0.1,0
Arnaud Kalimuendo,Rennes,0,0
Christopher Wooh,Rennes,0.3,0
Xavier Chavalerin,Troyes,0.1,0
Matz Sels,Strasbourg,0.1,0
Wahbi Khazri,Montpellier,0.2,0
Quentin Boisgard,Lorient,0.2,0
Presnel Kimpembe,Paris Saint-Germain,0.3,0
Isaak Touré,Auxerre,0.2,0.1
Jens Cajuste,Reims,0.2,0
Thiago Mendes,Lyon,0.1,0
Saël Kumbedi,Lyon,0.4,0
Mateusz Wieteska,Clermont Foot,0.2,0
Thomas Foket,Reims,0,0
Juan Bernat,Paris Saint-Germain,0,0
Gauthier Gallon,Troyes,0.1,0
Thibault De Smet,Reims,0.1,0
Kevin Gameiro,Strasbourg,0,0
Yvon Mvogo,Lorient,0,0
Jackson Porozo,Troyes,0.1,0
Habib Diarra,Strasbourg,0.1,0
Birama Touré,Auxerre,0.1,0
Lilian Raolisoa,Angers,0,0
Lucas Perrin,Strasbourg,0.2,0
Hugo Ekitike,Paris Saint-Germain,0,0
Jean Lucas,Monaco,0,0
Cheick Oumar Konaté,Clermont Foot,0.2,0
Dénys Bain,Auxerre,0,0
Rhys Healey,Toulouse,0.3,0
Bradley Locko,Reims,0.2,0.1
José Fonte,Lille,0.2,0
Yan Valery,Angers,0.1,0
Elbasan Rashani,Clermont Foot,0.1,0
Ludovic Ajorque,Strasbourg,0.1,0
Loïc Badé,Rennes,1,0
Issa Kaboré,Marseille,0,0
Yahia Fofana,Angers,0.2,0
Ignatius Ganago,Nantes,0,0
Mounaïm El Idrissy,AC Ajaccio,0.3,0
Alexis Claude-Maurice,Lens,0,0
Andreaw Gravillon,Reims,0.2,0
Mathias Autret,Auxerre,0,0
Yusuf Yazici,Lille,0,0
Bingourou Kamara,Montpellier,0.2,0
Muhammed Cham,Clermont Foot,0.1,0
Jordan Ferri,Montpellier,0.1,0
Renaud Ripart,Troyes,0.2,0
Moses Simon,Nantes,0.1,0
Thomas Delaine,Strasbourg,0.2,0
Leandro Paredes,Paris Saint-Germain,0,0
Maxime Gonalons,Clermont Foot,0.1,0
Faouzi Ghoulam,Angers,0,0
Jean-Kévin Duverne,Brest,0.1,0
Ross Barkley,Nice,0,0
Nicolas Cozza,Montpellier,0.2,0
Stephy Mavididi,Montpellier,0,0
Jean-Louis Leca,Lens,0,0
Amine Harit,Marseille,0.2,0
Henrique,Lyon,0,0
Rémy Riou,Lyon,0,0
Edan Diop,Monaco,0,0
David Pereira da Costa,Lens,0.1,0
Maxime Esteve,Montpellier,0.1,0
Timothy Weah,Lille,0.1,0
Gabriel Gudmundsson,Lille,0.2,0
Mohamed Youssouf,AC Ajaccio,0.2,0
Igor Silva,Lorient,0.3,0.1
Noah Fadiga,Brest,0.1,0
Falaye Sacko,Montpellier,0.1,0
Dimitri Liénard,Strasbourg,0.1,0
Florent Mollet,Nantes,0.2,0
Antoine Mendy,Nice,0,0
Pedro Chirivella,Nantes,0,0
Akim Zedadka,Auxerre,0.3,0
Rayan Raveloson,Auxerre,0,0
Pape Gueye,Marseille,0.1,0
Ronaël Pierre-Gabriel,Strasbourg,0.2,0
Kamory Doumbia,Reims,0,0
Haris Belkebla,Brest,0.1,0
Evann Guessand,Nantes,0.1,0
Brecht Dejaegere,Toulouse,0.2,0
Jean Onana,Lens,0.1,0
Kenji-Van Boto,Auxerre,0,0
Yohann Magnin,Clermont Foot,0.2,0
Johann Lepenant,Lyon,0.1,0
Mickaël Barreto,AC Ajaccio,0.1,0
Vincent Marchetti,AC Ajaccio,0.2,0
Arkadiusz Milik,Marseille,0.5,0
Bamba Dieng,Lorient,0.1,0
Lesley Ugochukwu,Rennes,0.1,0
Théo Le Bris,Lorient,0,0
Sanjin Prcic,Strasbourg,0.1,0
Gerson,Marseille,0.1,0
Massadio Haïdara,Lens,0.1,0
Xeka,Rennes,0.1,0
Aiman Maurer,Clermont Foot,0,0
Youssouf Koné,AC Ajaccio,0.3,0
Gaetan Perrin,Auxerre,0,0
Kamaldeen Sulemana,Rennes,0.1,0
Reda Belahyane,Nice,0,0
Damien Da Silva,Lyon,0.3,0
Abdu Conté,Troyes,0.1,0
Ibrahima Koné,Lorient,0.1,0
Carlos Soler,Paris Saint-Germain,0,0
Yuito Suzuki,Strasbourg,0,0
Hugo Magnetti,Brest,0.1,0
Mehdi Zeffane,Clermont Foot,0.1,0
Stéphane Diarra,Lorient,0,0
Mathias Pereira Lage,Brest,0.1,0
Jim Allevinah,Clermont Foot,0.1,0
Wesley Saïd,Lens,0.1,0
Léo Leroy,Montpellier,0.3,0
Achraf Dari,Brest,0.1,0
Kays Ruiz-Atil,Auxerre,1,0
Yasser Larouci,Troyes,0,0
Warren Kamanzi,Toulouse,0.1,0
Myziane Maolida,Reims,0,0
Leny Yoro,Lille,0,0
Fernand Mayembo,AC Ajaccio,0.1,0
Colin Dagba,Strasbourg,0.1,0
Bradley Locko,Brest,0,0
Takumi Minamino,Monaco,0.1,0
Eduard Sobol,Strasbourg,0.1,0
Rudy Kohon,Troyes,0,0
Bevic Moussiti-Oko,AC Ajaccio,0.1,0
Jean-Victor Makengo,Lorient,0,0.1
Gerzino Nyamsi,Strasbourg,0.2,0.1
Renato Sanches,Paris Saint-Germain,0,0
Jean-Eudes Aholou,Strasbourg,0.1,0
Yoann Salmier,Troyes,0.2,0
Mattia Viti,Nice,0,0
Wilson Odobert,Troyes,0,0
Jere Uronen,Brest,0,0
Rubén Blanco,Marseille,0,0
Kevin Volland,Monaco,0.1,0
Dion Lopy,Reims,0.1,0.1
Jodel Dossou,Clermont Foot,0,0
Darlin Yongwa,Lorient,0.1,0
Houssem Aouar,Lyon,0.1,0
Jean-Claude Billong,Clermont Foot,0,0
Miha Blazic,Angers,0.2,0
Logan Costa,Toulouse,0,0
Samuel Moutoussamy,Nantes,0.2,0
Calvin Stengs,Nice,0,0
Adil Rami,Troyes,0.1,0
Ibrahima Sissoko,Strasbourg,0,0
Cédric Bakambu,Marseille,0,0
Ibrahim Diakité,Reims,0.3,0
Youcef Belaïli,Brest,0.5,0
Soungoutou Magassa,Monaco,0,0
Paul Bernardoni,Angers,0,0
Julian Jeanvier,Auxerre,0.1,0
Jeff Reine-Adélaïde,Lyon,0.1,0
Lassine Sinayoko,Auxerre,0,0
Pablo Rosario,Nice,0.2,0
Adrien Thomasson,Strasbourg,0.1,0
Julien Ponceau,Lorient,0,0
Souleyman Doumbia,Angers,0.1,0
Cyrille Bayala,AC Ajaccio,0.1,0
Akim Zedadka,Lille,0.1,0
Arbër Zeneli,Reims,0,0
Billal Brahimi,Nice,0,0
Oumar Gonzalez,AC Ajaccio,0.3,0
Vincent Sierro,Toulouse,0.2,0
Sacha Delaye,Montpellier,0,0
Siriki Dembélé,Auxerre,0.1,0
Moussa Sissoko,Nantes,0.1,0
Thierno Baldé,Troyes,0,0
Alexandre Coeff,Auxerre,0,0
Matis Carvalho,Montpellier,0,0
Yoann Cathline,Lorient,0,0
Ibrahima Niané,Angers,0.3,0
Abdallah Sima,Angers,0,0
Christophe Hérelle,Brest,0.1,0
Brayann Pereira,Auxerre,0,0
Birger Meling,Rennes,0.1,0
Wout Faes,Reims,0.7,0
Bamba Dieng,Marseille,0.1,0
Adrien Hunou,Angers,0.1,0
Cédric Hountondji,Angers,0.2,0
Vítinha,Marseille,0,0
Eric Bailly,Marseille,0.1,0
Tanguy Zoukrou,Troyes,0,0
Pierrick Capelle,Angers,0.3,0
Romain Faivre,Lyon,0,0
Franci Bouebari,Strasbourg,0,0
Ismaël Diallo,AC Ajaccio,0.3,0
Batista Mendy,Angers,0.2,0
Amine Salama,Angers,0,0
Mitchell van Bergen,Reims,0,0
Amine Gouiri,Nice,0,0
Mickaël Alphonse,AC Ajaccio,0.1,0
Moussa Diarra,Toulouse,0,0
Denis Genreau,Toulouse,0.2,0
Rémy Descamps,Nantes,0.5,0
Jeff Reine-Adélaïde,Troyes,0,0
João Victor,Nantes,0.4,0
Komnen Andric,Clermont Foot,0.1,0
Ruben Aguilar,Monaco,0.2,0
Maxime Busi,Reims,0.2,0
Khalil Fayad,Montpellier,0,0
Dennis Appiah,Nantes,0.1,0
Bonke Innocent,Lorient,0.2,0
Erik Palmer-Brown,Troyes,0.1,0
Amin Sarr,Lyon,0,0
Timothée Pembélé,Paris Saint-Germain,0,0
Florent Ogier,Clermont Foot,0.2,0
Nordine Kandil,Strasbourg,0,0
Jérôme Boateng,Lyon,0,0
Gauthier Hein,Auxerre,0,0
Azzedine Ounahi,Marseille,0,0
Arnaud Souquet,Montpellier,0.1,0
Thomas Mangani,AC Ajaccio,0.2,0
Moussa Dembélé,Lyon,0,0
Benoît Costil,Auxerre,0,0
Alexis Beka Beka,Nice,0.1,0
Enzo Tchato,Montpellier,0,0
Marcus Coco,Nantes,0.1,0
Malang Sarr,Monaco,0.2,0
Romain Hamouma,AC Ajaccio,0.1,0.1
Papa Ndiaga Yade,Troyes,0.1,0.1
Farid El Melali,Angers,0.1,0
M'Baye Niang,Auxerre,0.1,0.1
Warren Zaïre-Emery,Paris Saint-Germain,0,0
Gelson Martins,Monaco,0,0
Mamadou Sakho,Montpellier,0.1,0
Julien Le Cardinal,Lens,0,0
Clément Vidal,AC Ajaccio,0.2,0
Ibrahim Salah,Rennes,0,0
Myron Boadu,Monaco,0,0
Youssouf M'Changama,Auxerre,0,0
Mohamed Bayo,Lille,0,0
Eliot Matazo,Monaco,0.1,0
Ayoub Amraoui,Nice,0.1,0
Maghnes Akliouche,Monaco,0.3,0
Steven Fortès,Lens,0,0
Andy Delort,Nantes,0,0
Jérémie Bela,Clermont Foot,0,0
Ismail Jakobs,Monaco,0.1,0
Yanis Cimignani,AC Ajaccio,0,0
Fallou Fall,Reims,1,0
Kévin Danois,Auxerre,0,0
Carlos Baleba,Lille,0.2,0.1
Sada Thioub,Angers,0.1,0
Andreas Bruus,Troyes,0.1,0
Rares Ilie,Nice,0,0
Kevin Spadanuda,AC Ajaccio,0.1,0
Sébastien Corchia,Nantes,0.1,0
Benjamin Leroy,AC Ajaccio,0,0
Marcin Bulka,Nice,0,0
Siriné Doucouré,Lorient,0,0
Ismaël Boura,Lens,0,0
Pablo Sarabia,Paris Saint-Germain,0.1,0
Alexis Claude-Maurice,Nice,0,0
Ibrahim Amadou,Angers,0.3,0
Oliver Zandén,Toulouse,0,0
Souleymane Cissé,Clermont Foot,0,0
Islam Slimani,Brest,0.3,0
Charles Traoré,Nantes,0.2,0
Mathieu Coutadeur,AC Ajaccio,0.1,0
Riad Nouri,AC Ajaccio,0.1,0
Ruan,AC Ajaccio,0,0
Arial Mendy,Clermont Foot,0,0
Taïryk Arconte,Brest,0,0
Valère Germain,Montpellier,0,0
Matthis Abline,Auxerre,0.1,0
Halid Sabanovic,Angers,0.1,0.1
Lebo Mothiba,Strasbourg,0,0
Ado Onaiwu,Toulouse,0,0
Lukasz Poreba,Lens,0.1,0
Matthis Abline,Rennes,0,0
Jonas Martin,Lille,0.2,0
Ayman Kari,Lorient,0,0
Lois Diony,Angers,0.1,0
Abdoulaye Bamba,Angers,0.1,0
Gaëtan Charbonnier,Auxerre,0.2,0
Iké Ugbo,Troyes,0,0
Serhou Guirassy,Rennes,0,0
Lorenz Assignon,Rennes,0.3,0
Mehdi Puch-Herrantz,AC Ajaccio,0,0
Fábio,Nantes,0.2,0.2
Ismaël Gharbi,Paris Saint-Germain,0.2,0
Karol Fila,Strasbourg,0,0
Tony Strata,AC Ajaccio,0.3,0
Cédric Avinel,AC Ajaccio,0.1,0
Theocharis Tsingaras,Toulouse,0,0
Justin-Noel Kalumba,Angers,0,0
Gaël Kakuta,Lens,0,0
Amar Fatah,Troyes,0,0
Joe Bryan,Nice,0.5,0
Marin Jakolis,Angers,0,0
Martin Adeline,Reims,0.4,0
Kyliane Dong,Troyes,0,0
Flavius Daniliuc,Nice,0,0
Théo Pellenard,Auxerre,0,0
Lohann Doucet,Nantes,0,0
Qazim Laçi,AC Ajaccio,0,0
Derek Mazou-Sacko,Troyes,0,0
Antonin Bobichon,Angers,0,0
Axel Camblan,Brest,0,0
Ousmane Camara,Angers,0.2,0
Adil Aouchiche,Lorient,0,0
Duje Caleta-Car,Marseille,0,0
Rémy Dugimont,Auxerre,0.1,0
Mohamed Achi,Nantes,0,0
Alexis Tibidi,Troyes,0,0
Ben Touré,AC Ajaccio,0,0
Samuel Koeberlé,Reims,0,0
Yanis Massolin,Clermont Foot,0,0
Waniss Taïbi,Angers,0.1,0
Chrislain Matsima,Lorient,0,0
Stredair Appuah,Nantes,0,0
Ivane Chegra,AC Ajaccio,0,0
Noah Holm,Reims,0.1,0
Félix Lemaréchal,Brest,0.2,0
Mamadou Diakhon,Reims,0,0
Ilyés Chétti,Angers,0.2,0
Jean-Mattéo Bahoya,Angers,0,0
Brandon Baiye,Clermont Foot,0,0
Eli Kroupi,Lorient,0,0
Marvin Senaya,Strasbourg,0,0
Rémy Labeau-Lascary,Lens,0,0
Marlos Moreno,Troyes,0,0
El Chadaille Bitshiabu,Paris Saint-Germain,0.2,0
Veljko Birmancevic,Toulouse,0,0
Valentin Atangana Edoa,Reims,0,0
Tristan Dingomé,Troyes,0,0
Dogan Alemdar,Rennes,0.2,0
Mohamed Touré,Reims,0,0
Kaj Sierhuis,Reims,0,0
Abdoul Kader Bamba,Nantes,0,0.2
Patrick Pentz,Reims,0.1,0
Jean Botué,AC Ajaccio,0,0
Hianga'a M'Bock,Brest,0,0
Naatan Skyttä,Toulouse,0,0
Baïla Diallo,Clermont Foot,0,0
Alan Virginius,Lille,0.1,0
Nathanaël Mbuku,Reims,0,0
Zinédine Ould Khaled,Angers,0,0
Ousmane Camara,Auxerre,0.3,0
Moussa Soumano,AC Ajaccio,0.2,0
Ilyes Housni,Paris Saint-Germain,0,0
Guela Doué,Rennes,0,0
Béni Makouana,Montpellier,0.1,0
Karamoko Dembélé,Brest,0,0
Sérigné Faye,Montpellier,0,0
Mamadou Sarr,Lyon,0,0
Florian Chabrolle,AC Ajaccio,0.1,0
Irvin Cardona,Brest,0,0
Rafik Guitane,Reims,0,0
Thibault Tamas,Montpellier,0,0
Alberth Elis,Brest,0,0
El Bilal Touré,Reims,0,0
Jason Berthomier,Clermont Foot,0,0
Alan Do Marcolino,Rennes,0,0
Kévin Keben,Toulouse,0.1,0
Christopher Wooh,Lens,0,0
Isaak Touré,Marseille,0.2,0
Yanis Begraoui,Toulouse,0,0
Saïd Hamulic,Toulouse,0.2,0
Alexandre Letellier,Paris Saint-Germain,0,0
Amine Messoussa,Lille,0,0
Andréa Dacourt,Nice,0,0
Axel Gueguin,Montpellier,0,0
Mohamed El Arouch,Lyon,0,0
Paolo Lebas,AC Ajaccio,0,0
Romain Salin,Rennes,0,1
Simon Ramet,Lille,0,0
Théo Trinker,Nice,0,0
Danel Dongmo,Troyes,0,0
Yoann Touzghar,AC Ajaccio,0,0.1
Adrian Grbic,Lorient,0,0
Ignatius Ganago,Lens,0,0
Adam Buksa,Lens,0,0
Moussa Djitté,AC Ajaccio,0,0
Patrick Berg,Lens,0,0
Anthony Khelifa,AC Ajaccio,0,0
Dany Jean,Strasbourg,0,0
Jason Mbock,Angers,0,0
Salim Ben Seghir,Marseille,0,0
François Mughe,Marseille,0,0
François-Joseph Sollacaro,AC Ajaccio,0.1,0
Ouparine Djoco,Clermont Foot,0,0
Mathis Hamdi,Troyes,0,0
Pedro Mendes,Montpellier,0,0
Léo Jardim,Lille,0,0
Christian Mawissa,Toulouse,0.5,0
