player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Brendan Chardonnet,Brest,1.5,0.6,2.1
Montassar Talbi,Lorient,1.4,0.3,1.7
Andrei Radu,Auxerre,0,0,0
Johan Gastien,Clermont Foot,2,2.4,4.4
Alexsandro Ribeiro,Lille,1.5,0.4,2
Salis Abdul Samed,Lens,1.4,0.7,2.1
Emmanuel Agbadou,Reims,2.4,0.8,3.2
Kasper Schmeichel,Nice,0,0.1,0.1
Jean-Clair Todibo,Nice,2.2,0.4,2.7
Mohamed Camara,Monaco,2.9,1.5,4.4
Krépin Diatta,Monaco,1,0.6,1.6
Himad Abdelli,Angers,2.1,1.2,3.3
Rominigue Kouamé,Troyes,1.4,0.8,2.1
Brice Samba,Lens,0,0,0.1
Arnaud Nordin,Montpellier,0.7,0.4,1.2
Danilo Pereira,Paris Saint-Germain,1,0.2,1.2
Guillermo Maripán,Monaco,1.8,0.6,2.4
Nordi Mukiele,Paris Saint-Germain,1.6,0.5,2.2
Youcef Atal,Nice,2.1,0.5,2.6
Melvin Bard,Nice,2.9,0.9,3.8
Sinaly Diomandé,Lyon,1.8,0.8,2.5
Alidu Seidu,Clermont Foot,1.9,0.7,2.6
Faitout Maouassa,Montpellier,1.6,0.7,2.3
Jimmy Cabot,Lens,1.8,1.3,3.1
Sead Kolasinac,Marseille,1.6,0.4,2
Vitinha,Paris Saint-Germain,1.6,1.6,3.2
Christopher Jullien,Montpellier,1.5,0.8,2.3
Saîf-Eddine Khaoui,Clermont Foot,1.4,0.9,2.3
Jérémy Le Douaron,Brest,0.5,0.8,1.2
Azzedine Ounahi,Angers,1.3,0.7,1.9
Castello Lukeba,Lyon,1.1,0.3,1.4
Mama Baldé,Troyes,1.4,0.4,1.8
Gideon Mensah,Auxerre,3.1,1.3,4.3
Ante Palaversa,Troyes,0.5,0,0.5
Sofiane Diop,Nice,1,0.6,1.6
Jubal,Auxerre,1.1,0.5,1.6
Leonardo Balerdi,Marseille,1.6,0.4,2
Quentin Merlin,Nantes,1.3,0.8,2.1
Badredine Bouanani,Nice,0.7,0.4,1.1
Lovro Majer,Rennes,1.1,0.7,1.7
Laurent Abergel,Lorient,3.2,1.8,5
Deiver Machado,Lens,1.4,0.4,1.8
Warmed Omari,Rennes,1.3,0.9,2.1
Marquinhos,Paris Saint-Germain,1,0.2,1.2
Théo Sainte-Luce,Montpellier,1.4,0.8,2.2
Lucien Agoumé,Troyes,2.8,1.1,3.9
Désiré Doué,Rennes,1.4,0.7,2.2
Vito Mannone,Lorient,0,0,0
Mario Lemina,Nice,2.3,0.4,2.7
Angel Gomes,Lille,1.1,0.9,2
Arthur Theate,Rennes,0.8,0.4,1.2
André Gomes,Lille,1.4,1.3,2.7
Steve Mandanda,Rennes,0,0.1,0.1
Marco Bizot,Brest,0,0,0
Zakaria Aboukhlal,Toulouse,0.9,0.8,1.7
Farès Chaïbi,Toulouse,0.9,0.9,1.8
Jean-Charles Castelletto,Nantes,1.3,0.4,1.8
Aaron Ramsey,Nice,1.7,0.9,2.6
Tiago Djaló,Lille,1.2,0.3,1.5
Gédéon Kalulu,Lorient,2.2,0.6,2.8
Han-Noah Massengo,Auxerre,1.9,0.6,2.6
Nuno da Costa,Auxerre,1.4,1.1,2.4
Anthony Lopes,Lyon,0,0.1,0.1
Andy Delort,Nice,0.1,0.1,0.2
Jeffinho,Lyon,1.9,1,2.9
Alexander Nübel,Monaco,0,0,0
Jonas Omlin,Montpellier,0.1,0,0.1
Karl Toko-Ekambi,Rennes,0.2,0.4,0.5
Youssouf Ndayishimiye,Nice,1.3,0.5,1.8
Joris Chotard,Montpellier,1.8,1.1,2.9
Bamo Meïté,Lorient,1,0.5,1.5
Nicolas Pallois,Nantes,2.7,1.1,3.7
Dimitri Payet,Marseille,0.3,0.3,0.5
Bafodé Diakité,Lille,1.6,0.8,2.4
Chrislain Matsima,Monaco,1.4,0.4,1.8
Jeanuël Belocian,Rennes,1.3,0.5,1.8
Quentin Bernard,Auxerre,1.3,1.1,2.4
Lilian Brassier,Brest,1.2,0.3,1.4
Anthony Rouault,Toulouse,1.8,0.8,2.5
Maximiliano Caufriez,Clermont Foot,1.5,0.3,1.8
Cheick Keita,Reims,1.3,0.6,1.9
Maxime Le Marchand,Strasbourg,1.5,0.5,2
Issiaga Sylla,Toulouse,1.6,1.1,2.8
Grejohn Kyei,Clermont Foot,0.4,0.2,0.7
Thijs Dallinga,Toulouse,0.2,0.3,0.6
Ruslan Malinovskyi,Marseille,1.1,0.8,1.9
Ismaël Doukouré,Strasbourg,1.7,0.5,2.2
Joe Rodon,Rennes,0.7,0.4,1.1
Mostafa Mohamed,Nantes,0.5,0.3,0.8
Julien Laporte,Lorient,1.1,0.3,1.4
Eliesse Ben Seghir,Monaco,0.9,0.4,1.4
Gabriel Suazo,Toulouse,2.1,1.9,4
Vincent Le Goff,Lorient,2,0.5,2.5
Mahdi Camara,Brest,2,0.6,2.6
Mattéo Guendouzi,Marseille,1.2,0.7,1.9
Hamza Sakhi,Auxerre,1.6,0.7,2.4
Lucas Chevalier,Lille,0.1,0,0.1
Flavien Tait,Rennes,1,0.8,1.8
Arnaud Kalimuendo,Rennes,0.5,0.5,1
Christopher Wooh,Rennes,1.2,0.2,1.4
Xavier Chavalerin,Troyes,2.4,1.3,3.7
Matz Sels,Strasbourg,0.1,0,0.1
Wahbi Khazri,Montpellier,1,0.7,1.7
Quentin Boisgard,Lorient,1.2,0.2,1.4
Presnel Kimpembe,Paris Saint-Germain,1.5,0.4,1.9
Isaak Touré,Auxerre,1.5,0.2,1.7
Jens Cajuste,Reims,1.5,0.7,2.2
Thiago Mendes,Lyon,1.5,0.3,1.9
Saël Kumbedi,Lyon,2.4,0.9,3.3
Mateusz Wieteska,Clermont Foot,1.2,0.4,1.6
Thomas Foket,Reims,1.5,1.2,2.7
Juan Bernat,Paris Saint-Germain,1.1,0.6,1.8
Gauthier Gallon,Troyes,0.1,0.1,0.1
Thibault De Smet,Reims,1.1,1.2,2.3
Kevin Gameiro,Strasbourg,0.6,0.6,1.2
Yvon Mvogo,Lorient,0,0,0
Jackson Porozo,Troyes,1.5,0.8,2.3
Habib Diarra,Strasbourg,0.8,0.5,1.3
Birama Touré,Auxerre,2.1,1.6,3.7
Lilian Raolisoa,Angers,1.6,0.4,2
Lucas Perrin,Strasbourg,1.7,0.9,2.6
Hugo Ekitike,Paris Saint-Germain,0.5,0.3,0.8
Jean Lucas,Monaco,1.5,1,2.5
Cheick Oumar Konaté,Clermont Foot,2.1,1,3.1
Dénys Bain,Auxerre,2,0.5,2.5
Rhys Healey,Toulouse,0,0,0
Bradley Locko,Reims,2.1,0.8,2.9
José Fonte,Lille,0.7,0.4,1.1
Yan Valery,Angers,1.8,0.6,2.4
Elbasan Rashani,Clermont Foot,1.2,0.8,2
Ludovic Ajorque,Strasbourg,0.4,0.5,0.8
Loïc Badé,Rennes,1,0,1
Issa Kaboré,Marseille,1.5,0.5,2
Yahia Fofana,Angers,0,0,0
Ignatius Ganago,Nantes,0.3,0.1,0.4
Mounaïm El Idrissy,AC Ajaccio,1,0.8,1.8
Alexis Claude-Maurice,Lens,0.7,0.5,1.2
Andreaw Gravillon,Reims,1.2,0.4,1.6
Mathias Autret,Auxerre,1,0.4,1.3
Yusuf Yazici,Lille,0,0,0
Bingourou Kamara,Montpellier,0,0,0
Muhammed Cham,Clermont Foot,0.8,0.6,1.4
Jordan Ferri,Montpellier,1.6,1.7,3.4
Renaud Ripart,Troyes,1.5,1.3,2.8
Moses Simon,Nantes,0.5,0.2,0.8
Thomas Delaine,Strasbourg,1.6,0.8,2.4
Leandro Paredes,Paris Saint-Germain,0.3,0,0.3
Maxime Gonalons,Clermont Foot,2.1,1.1,3.2
Faouzi Ghoulam,Angers,0.4,0.3,0.7
Jean-Kévin Duverne,Brest,2.1,0.9,3
Ross Barkley,Nice,0.6,0.2,0.8
Nicolas Cozza,Montpellier,2.2,0.7,2.9
Stephy Mavididi,Montpellier,0.9,0.5,1.5
Jean-Louis Leca,Lens,0,0,0
Amine Harit,Marseille,0.6,0.5,1.1
Henrique,Lyon,1.3,1,2.3
Rémy Riou,Lyon,0.1,0,0.1
Edan Diop,Monaco,1.9,1.1,3
David Pereira da Costa,Lens,0.4,0.4,0.8
Maxime Esteve,Montpellier,1,0.2,1.3
Timothy Weah,Lille,0.8,0.4,1.3
Gabriel Gudmundsson,Lille,1.1,0.6,1.6
Mohamed Youssouf,AC Ajaccio,2.4,0.8,3.2
Igor Silva,Lorient,2.6,1.3,3.9
Noah Fadiga,Brest,1.4,0.6,2
Falaye Sacko,Montpellier,1.3,0.5,1.9
Dimitri Liénard,Strasbourg,1.6,0.8,2.5
Florent Mollet,Nantes,0.7,0.9,1.6
Antoine Mendy,Nice,2,0.5,2.5
Pedro Chirivella,Nantes,1.3,1,2.3
Akim Zedadka,Auxerre,1.8,0.7,2.5
