player_name,team_name,UnsuccessfulTouches,Dispossessed
Sinaly Diomandé,Lyon,0.8,0.2
Alidu Seidu,Clermont Foot,1.2,0.5
Faitout Maouassa,Montpellier,1,0.7
Jimmy Cabot,Lens,2.4,0.5
Sead Kolasinac,Marseille,0.8,0.2
Vitinha,Paris Saint-Germain,0.9,0.9
Christopher Jullien,Montpellier,0.5,0.1
Saîf-Eddine Khaoui,Clermont Foot,1.3,0.7
Jérémy Le Douaron,Brest,2.3,1.1
Azzedine Ounahi,Angers,1.7,0.8
Castello Lukeba,Lyon,0.6,0.2
Mama Baldé,Troyes,3.6,2
Gideon Mensah,Auxerre,1.7,0.5
Ante Palaversa,Troyes,0,0
Sofiane Diop,Nice,1.8,1
Jubal,Auxerre,0.6,0.1
Leonardo Balerdi,Marseille,0.7,0.1
Quentin Merlin,Nantes,1,0.4
Badredine Bouanani,Nice,1.2,0.7
Lovro Majer,Rennes,1.4,1
Laurent Abergel,Lorient,1,0.7
Deiver Machado,Lens,0.9,0.3
Warmed Omari,Rennes,0.4,0.3
Marquinhos,Paris Saint-Germain,0.4,0.2
Théo Sainte-Luce,Montpellier,1,0.4
Lucien Agoumé,Troyes,0.6,0.7
Désiré Doué,Rennes,1.3,1.2
Vito Mannone,Lorient,0,0
Mario Lemina,Nice,0.3,0.1
Angel Gomes,Lille,1.1,0.7
Arthur Theate,Rennes,0.4,0.1
André Gomes,Lille,1.2,1
Steve Mandanda,Rennes,0.1,0
Marco Bizot,Brest,0,0
Zakaria Aboukhlal,Toulouse,2.2,1
Farès Chaïbi,Toulouse,1.5,0.7
Jean-Charles Castelletto,Nantes,0.6,0.2
Aaron Ramsey,Nice,0.9,1.2
Tiago Djaló,Lille,0.2,0.3
Gédéon Kalulu,Lorient,1.1,0.6
Han-Noah Massengo,Auxerre,1.4,0.6
Nuno da Costa,Auxerre,2.8,1.2
Anthony Lopes,Lyon,0,0
Andy Delort,Nice,1.6,0.6
Jeffinho,Lyon,2.3,1.3
Alexander Nübel,Monaco,0,0
Jonas Omlin,Montpellier,0,0
Karl Toko-Ekambi,Rennes,1.1,0.9
Youssouf Ndayishimiye,Nice,0.9,0.3
Joris Chotard,Montpellier,0.6,0.3
Bamo Meïté,Lorient,0.8,0.2
Nicolas Pallois,Nantes,0.7,0.3
Dimitri Payet,Marseille,0.6,0.4
Bafodé Diakité,Lille,0.8,0.5
Chrislain Matsima,Monaco,0,0.1
Jeanuël Belocian,Rennes,0.5,0.3
Quentin Bernard,Auxerre,0.3,0.1
Lilian Brassier,Brest,0.6,0.4
Anthony Rouault,Toulouse,0.6,0.1
Maximiliano Caufriez,Clermont Foot,0.5,0.3
Cheick Keita,Reims,0.4,0.1
Maxime Le Marchand,Strasbourg,0.4,0.2
Issiaga Sylla,Toulouse,1.4,2
Grejohn Kyei,Clermont Foot,2.6,1.3
Thijs Dallinga,Toulouse,1.1,0.5
Ruslan Malinovskyi,Marseille,1.5,1
Ismaël Doukouré,Strasbourg,0.8,0.7
Joe Rodon,Rennes,0.3,0.1
Mostafa Mohamed,Nantes,1.5,0.6
Julien Laporte,Lorient,0.3,0.1
Eliesse Ben Seghir,Monaco,2.1,1.2
Gabriel Suazo,Toulouse,0.9,0.6
Vincent Le Goff,Lorient,0.5,0.3
Mahdi Camara,Brest,0.9,0.5
Mattéo Guendouzi,Marseille,0.8,0.4
Hamza Sakhi,Auxerre,0.7,0.5
Lucas Chevalier,Lille,0,0
Flavien Tait,Rennes,0.8,1
Arnaud Kalimuendo,Rennes,1.9,1.2
Christopher Wooh,Rennes,0.5,0.1
Xavier Chavalerin,Troyes,0.7,0.4
Matz Sels,Strasbourg,0,0
Wahbi Khazri,Montpellier,1.8,1.1
Quentin Boisgard,Lorient,1,0.4
Presnel Kimpembe,Paris Saint-Germain,0.4,0.5
Isaak Touré,Auxerre,0.4,0.1
Jens Cajuste,Reims,0.9,0.7
Thiago Mendes,Lyon,0.8,0.5
Saël Kumbedi,Lyon,0.8,0.7
Mateusz Wieteska,Clermont Foot,0.3,0.2
Thomas Foket,Reims,1.2,0.8
Juan Bernat,Paris Saint-Germain,0.3,0.3
Gauthier Gallon,Troyes,0,0
Thibault De Smet,Reims,0.9,0.4
Kevin Gameiro,Strasbourg,1.4,0.8
Yvon Mvogo,Lorient,0,0
Jackson Porozo,Troyes,0.5,0.3
Habib Diarra,Strasbourg,1.3,0.7
Birama Touré,Auxerre,1,0.4
Lilian Raolisoa,Angers,0.4,0.7
Lucas Perrin,Strasbourg,0.2,0.2
Hugo Ekitike,Paris Saint-Germain,1.1,0.7
Jean Lucas,Monaco,0.5,0.2
Cheick Oumar Konaté,Clermont Foot,0.6,0.9
Dénys Bain,Auxerre,0,0
Rhys Healey,Toulouse,0.8,0.5
Bradley Locko,Reims,1.8,1
José Fonte,Lille,0.3,0.1
Yan Valery,Angers,1.2,1
Elbasan Rashani,Clermont Foot,1.5,0.8
Ludovic Ajorque,Strasbourg,1.5,0.8
Loïc Badé,Rennes,0,0
Issa Kaboré,Marseille,1.5,0.6
Yahia Fofana,Angers,0,0
Ignatius Ganago,Nantes,1.4,0.7
Mounaïm El Idrissy,AC Ajaccio,2.8,1.1
Alexis Claude-Maurice,Lens,0.9,0.7
Andreaw Gravillon,Reims,0.8,0.3
Mathias Autret,Auxerre,0.8,0.2
Yusuf Yazici,Lille,0.5,0.5
Bingourou Kamara,Montpellier,0,0
Muhammed Cham,Clermont Foot,1,1.5
Jordan Ferri,Montpellier,1.3,1.3
Renaud Ripart,Troyes,1.2,0.8
Moses Simon,Nantes,1.4,1.1
Thomas Delaine,Strasbourg,1.1,0.3
Leandro Paredes,Paris Saint-Germain,0,0
Maxime Gonalons,Clermont Foot,0.8,0.4
Faouzi Ghoulam,Angers,0.1,0.3
Jean-Kévin Duverne,Brest,1.1,0.6
Ross Barkley,Nice,0.4,0.9
Nicolas Cozza,Montpellier,1.1,0.2
Stephy Mavididi,Montpellier,1.5,1.2
Jean-Louis Leca,Lens,0,0
Amine Harit,Marseille,1.8,1.7
Henrique,Lyon,0.4,0.3
Rémy Riou,Lyon,0,0
Edan Diop,Monaco,0.6,0.4
David Pereira da Costa,Lens,1,0.9
Maxime Esteve,Montpellier,0.2,0.2
Timothy Weah,Lille,0.8,0.3
Gabriel Gudmundsson,Lille,0.7,0.4
Mohamed Youssouf,AC Ajaccio,1,0.5
Igor Silva,Lorient,1.1,0.1
Noah Fadiga,Brest,1.1,0.3
Falaye Sacko,Montpellier,0.9,0.4
Dimitri Liénard,Strasbourg,1,0.4
Florent Mollet,Nantes,1,0.7
Antoine Mendy,Nice,1,0.5
Pedro Chirivella,Nantes,0.2,0.2
Akim Zedadka,Auxerre,1.4,0.9
Rayan Raveloson,Auxerre,1.2,0.5
Pape Gueye,Marseille,0.5,0.4
Ronaël Pierre-Gabriel,Strasbourg,0.7,0.4
Kamory Doumbia,Reims,1.3,0.8
Haris Belkebla,Brest,1,0.7
Evann Guessand,Nantes,1.6,1
Brecht Dejaegere,Toulouse,1.2,0.6
Jean Onana,Lens,0.4,0.4
Kenji-Van Boto,Auxerre,1,0
Yohann Magnin,Clermont Foot,0.5,0.3
Johann Lepenant,Lyon,1.3,0.9
Mickaël Barreto,AC Ajaccio,1.7,1
Vincent Marchetti,AC Ajaccio,1.6,1.3
Arkadiusz Milik,Marseille,0.5,0.5
Bamba Dieng,Lorient,1.4,1
Lesley Ugochukwu,Rennes,0.2,0.4
Théo Le Bris,Lorient,0.8,0.4
Sanjin Prcic,Strasbourg,0.3,0.2
Gerson,Marseille,1.4,1.5
Massadio Haïdara,Lens,0.7,0.1
Xeka,Rennes,1.6,0.4
Aiman Maurer,Clermont Foot,2.1,0.5
