player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Djed Spence,Rennes,0.4,0.1,0,0.3
Sergio Ramos,Paris Saint-Germain,0.6,0.1,0.1,0.4
Jordan Lotomba,Nice,0.4,0.2,0,0.2
Chancel Mbemba,Marseille,0.8,0,0.1,0.7
Angelo Fulgini,Lens,0.7,0.2,0.1,0.4
Stijn Spierings,Toulouse,0.7,0.4,0,0.3
Pau López,Marseille,0,0,0,0
Alban Lafont,Nantes,0,0,0,0
Luis Suárez,Marseille,2.3,0.3,0.4,1.6
Florian Tardieu,Troyes,0.9,0.5,0,0.3
Mikkel Desler,Toulouse,0.4,0.1,0,0.3
Facundo Medina,Lens,0.6,0.1,0.1,0.4
Maxime Dupé,Toulouse,0,0,0,0
Adam Ounas,Lille,1.2,0.6,0,0.6
Brendan Chardonnet,Brest,0.5,0,0.1,0.5
Montassar Talbi,Lorient,0.2,0,0.1,0.1
Andrei Radu,Auxerre,0,0,0,0
Johan Gastien,Clermont Foot,0.6,0.5,0,0.1
Alexsandro Ribeiro,Lille,0.8,0,0.1,0.7
Salis Abdul Samed,Lens,0.4,0.2,0,0.2
Emmanuel Agbadou,Reims,0.8,0.2,0.2,0.3
Kasper Schmeichel,Nice,0,0,0,0
Jean-Clair Todibo,Nice,0.4,0.1,0.1,0.3
Mohamed Camara,Monaco,0.9,0.9,0,0.1
Krépin Diatta,Monaco,1.3,0.4,0.1,0.8
Himad Abdelli,Angers,0.8,0.6,0,0.2
Rominigue Kouamé,Troyes,0.8,0.5,0,0.3
Brice Samba,Lens,0,0,0,0
Arnaud Nordin,Montpellier,1.6,0.4,0.1,1.1
Danilo Pereira,Paris Saint-Germain,0.7,0.2,0.1,0.4
Guillermo Maripán,Monaco,0.6,0,0,0.5
Nordi Mukiele,Paris Saint-Germain,0.6,0.1,0,0.5
Youcef Atal,Nice,0.7,0.2,0.1,0.4
Melvin Bard,Nice,0.2,0,0,0.2
Sinaly Diomandé,Lyon,0.4,0,0,0.4
Alidu Seidu,Clermont Foot,0.2,0.2,0,0
Faitout Maouassa,Montpellier,1,0.5,0.1,0.4
Jimmy Cabot,Lens,0.5,0.2,0,0.3
Sead Kolasinac,Marseille,0.7,0.1,0.2,0.4
Vitinha,Paris Saint-Germain,0.9,0.6,0,0.3
Christopher Jullien,Montpellier,0.6,0,0.1,0.4
Saîf-Eddine Khaoui,Clermont Foot,1.4,0.8,0.1,0.4
Jérémy Le Douaron,Brest,1.7,0.1,0.3,1.3
Azzedine Ounahi,Angers,1.5,0.7,0.1,0.8
Castello Lukeba,Lyon,0.4,0,0,0.4
Mama Baldé,Troyes,2.2,0.6,0,1.6
Gideon Mensah,Auxerre,0.2,0.2,0,0
Ante Palaversa,Troyes,0.5,0,0.5,0
Sofiane Diop,Nice,1.3,0.6,0,0.6
Jubal,Auxerre,0.5,0.1,0.1,0.4
Leonardo Balerdi,Marseille,0.3,0,0,0.3
Quentin Merlin,Nantes,0.6,0.4,0,0.3
Badredine Bouanani,Nice,1.3,0.8,0.1,0.4
Lovro Majer,Rennes,1.1,0.5,0,0.5
Laurent Abergel,Lorient,0.4,0.4,0,0.1
Deiver Machado,Lens,0.5,0.3,0,0.2
Warmed Omari,Rennes,0.2,0,0,0.2
Marquinhos,Paris Saint-Germain,0.5,0,0.2,0.4
Théo Sainte-Luce,Montpellier,0.3,0.1,0,0.2
Lucien Agoumé,Troyes,0.6,0.2,0,0.4
Désiré Doué,Rennes,0.8,0.5,0,0.3
Vito Mannone,Lorient,0,0,0,0
Mario Lemina,Nice,0.4,0.2,0,0.2
Angel Gomes,Lille,1.6,1.2,0,0.4
Arthur Theate,Rennes,0.9,0.2,0.2,0.5
André Gomes,Lille,0.7,0.4,0,0.2
Steve Mandanda,Rennes,0,0,0,0
Marco Bizot,Brest,0,0,0,0
Zakaria Aboukhlal,Toulouse,2.2,0.5,0.2,1.5
Farès Chaïbi,Toulouse,1.8,0.7,0.2,0.9
Jean-Charles Castelletto,Nantes,0.3,0,0,0.2
Aaron Ramsey,Nice,0.8,0.3,0.1,0.4
Tiago Djaló,Lille,0.6,0.1,0.1,0.4
Gédéon Kalulu,Lorient,0.3,0.1,0,0.2
Han-Noah Massengo,Auxerre,0.9,0.5,0.1,0.4
Nuno da Costa,Auxerre,1.2,0.3,0.1,0.8
Anthony Lopes,Lyon,0,0,0,0
Andy Delort,Nice,1.9,0.5,0.3,1.1
Jeffinho,Lyon,1.1,0.3,0,0.8
Alexander Nübel,Monaco,0,0,0,0
Jonas Omlin,Montpellier,0,0,0,0
Karl Toko-Ekambi,Rennes,1.3,0.2,0.1,1.1
Youssouf Ndayishimiye,Nice,0.8,0.3,0,0.5
Joris Chotard,Montpellier,0.3,0.3,0,0.1
Bamo Meïté,Lorient,0.2,0,0.1,0.1
Nicolas Pallois,Nantes,0.3,0,0.1,0.2
Dimitri Payet,Marseille,1.2,0.5,0,0.7
Bafodé Diakité,Lille,0.6,0.1,0,0.5
Chrislain Matsima,Monaco,0.4,0,0.1,0.3
Jeanuël Belocian,Rennes,0.1,0.1,0,0
Quentin Bernard,Auxerre,0,0,0,0
Lilian Brassier,Brest,0.6,0.1,0,0.4
Anthony Rouault,Toulouse,0.5,0,0.1,0.4
Maximiliano Caufriez,Clermont Foot,0.5,0.2,0,0.3
Cheick Keita,Reims,0.3,0.1,0.1,0.1
Maxime Le Marchand,Strasbourg,0.3,0.1,0,0.2
Issiaga Sylla,Toulouse,0.5,0.1,0,0.4
Grejohn Kyei,Clermont Foot,1.6,0.4,0.2,1
Thijs Dallinga,Toulouse,1.7,0.2,0.3,1.2
Ruslan Malinovskyi,Marseille,1.8,1.3,0,0.5
Ismaël Doukouré,Strasbourg,0.3,0.3,0,0.1
Joe Rodon,Rennes,0.4,0,0.2,0.3
Mostafa Mohamed,Nantes,1.6,0.3,0.2,1.1
Julien Laporte,Lorient,0.3,0.1,0,0.3
Eliesse Ben Seghir,Monaco,1.1,0.5,0,0.6
Gabriel Suazo,Toulouse,0.1,0.1,0,0.1
Vincent Le Goff,Lorient,0.5,0.2,0,0.3
Mahdi Camara,Brest,0.8,0.3,0.1,0.4
Mattéo Guendouzi,Marseille,0.8,0.2,0.1,0.4
Hamza Sakhi,Auxerre,1.1,0.7,0,0.4
Lucas Chevalier,Lille,0,0,0,0
Flavien Tait,Rennes,0.8,0.4,0,0.4
Arnaud Kalimuendo,Rennes,1.4,0.2,0.1,1.2
